,ID_Position,ID_Race,CIPFamily,CIPFamilyTitle,Value,Percentage_Position_Race,Variable
282,OG,C,14,ENGINEERING.,3,0.136363636,College Major
283,OG,C,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,2,0.090909091,College Major
284,OG,C,50,VISUAL AND PERFORMING ARTS.,1,0.045454545,College Major
285,OG,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",3,0.136363636,College Major
286,OG,C,30,MULTI/INTERDISCIPLINARY STUDIES.,1,0.045454545,College Major
287,OG,C,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",2,0.090909091,College Major
288,OG,C,38,PHILOSOPHY AND RELIGIOUS STUDIES.,1,0.045454545,College Major
289,OG,C,45,SOCIAL SCIENCES.,2,0.090909091,College Major
290,OG,H,45,SOCIAL SCIENCES.,1,1,College Major
291,OL,AA,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",2,0.033333333,College Major
292,OL,AA,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",3,0.05,College Major
293,OL,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",15,0.25,College Major
294,OL,AA,14,ENGINEERING.,1,0.016666667,College Major
295,OL,AA,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",2,0.033333333,College Major
296,OL,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",4,0.066666667,College Major
297,OL,AA,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,2,0.033333333,College Major
298,OL,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",5,0.083333333,College Major
299,OL,AA,13,EDUCATION.,1,0.016666667,College Major
300,OL,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",9,0.15,College Major
301,OL,AA,42,PSYCHOLOGY.,2,0.033333333,College Major
302,OL,AA,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,1,0.016666667,College Major
303,OL,AA,45,SOCIAL SCIENCES.,13,0.216666667,College Major
304,OL,AS,54,HISTORY.,1,0.5,College Major
305,OL,AS,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",1,0.5,College Major
306,OL,C,3,NATURAL RESOURCES AND CONSERVATION.,2,0.012269939,College Major
307,OL,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,5,0.030674847,College Major
308,OL,C,13,EDUCATION.,2,0.012269939,College Major
309,OL,C,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",4,0.024539877,College Major
310,OL,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",34,0.208588957,College Major
311,OL,C,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",2,0.012269939,College Major
312,OL,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",11,0.067484663,College Major
313,OL,C,40,PHYSICAL SCIENCES.,1,0.006134969,College Major
314,OL,C,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,2,0.012269939,College Major
315,OL,C,45,SOCIAL SCIENCES.,23,0.141104294,College Major
316,OL,C,38,PHILOSOPHY AND RELIGIOUS STUDIES.,1,0.006134969,College Major
317,OL,C,54,HISTORY.,6,0.036809816,College Major
318,OL,C,14,ENGINEERING.,15,0.09202454,College Major
319,OL,C,42,PSYCHOLOGY.,1,0.006134969,College Major
320,OL,C,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,1,0.006134969,College Major
321,OL,C,44,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.,3,0.018404908,College Major
322,OL,C,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,1,0.006134969,College Major
323,OL,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",16,0.098159509,College Major
324,OL,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",33,0.202453988,College Major
325,OL,H,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",1,0.125,College Major
326,OL,H,45,SOCIAL SCIENCES.,2,0.25,College Major
327,OL,H,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",3,0.375,College Major
328,OL,H,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",2,0.25,College Major
329,OL,PI,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",4,0.571428571,College Major
330,OL,PI,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",1,0.142857143,College Major
331,OL,PI,45,SOCIAL SCIENCES.,2,0.285714286,College Major
332,OLB,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",1,0.125,College Major
333,OLB,AA,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,1,0.125,College Major
334,OLB,AA,14,ENGINEERING.,1,0.125,College Major
335,OLB,AA,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,2,0.25,College Major
336,OLB,AA,42,PSYCHOLOGY.,1,0.125,College Major
337,OLB,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",2,0.25,College Major
338,OLB,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",1,0.142857143,College Major
339,OLB,C,30,MULTI/INTERDISCIPLINARY STUDIES.,2,0.285714286,College Major
340,OLB,C,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,1,0.142857143,College Major
341,OLB,C,45,SOCIAL SCIENCES.,2,0.285714286,College Major
342,OLB,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",1,0.142857143,College Major
343,OT,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",2,0.166666667,College Major
344,OT,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",3,0.25,College Major
345,OT,AA,27,MATHEMATICS AND STATISTICS.,1,0.083333333,College Major
346,OT,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",3,0.25,College Major
347,OT,AA,45,SOCIAL SCIENCES.,1,0.083333333,College Major
348,OT,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",2,0.166666667,College Major
349,OT,C,13,EDUCATION.,1,0.0625,College Major
350,OT,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",2,0.125,College Major
351,OT,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,1,0.0625,College Major
352,OT,C,49,TRANSPORTATION AND MATERIALS MOVING.,1,0.0625,College Major
353,OT,C,44,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.,1,0.0625,College Major
354,OT,C,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,2,0.125,College Major
355,OT,C,45,SOCIAL SCIENCES.,1,0.0625,College Major
356,OT,C,54,HISTORY.,1,0.0625,College Major
357,OT,C,14,ENGINEERING.,1,0.0625,College Major
358,OT,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",5,0.3125,College Major
359,OT,O,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,1,1,College Major
360,OT,PI,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",1,1,College Major
361,P,C,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",1,0.025641026,College Major
362,P,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",2,0.051282051,College Major
363,P,C,13,EDUCATION.,1,0.025641026,College Major
364,P,C,14,ENGINEERING.,6,0.153846154,College Major
365,P,C,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS.,1,0.025641026,College Major
366,P,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",5,0.128205128,College Major
367,P,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,3,0.076923077,College Major
368,P,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",6,0.153846154,College Major
369,P,C,42,PSYCHOLOGY.,1,0.025641026,College Major
370,P,C,45,SOCIAL SCIENCES.,5,0.128205128,College Major
371,P,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",7,0.179487179,College Major
372,P,C,54,HISTORY.,1,0.025641026,College Major
373,PK,AA,14,ENGINEERING.,1,1,College Major
374,PK,C,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",1,0.03030303,College Major
375,PK,C,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",1,0.03030303,College Major
376,PK,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",5,0.151515152,College Major
377,PK,C,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,1,0.03030303,College Major
378,PK,C,13,EDUCATION.,1,0.03030303,College Major
379,PK,C,23,ENGLISH LANGUAGE AND LITERATURE/LETTERS.,1,0.03030303,College Major
380,PK,C,14,ENGINEERING.,3,0.090909091,College Major
381,PK,C,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,1,0.03030303,College Major
382,PK,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",4,0.121212121,College Major
383,PK,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",2,0.060606061,College Major
384,PK,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,3,0.090909091,College Major
385,PK,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",5,0.151515152,College Major
386,PK,C,42,PSYCHOLOGY.,1,0.03030303,College Major
387,PK,C,45,SOCIAL SCIENCES.,4,0.121212121,College Major
388,PK,H,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",2,0.5,College Major
389,PK,H,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,1,0.25,College Major
390,PK,H,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",1,0.25,College Major
391,PK,O,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",1,1,College Major
392,QB,AA,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",1,0.05,College Major
393,QB,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",3,0.15,College Major
394,QB,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",5,0.25,College Major
395,QB,AA,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,1,0.05,College Major
396,QB,AA,45,SOCIAL SCIENCES.,3,0.15,College Major
397,QB,AA,54,HISTORY.,1,0.05,College Major
398,QB,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",3,0.15,College Major
399,QB,AA,42,PSYCHOLOGY.,1,0.05,College Major
400,QB,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",2,0.1,College Major
401,QB,C,23,ENGLISH LANGUAGE AND LITERATURE/LETTERS.,1,0.013888889,College Major
402,QB,C,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,2,0.027777778,College Major
403,QB,C,40,PHYSICAL SCIENCES.,2,0.027777778,College Major
404,QB,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,2,0.027777778,College Major
405,QB,C,45,SOCIAL SCIENCES.,6,0.083333333,College Major
406,QB,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",5,0.069444444,College Major
407,QB,C,42,PSYCHOLOGY.,2,0.027777778,College Major
408,QB,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",7,0.097222222,College Major
409,QB,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",19,0.263888889,College Major
410,QB,C,49,TRANSPORTATION AND MATERIALS MOVING.,1,0.013888889,College Major
411,QB,C,50,VISUAL AND PERFORMING ARTS.,1,0.013888889,College Major
412,QB,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",20,0.277777778,College Major
413,QB,C,30,MULTI/INTERDISCIPLINARY STUDIES.,3,0.041666667,College Major
414,QB,C,54,HISTORY.,1,0.013888889,College Major
415,QB,H,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,1,0.5,College Major
416,QB,H,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",1,0.5,College Major
417,RB,AA,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",2,0.021052632,College Major
418,RB,AA,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",3,0.031578947,College Major
419,RB,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",14,0.147368421,College Major
420,RB,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",8,0.084210526,College Major
421,RB,AA,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,1,0.010526316,College Major
422,RB,AA,13,EDUCATION.,2,0.021052632,College Major
423,RB,AA,14,ENGINEERING.,1,0.010526316,College Major
424,RB,AA,42,PSYCHOLOGY.,2,0.021052632,College Major
425,RB,AA,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,4,0.042105263,College Major
426,RB,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",19,0.2,College Major
427,RB,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",13,0.136842105,College Major
428,RB,AA,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,3,0.031578947,College Major
429,RB,AA,45,SOCIAL SCIENCES.,11,0.115789474,College Major
430,RB,AA,30,MULTI/INTERDISCIPLINARY STUDIES.,1,0.010526316,College Major
431,RB,AA,33,CITIZENSHIP ACTIVITIES.,2,0.021052632,College Major
432,RB,AA,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,1,0.010526316,College Major
433,RB,AA,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",4,0.042105263,College Major
434,RB,AA,38,PHILOSOPHY AND RELIGIOUS STUDIES.,1,0.010526316,College Major
435,RB,AA,50,VISUAL AND PERFORMING ARTS.,3,0.031578947,College Major
436,RB,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",3,0.1,College Major
437,RB,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",7,0.233333333,College Major
438,RB,C,14,ENGINEERING.,1,0.033333333,College Major
439,RB,C,42,PSYCHOLOGY.,1,0.033333333,College Major
440,RB,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",5,0.166666667,College Major
441,RB,C,44,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.,1,0.033333333,College Major
442,RB,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,1,0.033333333,College Major
443,RB,C,45,SOCIAL SCIENCES.,5,0.166666667,College Major
444,RB,C,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",2,0.066666667,College Major
445,RB,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",3,0.1,College Major
446,RB,C,54,HISTORY.,1,0.033333333,College Major
447,RB,H,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",1,1,College Major
448,RB,PI,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",1,0.5,College Major
449,RB,PI,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",1,0.5,College Major
450,S,AA,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",2,0.052631579,College Major
451,S,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",3,0.078947368,College Major
452,S,AA,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",1,0.026315789,College Major
453,S,AA,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,1,0.026315789,College Major
454,S,AA,13,EDUCATION.,1,0.026315789,College Major
455,S,AA,14,ENGINEERING.,3,0.078947368,College Major
456,S,AA,50,VISUAL AND PERFORMING ARTS.,2,0.052631579,College Major
457,S,AA,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,3,0.078947368,College Major
458,S,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",8,0.210526316,College Major
459,S,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",2,0.052631579,College Major
460,S,AA,42,PSYCHOLOGY.,1,0.026315789,College Major
461,S,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",7,0.184210526,College Major
462,S,AA,45,SOCIAL SCIENCES.,3,0.078947368,College Major
463,S,AA,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,1,0.026315789,College Major
464,S,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",7,0.233333333,College Major
465,S,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",10,0.333333333,College Major
466,S,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",1,0.033333333,College Major
467,S,C,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",1,0.033333333,College Major
468,S,C,45,SOCIAL SCIENCES.,2,0.066666667,College Major
469,S,C,14,ENGINEERING.,3,0.1,College Major
470,S,C,50,VISUAL AND PERFORMING ARTS.,1,0.033333333,College Major
471,S,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",5,0.166666667,College Major
472,S,H,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",1,1,College Major
473,S,PI,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",1,1,College Major
474,SS,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",1,0.2,College Major
475,SS,AA,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,1,0.2,College Major
476,SS,AA,45,SOCIAL SCIENCES.,2,0.4,College Major
477,SS,AA,50,VISUAL AND PERFORMING ARTS.,1,0.2,College Major
478,SS,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",1,0.5,College Major
479,SS,C,38,PHILOSOPHY AND RELIGIOUS STUDIES.,1,0.5,College Major
480,TE,AA,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",1,0.045454545,College Major
481,TE,AA,42,PSYCHOLOGY.,4,0.181818182,College Major
482,TE,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",6,0.272727273,College Major
483,TE,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",2,0.090909091,College Major
484,TE,AA,33,CITIZENSHIP ACTIVITIES.,1,0.045454545,College Major
485,TE,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",3,0.136363636,College Major
486,TE,AA,54,HISTORY.,1,0.045454545,College Major
487,TE,AA,45,SOCIAL SCIENCES.,3,0.136363636,College Major
488,TE,AA,30,MULTI/INTERDISCIPLINARY STUDIES.,1,0.045454545,College Major
489,TE,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",5,0.05952381,College Major
490,TE,C,14,ENGINEERING.,3,0.035714286,College Major
491,TE,C,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS.,1,0.011904762,College Major
492,TE,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,2,0.023809524,College Major
493,TE,C,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",1,0.011904762,College Major
494,TE,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",23,0.273809524,College Major
495,TE,C,42,PSYCHOLOGY.,1,0.011904762,College Major
496,TE,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",9,0.107142857,College Major
497,TE,C,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,1,0.011904762,College Major
498,TE,C,30,MULTI/INTERDISCIPLINARY STUDIES.,2,0.023809524,College Major
499,TE,C,50,VISUAL AND PERFORMING ARTS.,1,0.011904762,College Major
500,TE,C,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",2,0.023809524,College Major
501,TE,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",25,0.297619048,College Major
502,TE,C,13,EDUCATION.,2,0.023809524,College Major
503,TE,C,54,HISTORY.,1,0.011904762,College Major
504,TE,C,45,SOCIAL SCIENCES.,5,0.05952381,College Major
505,TE,H,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",1,1,College Major
506,TE,PI,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",2,0.5,College Major
507,TE,PI,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",2,0.5,College Major
508,WR,AA,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",2,0.014084507,College Major
509,WR,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",38,0.267605634,College Major
510,WR,AA,50,VISUAL AND PERFORMING ARTS.,2,0.014084507,College Major
511,WR,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",14,0.098591549,College Major
512,WR,AA,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,2,0.014084507,College Major
513,WR,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",24,0.169014085,College Major
514,WR,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",20,0.14084507,College Major
515,WR,AA,13,EDUCATION.,3,0.021126761,College Major
516,WR,AA,33,CITIZENSHIP ACTIVITIES.,1,0.007042254,College Major
517,WR,AA,14,ENGINEERING.,2,0.014084507,College Major
518,WR,AA,42,PSYCHOLOGY.,3,0.021126761,College Major
519,WR,AA,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",1,0.007042254,College Major
520,WR,AA,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,2,0.014084507,College Major
521,WR,AA,45,SOCIAL SCIENCES.,23,0.161971831,College Major
522,WR,AA,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",5,0.035211268,College Major
523,WR,C,14,ENGINEERING.,5,0.061728395,College Major
524,WR,C,3,NATURAL RESOURCES AND CONSERVATION.,1,0.012345679,College Major
525,WR,C,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,4,0.049382716,College Major
526,WR,C,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",1,0.012345679,College Major
527,WR,C,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,1,0.012345679,College Major
528,WR,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,2,0.024691358,College Major
529,WR,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",9,0.111111111,College Major
530,WR,C,30,MULTI/INTERDISCIPLINARY STUDIES.,2,0.024691358,College Major
531,WR,C,42,PSYCHOLOGY.,1,0.012345679,College Major
532,WR,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",12,0.148148148,College Major
533,WR,C,13,EDUCATION.,2,0.024691358,College Major
534,WR,C,45,SOCIAL SCIENCES.,4,0.049382716,College Major
535,WR,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",16,0.197530864,College Major
536,WR,C,50,VISUAL AND PERFORMING ARTS.,1,0.012345679,College Major
537,WR,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",20,0.24691358,College Major
538,WR,H,45,SOCIAL SCIENCES.,2,0.4,College Major
539,WR,H,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,1,0.2,College Major
540,WR,H,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",2,0.4,College Major
