"","Fund_Name","Fund_Manager","Fund_Contact","Fund_Contact_Telephone","Fund_Type","Fund_Projected_Equity","Fund_Equity_Raised","Fund_Equity_Invested","Fund_Target_IRR","Fund_Minimum_IRR","Fund_Asset_Classes","Fund_Target_Locations","Fund_Data_Date"
"144","Europa Emerging Europe Fund","Europa Capital","Tim Norman","44-207-881-6800","Opportunity","$218,300,400 ","$218,300,400 ","$128,836,402 ","20+","20+","Office","Eastern Europe","1/11/12"
"145","Europa Fund 3","Europa Capital","Noel Manne, Charles Graham","44-207-881-6800","Opportunity","$971,703,000 ","$971,703,000 ","$578,155,241 ","","","Office, Retail","Europe","1/11/12"
"146","Exeter Industrial Value Fund 2","Exeter Property","Ward Fitzgerald","610-348-3055","Value Add","$500,000,000 ","$300,000,000 ","$100,000,000 ","14-16","14","Industrial","Boston","1/11/12"
"147","Fcp Realty Fund 2","Federal Capital Partners","Esko Korhonen","202-386-7160","Value Add","$500,000,000 ","$400,000,000 ","$0 ","13-15","13","Multifamily, Office","Boston, New York City","1/11/12"
"148","Fir Tree Real Estate Opportunity Fund 2","Fir Tree Partners","Jeffrey Tannenbaum","212-599-0090","High Yield Debt","$628,000,000 ","$628,000,000 ","$0 ","20","20","Mortgages, RMBS","United States","1/11/12"
"149","Flag Real Estate Partners Fund 2","Flag Capital","Aliza Samuels","617-557-5717","Fund of Funds","$75,600,000 ","$75,600,000 ","$57,000,000 ","20","20","Office","United States","1/11/12"
"150","Fortress Japan Opportunity Fund 2","Fortress Investment","Thomas Pulley","81-36-438-4400","High Yield Debt","$1,233,000,000 ","$528,071,951 ","$0 ","16+","16+","Distressed","Japan","1/11/12"
"151","Fortress Real Estate Opportunities","Fortress Investment","Tony Tufariello","212-798-6100","Opportunity","$1,000,000,000 ","$100,000,000 ","$0 ","17","17","Office","United States","1/11/12"
"152","Forum Asian Realty Income Fund 3","Forum Partners","Merrit Maddux","852-2-522-2708","Opportunity","$600,000,000 ","$308,000,000 ","$165,000,000 ","","","Office","Asia","1/11/12"
"153","Fpa Apartment Opportunity Fund 3","Fowler Property Acquisitions","Greg Fowler","805-565-2101","Opportunity","$258,300,000 ","$258,300,000 ","$104,000,000 ","16-20","16","Multifamily","Southwestern United States, Northwestern United States","1/11/12"
"154","Franklin Templeton Real Estate Fund","Franklin Templeton Real Estate Investments","Marc Weidner","212-632-4206","Fund of Funds","$300,000,000 ","$250,000,000 ","","","","Office","United States","1/11/12"
"155","G4 Capital Partners Fund 2","G4 Capital","Jason Behfarin","516-931-0095","High Yield Debt","$200,000,000 ","$0 ","$0 ","14-16","14","Mortgages","United States","1/11/12"
"156","Garrison Real Estate Fund 2","Garrison Investment","Steve Stuart","212-372-9510","High Yield Debt","$575,000,000 ","$575,000,000 ","$57,500,000 ","20+","20+","Distressed","United States","1/11/12"
"157","Gateway Capital Real Estate Fund 3","Gaw Capital","Christina Gaw","852-2-583-7768","Opportunity","$420,000,000 ","$420,000,000 ","$170,000,000 ","20+","20+","Office","China","1/11/12"
"158","Ge Capital Real Estate Debt Fund","GE Capital Real Estate","Skip Wells","203-750-2944","High Yield Debt","$500,000,000 ","","","11-13","11","Mortgages","United States, Canada, Mexico","1/11/12"
"159","Gem Realty Fund 4","GEM Realty Capital","Denise Olsen","312-915-2900","Opportunity","$550,000,000 ","$550,000,000 ","$275,000,000 ","","","Office","United States","1/11/12"
"160","Gerding Edlen Green Cities Fund 2","Gerding Edlen","Molly Bordonaro","503-299-6000","Opportunity","$250,000,000 ","$0 ","$0 ","20","20","Development","United States","1/11/12"
"161","Glenmont Real Estate Partners Fund 3","Glenmont Capital","Larry Kestin","212-582-2500","Opportunity","$100,000,000 ","$100,000,000 ","$75,000,000 ","","","Office","United States","1/11/12"
"162","Goldman Sachs Real Estate Mezzanine Partners","Goldman Sachs","Alan Kava","212-902-1000","High Yield Debt","$2,610,000,000 ","$2,610,000,000 ","$1,300,000,000 ","13-15","13","Mortgages","United States","1/11/12"
"163","Whitehall Street International Real Estate Fund 2008","Goldman Sachs","Alan Kava, Jim Garman","212-902-1000","Opportunity","$1,606,000,000 ","$1,606,000,000 ","$703,000,000 ","15-18","15","Office, Retail","International","1/11/12"
"164","Green Courte Real Estate Partners Fund 3","Green Courte Partners","James Goldman","847-582-9403","Value Add","$407,000,000 ","$407,000,000 ","$0 ","","","Manufactured Housing, Parking","United States","1/11/12"
"165","Greenfield Acquisition Partners 6","Greenfield Partners","Eugene Gorab, Dean Sotter","203-354-5000","Opportunity","$1,000,000,000 ","$300,000,000 ","$150,000,000 ","15-17","15","Office, Retail","United States","1/11/12"
"166","Greenoak Japan","GreenOak Real Estate","Sonny Kalsi","212-359-7800","Opportunity","$500,000,000 ","$150,000,000 ","$0 ","15-20","15","Office","Japan","1/11/12"
"167","Greenoak U.S.","GreenOak Real Estate","Sonny Kalsi","212-359-7800","Opportunity","$400,000,000 ","$225,000,000 ","$0 ","15-20","15","Office","United States","1/11/12"
"168","Greystar Equity Partners 7","Greystar Real Estate","Derek Ramsey","843-579-3209","Value Add","$600,000,000 ","$600,000,000 ","$300,000,000 ","14+","14+","Multifamily","United States","1/11/12"
"169","Griffith Properties Fund 3","Griffith Properties","J. Brad Griffith","617-451-2604","Value Add","$100,000,000 ","$7,000,000 ","$0 ","15+","15+","Office, Industrial","Northeastern United States, Boston","1/11/12"
"170","Gtis Partners Brazil Real Estate Fund 2","GTIS Partners","Bill Cisneros","212-220-5200","Opportunity","$810,200,000 ","$810,200,000 ","$215,000,000 ","20+","20+","Office","Brazil","1/11/12"
"171","Gtis U.S. Residential Strategies","GTIS Partners","Bill Cisneros","212-220-5200","Opportunity","$300,000,000 ","","","","","Multifamily","United States","1/11/12"
"172","Guardian Realty Fund 3","Guardian Realty Investors","Tony Labarbera","240-290-9216","Opportunity","$200,000,000 ","$0 ","$0 ","","","Office","Washington D.C.","1/11/12"
"173","H/2 Special Opportunities Fund 2","H/2 Capital","Spencer Haber","203-569-4000","High Yield Debt","$750,000,000 ","$250,000,000 ","$0 ","15","15","Office","United States","1/11/12"
"174","Sponsor Fund","Halpern Real Estate Ventures","Previn Raheja","212-524-9700","Opportunity","$50,000,000 ","$30,000,000 ","$0 ","16+","16+","Multifamily, Lodging","New York City, Northeastern United States, Boston","1/11/12"
"175","Hampshire Partners Fund 8","Hampshire Cos.","James Hanson","973-734-4242","Value Add","$339,000,000 ","$339,000,000 ","$25,000,000 ","14+","14+","Office, Retail, Industrial, Lodging","Northeastern United States, Boston, New York City, Philadelphia","1/11/12"
"176","Harbert European Real Estate Fund 3","Harbert Management","Scott O'donnell","44-207-408-4120","Opportunity","$665,550,000 ","$149,171,568 ","$36,123,602 ","18+","18+","Office","Europe","1/11/12"
"177","Harbert Real Estate Fund 4","Harbert Management","Alan Fuller","205-987-5639","Opportunity","$134,200,000 ","$134,200,000 ","$96,000,000 ","15-18","15","Office","United States","1/11/12"
"178","Harbert Real Estate Fund 5","Harbert Management","Alan Fuller","205-987-5639","Opportunity","$350,000,000 ","$0 ","$0 ","15-18","15","Office","United States","1/11/12"
"179","Harrison Street Real Estate Partners Fund 3","Harrison Street Real Estate Capital","Michael Gordon","312-920-1854","Opportunity","$595,500,000 ","$595,500,000 ","$298,000,000 ","18-20","18","Other","United States","1/11/12"
"180","Strategic Development Partners","Hart Realty, Investment Strategies Group","Bill Holmes","860-651-4000","Value Add","$200,000,000 ","$0 ","$0 ","","","Office, Retail","United States","1/11/12"
"181","Hawkeye Partners Scout Fund 2","Hawkeye Partners","Claudia Faust","512-628-4000","Fund of Funds","$1,000,000,000 ","","","13-15","13","Seed Capital","United States","1/11/12"
"182","Mim-hayden Real Estate Fund 1","Hayden Real Estate, Miller Investment","Radcliffe Hastings","610-834-9820","Core","$108,000,000 ","$108,000,000 ","$0 ","10","10","Distressed, Office, Industrial","Philadelphia, Boston, Philadelphia","1/11/12"
"183","Hearthstone Multi-state Fund 15","Hearthstone Advisors","Mark Porath","818-385-3541","Value Add","$100,000,000 ","$0 ","$0 ","","","Land","United States","1/11/12"
"184","Hei Hospitality Fund 3","HEI Hotels & Resorts","Clark Hanrattie","203-849-2207","Value Add","$515,000,000 ","$515,000,000 ","$325,000,000 ","","","Lodging","United States","1/11/12"
"185","Heitman European Property Partners 4","Heitman","Gordon Black","44-207-318-1035","Value Add","$672,205,500 ","$672,205,500 ","$403,908,968 ","13-15","13","Office, Retail, Multifamily","Europe, Ukraine, Russia","1/11/12"
"186","Heitman Value Partners Fund 3","Heitman","Jim Bachner","312-541-6770","Value Add","$600,000,000 ","$0 ","$0 ","12-14","12","Multifamily, Self Storage","United States","1/11/12"
"187","Casa Partners 5","Henderson Global Investors","J.P. Rachmaninoff","312-397-1486","Core","$400,000,000 ","$105,000,000 ","$25,000,000 ","11-13","11","Multifamily","United States","1/11/12"
"188","Hg Capital 9","HG Capital","Andrew Jobst","650-322-3400","Opportunity","$50,000,000 ","$22,600,000 ","","","","Office, Retail, Industrial, Lodging, Multifamily","Western United States, Seattle, San Francisco, Los Angeles, San Diego","1/11/12"
"189","High Street Real Estate Fund 4","High Street Equity Advisors","Dan Coughlin","617-737-5202","Value Add","$500,000,000 ","$0 ","$0 ","13-15","13","Industrial","Boston","1/11/12"
"190","Highcross Regional Uk Partners 3","Highcross Group","Peter Gubb","44-163-552-1088","Opportunity","$695,725,200 ","$695,725,200 ","$409,430,749 ","","","Office","England","1/11/12"
"191","Hines European Development Fund 2","Hines","Mark Sears","44-207-292-1900","Value Add","$861,221,700 ","$861,221,700 ","$230,701,840 ","14+","14+","Office","Europe","1/11/12"
"192","Hpg Capital Fund 1","HPG Capital","Tobin Haggard","972-422-4515","Opportunity","$50,000,000 ","$0 ","$0 ","18","18","Distressed","United States","1/11/12"
"193","Hudson Realty Capital Fund 5","Hudson Realty Capital","Spencer Garfield","212-532-3553","High Yield Debt","$250,000,000 ","$250,000,000 ","$125,000,000 ","14-16","14","Mortgages, Preferred Equity","United States, Other","1/11/12"
"194","Hungerford Properties Western Canada Opportunities Fund","Hungerford Properties","George Hungerford","604-736-8500","Opportunity","$150,220,650 ","$22,911,638 ","$14,942,372 ","17","17","Industrial","Canada","1/11/12"
"195","Hutensky Capital Partners Fund 2","Hutensky Group","Veronique Longo","860-297-4585","Opportunity","$101,000,000 ","$101,000,000 ","$70,000,000 ","17-19","17","Retail","United States","1/11/12"
"196","Il&fs India Realty Fund 2","IL&FS Investment Managers","Shahzaad Dalal","91-222-653-3333","Opportunity","$895,000,000 ","$895,000,000 ","$565,000,000 ","20+","20+","Office","India","1/11/12"
"197","Imt Capital Fund 2","IMT Capital","Michael Browne","818-784-4700","Value Add","$350,000,000 ","$350,000,000 ","","13-16","13","Multifamily","United States","1/11/12"
"198","Integrated Capital Hospitality Fund 1","Integrated Capital","Kenneth Fearn","310-441-8801","Opportunity","$105,000,000 ","$105,000,000 ","$32,000,000 ","","","Lodging","United States","1/11/12"
"199","Aig Asian Real Estate Partners 2","Invesco Real Estate","Takuya Yamada","81-33-218-5965","Opportunity","$863,100,000 ","$863,100,000 ","$60,626,437 ","","","Office","Asia","1/11/12"
"200","Invesco Asia Real Estate Fund","Invesco Real Estate","Soon Lau","852-3-128-6000","Opportunity","$200,000,000 ","$200,000,000 ","","","","Office","Asia","1/11/12"
"201","Invesco Real Estate Debt Fund 3","Invesco Real Estate","Scott Dennis","972-715-7400","High Yield Debt","$300,000,000 ","$0 ","$0 ","12","12","Mortgages","United States","1/11/12"
"202","Invesco Real Estate Fund 3","Invesco Real Estate","Scott Dennis","972-715-7400","Value Add","$500,000,000 ","$150,000,000 ","","14","14","Office","United States","1/11/12"
"203","Investcorp Real Estate Credit Fund 2","Investcorp","Christopher Hoeffel","212-703-1147","High Yield Debt","$200,000,000 ","$0 ","$0 ","12-15","12","Mortgages","United States","1/11/12"
"204","Investors Diversified Realty Fund","Investors Diversified Realty","Gary Zdolshek","216-622-0004","Fund of Funds","$250,000,000 ","$150,000,000 ","$80,000,000 ","10-12","10","Office","United States","1/11/12"
"205","Iron Point Real Estate Partners Fund 2","Iron Point Partners","Bill James","202-452-8400","Opportunity","$450,000,000 ","$325,000,000 ","$75,000,000 ","18-20","18","Distressed, Data Centers","United States","1/11/12"
"206","Iron Stone Real Estate Fund 3","Iron Stone Strategic Capital","Andrew Eisenstein","215-508-2210","Opportunity","$75,000,000 ","$0 ","$0 ","18","18","Distressed, Preferred Equity","Boston, New York City, Philadelphia","1/11/12"
"207","J.P. Morgan Greater China Property Fund","J.P. Morgan","David Chen","852-280-02-088","Opportunity","$608,000,000 ","$608,000,000 ","$304,000,000 ","","","Office","China","1/11/12"
"208","J.P. Morgan Greater Europe Opportunistic Fund","J.P. Morgan","Peter Reilly","44-207-777-0410","Value Add","$236,935,800 ","$236,935,800 ","$118,366,732 ","","","Office","Europe","1/11/12"
"209","Junius Real Estate Fund","J.P. Morgan","John Fraser","212-648-0592","Opportunity","$750,000,000 ","$0 ","$0 ","16+","16+","Office","United States","1/11/12"
"210","Jbg Investment Fund 8","JBG Cos.","James Iker","240-333-3668","Opportunity","$750,000,000 ","$750,000,000 ","$150,000,000 ","","","Office","Washington D.C.","1/11/12"
"211","Jcr Commercial Real Estate Finance Fund 2","JCR Capital Investment","Jay Rollins","303-501-8880","High Yield Debt","$100,000,000 ","$46,000,000 ","$0 ","16-18","16","Office","Western United States","1/11/12"
"212","Jensen Russian Real Estate Fund 2","Jensen Group","Steven Wayne","7-812-325-1306","Opportunity","$155,000,000 ","$155,000,000 ","","","","Office","Russia","1/11/12"
"213","Jmi Realty Partners 4","JMI Realty","Gregory Clay","512-539-3600","Value Add","$300,000,000 ","$0 ","$0 ","14-16","14","Lodging","Western United States","1/11/12"
"214","Jbc Opportunity Fund 4","John Buck Co.","Blake Johnson, Charles Beaver","312-993-9800","Opportunity","$350,000,000 ","$100,000,000 ","$30,000,000 ","14-18","14","Office, Multifamily, Mixed Use","United States","1/11/12"
"215","Rose Value-add Office Retrofit Fund","Jonathan Rose Cos.","Wendy Rowden","917-542-3612","Value Add","$150,000,000 ","$10,000,000 ","$0 ","13-16","13","Office, Clean Tech","United States","1/11/12"
"216","State of Texas Real Estate Fund","JP Realty, KGW Real Estate","Kevin White","972-398-0010","Opportunity","$500,000,000 ","$0 ","$0 ","20-22","20","Distressed, Office","United States","1/11/12"
"217","Kayne Anderson Real Estate Partners Fund 2","Kayne Anderson","Albert Rabil","917-767-3131","Value Add","$575,000,000 ","$575,000,000 ","$285,000,000 ","15","15","Student Housing","United States","1/11/12"
"218","Kennedy Wilson Real Estate Fund 4","Kennedy Wilson ","Donald Herrema","310-887-6400","Value Add","$300,000,000 ","$135,000,000 ","$70,000,000 ","13-17","13","Office","United States","1/11/12"
"219","Keystone Property Fund 3","Keystone Property","Matt Sigel","610-980-7000","Opportunity","$58,800,000 ","$58,800,000 ","$22,900,000 ","","","Office","Eastern United States","1/11/12"
"220","Khp Fund 3","Kimpton Hotel & Restaurant","Joe Long","415-397-5572","Opportunity","$200,000,000 ","$0 ","$0 ","","","Lodging","United States","1/11/12"
"221","Davinci Japan Real Estate Partners 5","KK DaVinci Advisors","Sam Kaneko","81-36-215-9700Â ","Opportunity","$937,080,000 ","$937,080,000 ","","","","Office","Japan","1/11/12"
"222","Ksl Capital Partners Fund 3","KSL Capital","Eric Resnick","720-284-6400","Opportunity","$2,000,000,000 ","$2,000,000,000 ","$0 ","16+","16+","Lodging, Resort, Recreation","United States","1/11/12"
"223","Ktr Industrial Fund 3","KTR Capital","Robert Savage","212-710-5060","Value Add","$700,000,000 ","$0 ","$0 ","13-15","13","Industrial","United States, Canada","1/11/12"
"224","Landmark Real Estate Fund 6","Landmark Partners","Jamie Sunday","617-556-3918","Opportunity","$718,000,000 ","$718,000,000 ","$290,000,000 ","16-18","16","Secondary Stakes","United States","1/11/12"
"225","Lasalle Income & Growth Fund 6","LaSalle Investment","Jim Hutchinson","312-228-2396","Value Add","$600,000,000 ","$0 ","$0 ","15","15","Distressed","United States","1/11/12"
"226","Lasalle Mexico Fund 1","LaSalle Investment","Eduardo Guernez","52-555-980-8071","Value Add","$300,000,000 ","$300,000,000 ","$150,000,000 ","15+","15+","Office","Mexico","1/11/12"
"227","Lm Real Estate Capital Fund 3","Latitude Management","Glenn Sonnenberg","310-234-2101","High Yield Debt","$300,000,000 ","$0 ","$0 ","","","Mortgages, Distressed","United States, Canada","1/11/12"
"228","Ethika Diversified Opportunity Real Estate Fund","Laurus Corp.","Andres Szita","310-954-2009","Value Add","$200,000,000 ","$0 ","$0 ","14-17","14","Office","United States","1/11/12"
"229","Lba Realty Fund 4","LBA Realty","David Thomas","858-824-2101","Value Add","$750,000,000 ","$750,000,000 ","$475,000,000 ","15-16","15","Office, Industrial","Western United States, Seattle","1/11/12"
"230","Lcn European Fund","LCN Capital","Edward Lapuma","212-201-4073","Value Add","$266,220,000 ","$0 ","$0 ","15","15","Office","Europe","1/11/12"
"231","Lcn North American Fund","LCN Capital","Edward Lapuma","212-201-4073","Value Add","$200,000,000 ","$0 ","$0 ","15","15","Office","United States","1/11/12"
"232","Lem Real Estate High-yield Debt Fund","LEM Partners","Herb Miller","215-557-9600","High Yield Debt","$300,000,000 ","$100,000,000 ","$0 ","11-14","11","Mortgages","United States","1/11/12"
"233","Emerging Beachfront Land Investment Fund 2","LimeTree Capital","James Goulding","852-2-117-8593","Opportunity","$370,000,000 ","$370,000,000 ","$18,000,000 ","20+","20+","Land","Asia","1/11/12"
"234","Liquid Realty Partners 5","Liquid Realty","Scott Landress","415-875-7500","Fund of Funds","$750,000,000 ","$0 ","$0 ","","","Secondary Stakes","United States, Asia","1/11/12"
"235","Lone Star Real Estate Fund 2","Lone Star Funds","Len Allen","214-754-8300","High Yield Debt","$5,500,000,000 ","$5,500,000,000 ","","","","Office, Retail","United States, Japan","1/11/12"
"236","Long Wharf Real Estate Partners 4","Long Wharf Real Estate","Michael Elizondo","617-250-7260","Value Add","$400,000,000 ","$0 ","$0 ","13-16","13","Office","United States","1/11/12"
"237","Longbow Uk Real Estate Debt Fund 2","Longbow Real Estate Capital","Kevin Cooper, Martin Wheeler","44-207-529-2660","High Yield Debt","$322,126,200 ","$322,126,200 ","$84,948,892 ","14-16","14","Mortgages","England","1/11/12"
"238","Lowe Enterprises Investors Real Estate Recovery Fund","Lowe Enterprises","Peter Houghton","310-820-6661","Value Add","$400,000,000 ","$0 ","$0 ","13-16","13","Office","Western United States","1/11/12"
"239","Lubert-adler Real Estate Fund 6","Lubert-Adler Partners","Gerry Ronon","215-972-2220","Opportunity","$2,500,000,000 ","$2,500,000,000 ","$1,875,000,000 ","","","Office","United States","1/11/12"
"240","Macfarlan Distressed Asset Fund","MacFarlan Capital","Todd White","214-932-3103","Opportunity","$300,000,000 ","$0 ","$0 ","16","16","Office","Southwestern United States","1/11/12"
"241","Madison International Real Estate Liquidity Fund 4","Madison International Realty","Ronald Dickerman","212-688-8777","Opportunity","$510,000,000 ","$510,000,000 ","$250,000,000 ","","","Office","United States, Australia","1/11/12"
"242","Sullivan Debt Fund","Madison Realty Capital","Josh Zegen","646-442-2403","High Yield Debt","$300,000,000 ","$0 ","$0 ","","","Office","United States","1/11/12"
"243","Magellan Industrial Fund","Magellan Group","Martin Slusser","310-277-8337","Value Add","$50,000,000 ","$35,000,000 ","$15,000,000 ","15+","15+","Industrial","Southern California","1/11/12"
"244","Malkin Strategic Capital 6","Malkin Properties","George Perry","212-883-9436","High Yield Debt","$50,000,000 ","$15,000,000 ","$15,000,000 ","10+","10+","Preferred Equity","United States","1/11/12"
"245","Marathon Real Estate Lending And Distressed Debt Program","Marathon Asset Management","Scott Schwartz, Ron Bernstein","212-500-3000","High Yield Debt","$500,000,000 ","$125,000,000 ","$62,000,000 ","15-18","15","Distressed, Mortgages","United States","1/11/12"
"246","Marcus Capital Partners Fund 1","Marcus Partners","Kyle O'connor","617-556-5200","Value Add","$250,000,000 ","$250,000,000 ","$82,500,000 ","","","Office, Medical Office, Industrial","Boston, New York City, Philadelphia","1/11/12"
"247","Mariner Real Estate Partners Fund 3","Mariner Real Estate","Ryan Anderson","816-561-3796","High Yield Debt","$300,000,000 ","$80,000,000 ","$52,000,000 ","","","Office","United States","1/11/12"
"248","Mrm Real Estate Capital Fund 1","Marley Real Estate, Robert Martin","Stephanie Power","212-581-4540","Opportunity","$300,000,000 ","$0 ","$0 ","16","16","Office, Retail, Industrial, Lodging","New York City, Southeastern United States, Georgia, Atlanta","1/11/12"
"249","Mgra Genesis Value Added Fund 2","MayfieldGentry Realty","Emery Matthews","313-221-1270","Value Add","$400,000,000 ","$0 ","$0 ","12-16","12","Office","United States","1/11/12"
"250","Medproperties Capital Partners","MedProperties Holdings","Darryl Freling","214-661-1000","Opportunity","$50,000,000 ","$50,000,000 ","$23,000,000 ","20+","20+","Healthcare","United States","1/11/12"
"251","Menlo Realty Partners 4","Menlo Equities","Henry Bullock","650-326-9300","Value Add","$110,000,000 ","$110,000,000 ","$55,000,000 ","14","14","Office","California","1/11/12"
"252","Meridian Realty Partners Fund 1","Meridian Group","David Cheek","301-718-0800","Value Add","$300,000,000 ","$0 ","$0 ","","","Office","Washington D.C.","1/11/12"
"253","Meritage Real Estate Value Partners Fund 3","Meritage Properties","Andrew Nathan","914-723-3533","Value Add","$150,000,000 ","$41,000,000 ","$12,000,000 ","","","Office","Boston","1/11/12"
"254","Mgp Fund 10","Merlone Geier Partners","Bradley Geier","858-259-9909","Value Add","$600,000,000 ","$600,000,000 ","$0 ","13-16","13","Retail, Mixed Use","Western United States, Seattle","1/11/12"
"255","Mesa West Real Estate Income Fund 2","Mesa West Capital","Jeff Friedman","310-806-6300","High Yield Debt","$614,500,000 ","$614,500,000 ","$460,000,000 ","11-13","11","Mortgages, Preferred Equity","Western United States, Seattle, San Francisco","1/11/12"
"256","Mesa West Real Estate Income Fund 3","Mesa West Capital","Jeff Friedman","310-806-6300","High Yield Debt","$650,000,000 ","$0 ","$0 ","12","12","Mortgages, Bridge Loans","Western United States, Los Angeles, San Diego","1/11/12"
"257","Mfire Global Real Estate Investment Program 2","Mesirow Financial","Joshua Daitch","312-595-6062","Fund of Funds","$300,000,000 ","$100,000,000 ","$0 ","12","12","Office, Industrial","United States","1/11/12"
"258","Metropolitan Real Estate Partners 7","Metropolitan Real Estate Equity","Jeff Gardner","212-812-4945","Fund of Funds","$292,000,000 ","$292,000,000 ","$0 ","13-15","13","Office","United States","1/11/12"
"259","Metropolitan Real Estate Partners 8","Metropolitan Real Estate Equity","Jeff Gardner","212-812-4945","Fund of Funds","$129,000,000 ","$129,000,000 ","","13-15","13","Office","United States","1/11/12"
"260","Metropolitan Real Estate Partners Global 5","Metropolitan Real Estate Equity","Jeff Gardner","212-812-4945","Fund of Funds","$72,000,000 ","$72,000,000 ","","13-15","13","Office","United States","1/11/12"
"261","Metropolitan Real Estate Partners International Fund 3","Metropolitan Real Estate Equity","Jeff Gardner","212-812-4945","Fund of Funds","$168,000,000 ","$168,000,000 ","$5,000,000 ","13-15","13","Office","Europe","1/11/12"
"262","Metropolitan Real Estate Partners International 4","Metropolitan Real Estate Equity","Jeff Gardner","212-812-4945","Fund of Funds","$156,000,000 ","$156,000,000 ","","13-15","13","Office","Europe","1/11/12"
"263","Mrep Distressed Strategies Fund 2","Metropolitan Real Estate Equity","Jeff Gardner","212-812-4945","Fund of Funds","$89,000,000 ","$89,000,000 ","","13-15","13","Office","United States","1/11/12"
"264","Meyer Bergman European Retail Partners Fund 2","Meyer Bergman","Markus Meijer","44-207-355-8300","Opportunity","$798,660,000 ","$0 ","$0 ","16","16","Retail","Europe","1/11/12"
"265","Mgpa Asia Fund 3","MGPA","John Saunders","852-3162-6000","Opportunity","$3,890,000,000 ","$3,890,000,000 ","$1,943,000,000 ","16+","16+","Office","Asia","1/11/12"
"266","Mgpa Europe Fund 4","MGPA","Laurent Luccioni","44-207-591-6630","Opportunity","$1,064,880,000 ","$133,110,000 ","","15-17","15","Office","Europe","1/11/12"
"267","Michigan Avenue Real Estate Investors Opportunity Fund 2","Michigan Avenue Real Estate Investors","Tom Meador","847-498-6400","Opportunity","$50,000,000 ","$0 ","$0 ","20","20","Multifamily","Chicago","1/11/12"
"268","Milestone Real Estate Investors Fund 3","Milestone Group","Jeffrey Goldberg","212-871-5905","Value Add","$300,000,000 ","$0 ","$0 ","12-14","12","Multifamily","United States","1/11/12"
"269","Unnamed Vehicle","Morgan Stanley","Oliver De Poulipiquet, John Klopp","212-761-8999","Opportunity","$1,000,000,000 ","$0 ","$0 ","16+","16+","Office, Retail","United States","1/11/12"
"270","Morgan Stanley Real Estate Fund 7 Global","Morgan Stanley","Oliver De Poulipiquet, John Klopp","212-761-8999","Opportunity","$4,000,000,000 ","$4,000,000,000 ","$1,900,000,000 ","","","Office, Retail","United States, Europe","1/11/12"
"271","Morrison Street Fund 4","Morrison Street Capital","Rance Gregory","503-952-0700","High Yield Debt","$75,000,000 ","$60,000,000 ","$25,000,000 ","","","Mortgages, Preferred Equity","Western United States, Seattle","1/11/12"
"272","Mountgrange Real Estate Opportunity Fund","Mountgrange Investment","Sian Morgan","44-207-494-7627","Opportunity","$478,710,000 ","$478,710,000 ","$220,214,659 ","16+","16+","Office","England","1/11/12"
"273","Murray Hill Manhattan Office Fund","Murray Hill Properties","Norman Sturner","212-944-4747","Opportunity","$600,000,000 ","$0 ","$0 ","15-17","15","Office","New York City","1/11/12"
"274","New Boston Real Estate Investment Fund 8","New Boston Fund","Jim Kelleher","617-878-7734","Value Add","$350,000,000 ","$0 ","$0 ","","","Office","United States","1/11/12"
"275","New Vista Investment Group Fund 1","New Vista Investment","Fred Caffey","312-629-3141","Value Add","$150,000,000 ","$136,000,000 ","","12-15","12","Office","United States","1/11/12"
"276","Niam Nordic 5","Niam AB","Fredrik Jonsson","46-70-844-3023","Opportunity","$798,660,000 ","$598,995,000 ","$121,178,758 ","15-18","15","Office","Europe","1/11/12"
"277","Niam Nordic Core-plus Fund","Niam AB","Fredrik Jonsson","46-70-844-3023","Core","$399,330,000 ","$0 ","$0 ","10-12","10","Office","Europe","1/11/12"
"278","Noble Hospitality Fund 2","Noble Investment","Rodney Williams","404-262-9660","Opportunity","$200,000,000 ","$35,000,000 ","$0 ","16+","16+","Lodging","United States","1/11/12"
"279","Normandy Real Estate Fund 3","Normandy Real Estate","David Welsh, Jeff Gronning","973-898-1160","Value Add","$500,000,000 ","$0 ","$0 ","14-15","14","Office","Northeastern United States, Boston","1/11/12"
"280","Northland Fund 4","Northland Investment","Steven Rosenthal","617-965-7100","Opportunity","$100,000,000 ","$30,000,000 ","","16-18","16","Office","United States","1/11/12"
"281","Northlight Real Estate Opportunity Fund 1","Northlight Financial","Chris Jahrmarkt","212-247-3330","High Yield Debt","$200,000,000 ","$0 ","$0 ","15+","15+","Office","United States","1/11/12"
"282","Northstar Strategic Real Estate Fund","Northstar Commercial","R. Brian Watson","303-893-9500","Opportunity","$500,000,000 ","$0 ","$0 ","16+","16+","Industrial","United States","1/11/12"
"283","Northwood Real Estate Partners","Northwood Investors","John Kukral","212-573-0800","Opportunity","$2,310,000,000 ","$2,310,000,000 ","$1,300,000,000 ","","","Office","United States","1/11/12"
"284","Ocm Real Estate Opportunities Fund 5","Oaktree Capital","John Brady","213-830-6300","Opportunity","$1,025,000,000 ","$1,025,000,000 ","$784,000,000 ","","","Office","United States","1/11/12"
"285","Och-ziff Real Estate Fund 2","Och-Ziff Capital","Steven Orbuch","212-790-0105","Opportunity","$840,000,000 ","$840,000,000 ","$275,000,000 ","16","16","Lodging, Gaming","United States","1/11/12"
