ID_Position,CIPFamily,CIPFamilyTitle,Variable,Value,Percentage_Position
SS,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,1,0.142857143
SS,38,PHILOSOPHY AND RELIGIOUS STUDIES.,College Major,1,0.142857143
SS,45,SOCIAL SCIENCES.,College Major,2,0.285714286
SS,50,VISUAL AND PERFORMING ARTS.,College Major,1,0.142857143
TE,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,3,0.027027027
TE,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,7,0.063063063
TE,13,EDUCATION.,College Major,2,0.018018018
TE,14,ENGINEERING.,College Major,3,0.027027027
TE,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS.,College Major,1,0.009009009
TE,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,1,0.009009009
TE,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,28,0.252252252
TE,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,2,0.018018018
TE,30,MULTI/INTERDISCIPLINARY STUDIES.,College Major,3,0.027027027
TE,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,15,0.135135135
TE,33,CITIZENSHIP ACTIVITIES.,College Major,1,0.009009009
TE,42,PSYCHOLOGY.,College Major,5,0.045045045
TE,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,2,0.018018018
TE,45,SOCIAL SCIENCES.,College Major,8,0.072072072
TE,50,VISUAL AND PERFORMING ARTS.,College Major,1,0.009009009
TE,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,27,0.243243243
TE,54,HISTORY.,College Major,2,0.018018018
WR,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,3,0.013157895
WR,3,NATURAL RESOURCES AND CONSERVATION.,College Major,1,0.004385965
WR,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,25,0.109649123
WR,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,1,0.004385965
WR,13,EDUCATION.,College Major,5,0.021929825
WR,14,ENGINEERING.,College Major,7,0.030701754
WR,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",College Major,1,0.004385965
WR,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,6,0.026315789
WR,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,54,0.236842105
WR,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,3,0.013157895
WR,30,MULTI/INTERDISCIPLINARY STUDIES.,College Major,2,0.00877193
WR,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,32,0.140350877
WR,33,CITIZENSHIP ACTIVITIES.,College Major,1,0.004385965
WR,42,PSYCHOLOGY.,College Major,4,0.01754386
WR,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,5,0.021929825
WR,45,SOCIAL SCIENCES.,College Major,29,0.127192982
WR,50,VISUAL AND PERFORMING ARTS.,College Major,3,0.013157895
WR,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,College Major,2,0.00877193
WR,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,44,0.192982456
