Year,unitid,Institution_Name,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.NON,T.NON.M,T.NON.F
1984-1985,139959,University of Georgia,Bachelor's degree,Business and Management,6',915,503,412,889,491,398,20,9,11,2,1,1,0,0,0,0,0,0,4,2,2
1984-1985,142115,Boise State University,Bachelor's degree,Allied Health,17',9,4,5,8,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,142115,Boise State University,Bachelor's degree,Health Sciences,18',21,5,16,21,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,142115,Boise State University,Bachelor's degree,Life Sciences,26',16,10,6,15,9,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1984-1985,142115,Boise State University,Bachelor's degree,Multi/Interdisciplinary Studies,30',13,13,0,12,12,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1984-1985,142115,Boise State University,Bachelor's degree,Parks and Recreation,31',7,3,4,5,3,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
1984-1985,142115,Boise State University,Bachelor's degree,Precision Production,48',4,2,2,3,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1984-1985,147767,Northwestern University,Bachelor's degree,Computer and Information Sciences,11',81,57,24,64,47,17,8,5,3,0,0,0,8,4,4,1,1,0,0,0,0
1984-1985,147767,Northwestern University,Bachelor's degree,Foreign Languages,16',25,4,21,24,4,20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,147767,Northwestern University,Bachelor's degree,Allied Health,17',100,34,66,90,28,62,0,0,0,0,0,0,3,1,2,0,0,0,7,5,2
1984-1985,147767,Northwestern University,Bachelor's degree,Psychology,42',58,26,32,44,22,22,5,1,4,2,0,2,7,3,4,0,0,0,0,0,0
1984-1985,147767,Northwestern University,Bachelor's degree,Public Affairs,44',70,22,48,62,17,45,6,5,1,0,0,0,1,0,1,0,0,0,1,0,1
1984-1985,147767,Northwestern University,Bachelor's degree,Social Sciences,45',391,221,170,342,194,148,30,16,14,6,2,4,13,9,4,0,0,0,0,0,0
1984-1985,147767,Northwestern University,Bachelor's degree,Area and Ethnic Studies,5',18,10,8,18,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,147767,Northwestern University,Bachelor's degree,Visual and Performing Arts,50',165,66,99,150,61,89,8,3,5,3,1,2,3,1,2,0,0,0,1,0,1
1984-1985,152080,University of Notre Dame,Bachelor's degree,Engineering,14',345,287,58,323,272,51,1,1,0,9,5,4,9,6,3,1,1,0,2,2,0
1984-1985,152080,University of Notre Dame,Bachelor's degree,Foreign Languages,16',14,6,8,11,5,6,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0
1984-1985,152080,University of Notre Dame,Bachelor's degree,Liberal/General Studies,24',70,46,24,67,45,22,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
1984-1985,152080,University of Notre Dame,Bachelor's degree,Life Sciences,26',87,53,34,80,49,31,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0
1984-1985,152080,University of Notre Dame,Bachelor's degree,Psychology,42',60,24,36,54,24,30,4,0,4,1,0,1,1,0,1,0,0,0,0,0,0
1984-1985,152080,University of Notre Dame,Bachelor's degree,Visual and Performing Arts,50',42,27,15,31,19,12,7,5,2,3,3,0,0,0,0,0,0,0,0,0,0
1984-1985,135726,University of Miami,Bachelor's degree,Liberal/General Studies,24',1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,135726,University of Miami,Bachelor's degree,Social Sciences,45',79,40,39,45,24,21,3,2,1,24,12,12,0,0,0,0,0,0,7,2,5
1984-1985,135726,University of Miami,Bachelor's degree,Visual and Performing Arts,50',82,45,37,62,36,26,3,1,2,8,3,5,0,0,0,0,0,0,9,5,4
1984-1985,139959,University of Georgia,Bachelor's degree,Foreign Languages,16',42,15,27,37,13,24,0,0,0,1,1,0,1,1,0,0,0,0,3,0,3
1984-1985,139959,University of Georgia,Bachelor's degree,Health Sciences,18',170,51,119,162,49,113,5,0,5,1,1,0,1,0,1,0,0,0,1,1,0
1984-1985,139959,University of Georgia,Bachelor's degree,Home Economics,19',92,2,90,87,2,85,2,0,2,0,0,0,0,0,0,1,0,1,2,0,2
1984-1985,139959,University of Georgia,Bachelor's degree,Agricultural Sciences,2',168,125,43,149,111,38,5,2,3,1,0,1,0,0,0,0,0,0,13,12,1
1984-1985,139959,University of Georgia,Bachelor's degree,Letters,23',165,59,106,155,59,96,9,0,9,0,0,0,0,0,0,1,0,1,0,0,0
1984-1985,139959,University of Georgia,Bachelor's degree,Multi/Interdisciplinary Studies,30',29,14,15,27,13,14,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
1984-1985,139959,University of Georgia,Bachelor's degree,Area and Ethnic Studies,5',1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,142115,Boise State University,Bachelor's degree,Letters,23',15,5,10,14,5,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1984-1985,142115,Boise State University,Bachelor's degree,Mathematics,27',18,14,4,18,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,142115,Boise State University,Bachelor's degree,Physical Sciences,40',33,22,11,28,18,10,0,0,0,1,0,1,2,2,0,0,0,0,2,2,0
1984-1985,142115,Boise State University,Bachelor's degree,Psychology,42',11,3,8,11,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,142115,Boise State University,Bachelor's degree,Protective Services,43',38,28,10,34,24,10,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0
1984-1985,142115,Boise State University,Bachelor's degree,Social Sciences,45',81,51,30,76,46,30,1,1,0,3,3,0,1,1,0,0,0,0,0,0,0
1984-1985,142115,Boise State University,Bachelor's degree,Transportation and Material Moving,49',11,10,1,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1984-1985,142115,Boise State University,Bachelor's degree,Business and Management,6',258,149,109,253,147,106,0,0,0,2,1,1,3,1,2,0,0,0,0,0,0
1984-1985,142115,Boise State University,Bachelor's degree,Business (Administrative Support),7',8,0,8,7,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1984-1985,142115,Boise State University,Bachelor's degree,Communications,9',29,12,17,29,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,147767,Northwestern University,Bachelor's degree,Letters,23',73,29,44,69,29,40,1,0,1,0,0,0,3,0,3,0,0,0,0,0,0
1984-1985,147767,Northwestern University,Bachelor's degree,Life Sciences,26',73,40,33,51,27,24,7,4,3,1,1,0,14,8,6,0,0,0,0,0,0
1984-1985,147767,Northwestern University,Bachelor's degree,Mathematics,27',23,15,8,19,13,6,0,0,0,0,0,0,3,1,2,0,0,0,1,1,0
1984-1985,147767,Northwestern University,Bachelor's degree,Physical Sciences,40',44,32,12,35,26,9,1,0,1,1,1,0,7,5,2,0,0,0,0,0,0
1984-1985,152080,University of Notre Dame,Bachelor's degree,Philosophy and Religion,38',25,19,6,24,18,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,139959,University of Georgia,Bachelor's degree,Marketing and Distribution,8',62,1,61,60,1,59,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,142115,Boise State University,Bachelor's degree,Engineering and Engineering Related Technologies,15',7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,142115,Boise State University,Bachelor's degree,Mechanics and Repairers,47',1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,142115,Boise State University,Bachelor's degree,Visual and Performing Arts,50',37,14,23,35,14,21,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
1984-1985,147767,Northwestern University,Bachelor's degree,Education,13',93,32,61,79,26,53,8,3,5,4,2,2,2,1,1,0,0,0,0,0,0
1984-1985,147767,Northwestern University,Bachelor's degree,Engineering,14',270,197,73,218,162,56,24,15,9,1,1,0,27,19,8,0,0,0,0,0,0
1984-1985,147767,Northwestern University,Bachelor's degree,Health Sciences,18',119,28,91,100,23,77,11,1,10,0,0,0,8,4,4,0,0,0,0,0,0
1984-1985,147767,Northwestern University,Bachelor's degree,Multi/Interdisciplinary Studies,30',18,12,6,17,11,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1984-1985,147767,Northwestern University,Bachelor's degree,Business and Management,6',3,0,3,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1984-1985,152080,University of Notre Dame,Bachelor's degree,Mathematics,27',52,23,29,52,23,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,152080,University of Notre Dame,Bachelor's degree,Theology,39',6,5,1,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,155399,Kansas State University,Bachelor's degree,Computer and Information Sciences,11',99,60,39,92,57,35,1,1,0,2,1,1,2,1,1,0,0,0,2,0,2
1984-1985,155399,Kansas State University,Bachelor's degree,Home Economics,19',125,7,118,118,6,112,5,1,4,0,0,0,2,0,2,0,0,0,0,0,0
1984-1985,155399,Kansas State University,Bachelor's degree,Vocational Home Economics,20',35,5,30,35,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,155399,Kansas State University,Bachelor's degree,Law (non-first professional),22',2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,155399,Kansas State University,Bachelor's degree,Letters,23',36,10,26,34,9,25,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
1984-1985,155399,Kansas State University,Bachelor's degree,Multi/Interdisciplinary Studies,30',43,22,21,42,21,21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1984-1985,155399,Kansas State University,Bachelor's degree,Psychology,42',50,10,40,48,10,38,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1984-1985,157289,University of Louisville,Bachelor's degree,Education,13',150,27,123,138,23,115,8,1,7,0,0,0,2,2,0,1,1,0,1,0,1
1984-1985,157289,University of Louisville,Bachelor's degree,Allied Health,17',36,3,33,34,3,31,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
1984-1985,157289,University of Louisville,Bachelor's degree,Home Economics,19',3,0,3,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1984-1985,157289,University of Louisville,Bachelor's degree,Letters,23',31,9,22,28,9,19,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,157289,University of Louisville,Bachelor's degree,Life Sciences,26',66,40,26,60,37,23,1,1,0,1,0,1,3,1,2,0,0,0,1,1,0
1984-1985,157289,University of Louisville,Bachelor's degree,Philosophy and Religion,38',4,3,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,157289,University of Louisville,Bachelor's degree,Psychology,42',50,12,38,45,10,35,2,1,1,0,0,0,1,0,1,2,1,1,0,0,0
1984-1985,155399,Kansas State University,Bachelor's degree,Education,13',308,52,256,301,51,250,6,1,5,1,0,1,0,0,0,0,0,0,0,0,0
1984-1985,155399,Kansas State University,Bachelor's degree,Engineering,14',400,362,38,359,326,33,5,3,2,7,6,1,16,15,1,1,1,0,12,11,1
1984-1985,155399,Kansas State University,Bachelor's degree,Engineering and Engineering Related Technologies,15',78,74,4,76,72,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1984-1985,155399,Kansas State University,Bachelor's degree,Health Sciences,18',31,19,12,28,17,11,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0
1984-1985,155399,Kansas State University,Bachelor's degree,Public Affairs,44',41,3,38,38,3,35,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1
1984-1985,155399,Kansas State University,Bachelor's degree,Visual and Performing Arts,50',51,19,32,47,16,31,1,1,0,2,1,1,0,0,0,1,1,0,0,0,0
1984-1985,155399,Kansas State University,Bachelor's degree,Communications,9',121,54,67,117,52,65,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
1984-1985,157289,University of Louisville,Bachelor's degree,Parks and Recreation,31',8,4,4,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1984-1985,157289,University of Louisville,Bachelor's degree,Architecture and Environmental Design,4',17,3,14,16,3,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,157289,University of Louisville,Bachelor's degree,Physical Sciences,40',35,28,7,32,25,7,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0
1984-1985,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Computer and Information Sciences,11',63,41,22,49,32,17,0,0,0,1,1,0,2,1,1,0,0,0,11,7,4
1984-1985,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Health Sciences,18',82,51,31,73,47,26,1,1,0,5,2,3,0,0,0,0,0,0,3,1,2
1984-1985,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Home Economics,19',130,6,124,116,3,113,4,1,3,2,1,1,0,0,0,2,0,2,5,0,5
1984-1985,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Letters,23',55,16,39,53,16,37,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
1984-1985,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Architecture and Environmental Design,4',124,63,61,98,48,50,4,2,2,5,3,2,0,0,0,0,0,0,17,10,7
1984-1985,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Protective Services,43',51,35,16,41,30,11,9,5,4,0,0,0,0,0,0,0,0,0,1,0,1
1984-1985,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Business and Management,6',710,364,346,629,322,307,32,11,21,11,8,3,0,0,0,1,1,0,37,22,15
1984-1985,170976,University of Michigan-Ann Arbor,Bachelor's degree,Foreign Languages,16',102,34,68,92,32,60,3,1,2,0,0,0,3,1,2,2,0,2,2,0,2
1984-1985,170976,University of Michigan-Ann Arbor,Bachelor's degree,Home Economics,19',2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,170976,University of Michigan-Ann Arbor,Bachelor's degree,Psychology,42',333,99,234,299,88,211,14,4,10,3,2,1,14,4,10,2,1,1,1,0,1
1984-1985,170976,University of Michigan-Ann Arbor,Bachelor's degree,Area and Ethnic Studies,5',49,17,32,43,14,29,2,2,0,0,0,0,4,1,3,0,0,0,0,0,0
1984-1985,170976,University of Michigan-Ann Arbor,Bachelor's degree,Visual and Performing Arts,50',271,95,176,260,91,169,1,1,0,0,0,0,4,1,3,1,0,1,5,2,3
1984-1985,181464,University of Nebraska-Lincoln,Bachelor's degree,Education,13',394,130,264,386,127,259,5,3,2,3,0,3,0,0,0,0,0,0,0,0,0
1984-1985,181464,University of Nebraska-Lincoln,Bachelor's degree,Engineering,14',310,280,30,281,252,29,3,3,0,1,1,0,24,23,1,1,1,0,0,0,0
1984-1985,157289,University of Louisville,Bachelor's degree,Visual and Performing Arts,50',42,18,24,41,18,23,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,157289,University of Louisville,Bachelor's degree,Communications,9',115,53,62,96,47,49,17,6,11,1,0,1,1,0,1,0,0,0,0,0,0
1984-1985,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Allied Health,17',27,2,25,26,2,24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Life Sciences,26',80,50,30,68,45,23,0,0,0,5,3,2,1,0,1,0,0,0,6,2,4
1984-1985,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Physical Sciences,40',61,48,13,54,43,11,1,0,1,1,1,0,0,0,0,0,0,0,5,4,1
1984-1985,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Social Sciences,45',160,92,68,146,86,60,4,0,4,7,4,3,1,0,1,0,0,0,2,2,0
1984-1985,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Area and Ethnic Studies,5',2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,170976,University of Michigan-Ann Arbor,Bachelor's degree,Life Sciences,26',304,183,121,251,152,99,10,2,8,7,5,2,30,19,11,0,0,0,6,5,1
1984-1985,170976,University of Michigan-Ann Arbor,Bachelor's degree,Multi/Interdisciplinary Studies,30',117,55,62,111,52,59,3,2,1,0,0,0,1,0,1,1,0,1,1,1,0
1984-1985,170976,University of Michigan-Ann Arbor,Bachelor's degree,Philosophy and Religion,38',50,27,23,47,27,20,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1
1984-1985,170976,University of Michigan-Ann Arbor,Bachelor's degree,Science Technologies,41',3,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,181464,University of Nebraska-Lincoln,Bachelor's degree,Agricultural Business and Production,1',140,124,16,139,123,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,181464,University of Nebraska-Lincoln,Bachelor's degree,Allied Health,17',7,1,6,6,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,181464,University of Nebraska-Lincoln,Bachelor's degree,Home Economics,19',239,12,227,232,10,222,3,0,3,2,2,0,2,0,2,0,0,0,0,0,0
1984-1985,186380,Rutgers University-New Brunswick,Bachelor's degree,Agricultural Business and Production,1',88,53,35,77,48,29,7,3,4,2,1,1,2,1,1,0,0,0,0,0,0
1984-1985,186380,Rutgers University-New Brunswick,Bachelor's degree,Foreign Languages,16',111,30,81,75,15,60,11,4,7,22,11,11,3,0,3,0,0,0,0,0,0
1984-1985,186380,Rutgers University-New Brunswick,Bachelor's degree,Philosophy and Religion,38',21,13,8,21,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,186380,Rutgers University-New Brunswick,Bachelor's degree,Architecture and Environmental Design,4',34,20,14,31,19,12,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0
1984-1985,186380,Rutgers University-New Brunswick,Bachelor's degree,Social Sciences,45',1088,535,553,932,475,457,96,34,62,30,13,17,27,12,15,3,1,2,0,0,0
1984-1985,198419,Duke University,Bachelor's degree,Allied Health,17',47,23,24,47,23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,198419,Duke University,Bachelor's degree,Letters,23',73,27,46,68,24,44,3,2,1,1,0,1,1,1,0,0,0,0,0,0,0
1984-1985,198419,Duke University,Bachelor's degree,Life Sciences,26',135,64,71,121,57,64,3,1,2,4,1,3,7,5,2,0,0,0,0,0,0
1984-1985,198419,Duke University,Bachelor's degree,Philosophy and Religion,38',27,18,9,25,17,8,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
1984-1985,198419,Duke University,Bachelor's degree,Psychology,42',153,48,105,131,43,88,10,1,9,6,1,5,5,3,2,1,0,1,0,0,0
1984-1985,152080,University of Notre Dame,Bachelor's degree,Architecture and Environmental Design,4',39,32,7,37,30,7,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
1984-1985,152080,University of Notre Dame,Bachelor's degree,Area and Ethnic Studies,5',75,38,37,70,36,34,2,1,1,1,1,0,0,0,0,0,0,0,1,0,1
1984-1985,155399,Kansas State University,Bachelor's degree,Agricultural Business and Production,1',137,119,18,133,116,17,2,2,0,0,0,0,2,1,1,0,0,0,0,0,0
1984-1985,155399,Kansas State University,Bachelor's degree,Foreign Languages,16',20,7,13,20,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,155399,Kansas State University,Bachelor's degree,Agricultural Sciences,2',189,144,45,180,137,43,2,2,0,4,4,0,1,0,1,0,0,0,2,1,1
1984-1985,155399,Kansas State University,Bachelor's degree,Mathematics,27',28,14,14,27,13,14,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1984-1985,155399,Kansas State University,Bachelor's degree,Renewable Natural Resources,3',15,11,4,15,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,155399,Kansas State University,Bachelor's degree,Architecture and Environmental Design,4',149,101,48,146,98,48,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1984-1985,155399,Kansas State University,Bachelor's degree,Business (Administrative Support),7',4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,157289,University of Louisville,Bachelor's degree,Engineering,14',192,153,39,174,136,38,4,3,1,1,1,0,5,5,0,0,0,0,8,8,0
1984-1985,157289,University of Louisville,Bachelor's degree,Foreign Languages,16',5,2,3,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,157289,University of Louisville,Bachelor's degree,Multi/Interdisciplinary Studies,30',6,3,3,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,157289,University of Louisville,Bachelor's degree,Social Sciences,45',132,61,71,118,56,62,11,4,7,1,0,1,2,1,1,0,0,0,0,0,0
1984-1985,157289,University of Louisville,Bachelor's degree,Area and Ethnic Studies,5',2,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,157289,University of Louisville,Bachelor's degree,Business and Management,6',414,231,183,384,214,170,22,12,10,3,3,0,2,1,1,1,0,1,2,1,1
1984-1985,157289,University of Louisville,Bachelor's degree,Business (Administrative Support),7',4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Agricultural Business and Production,1',38,29,9,23,17,6,1,0,1,0,0,0,0,0,0,0,0,0,14,12,2
1984-1985,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Engineering,14',516,445,71,387,329,58,7,3,4,8,8,0,2,1,1,0,0,0,112,104,8
1984-1985,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Engineering and Engineering Related Technologies,15',119,103,16,115,100,15,1,0,1,0,0,0,1,1,0,0,0,0,2,2,0
1984-1985,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Agricultural Sciences,2',66,40,26,44,24,20,1,1,0,3,2,1,1,0,1,0,0,0,17,13,4
1984-1985,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Law (non-first professional),22',24,17,7,23,17,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Liberal/General Studies,24',318,174,144,299,164,135,10,6,4,1,1,0,0,0,0,1,0,1,7,3,4
1984-1985,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Renewable Natural Resources,3',15,13,2,10,10,0,0,0,0,1,0,1,1,0,1,0,0,0,3,3,0
1984-1985,181464,University of Nebraska-Lincoln,Bachelor's degree,Renewable Natural Resources,3',33,24,9,32,24,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1984-1985,181464,University of Nebraska-Lincoln,Bachelor's degree,Multi/Interdisciplinary Studies,30',24,11,13,23,11,12,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1984-1985,181464,University of Nebraska-Lincoln,Bachelor's degree,Social Sciences,45',149,102,47,139,96,43,2,1,1,2,1,1,5,4,1,1,0,1,0,0,0
1984-1985,181464,University of Nebraska-Lincoln,Bachelor's degree,Area and Ethnic Studies,5',1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,186380,Rutgers University-New Brunswick,Bachelor's degree,Computer and Information Sciences,11',253,151,102,221,135,86,7,1,6,3,3,0,22,12,10,0,0,0,0,0,0
1984-1985,186380,Rutgers University-New Brunswick,Bachelor's degree,Education,13',54,15,39,45,11,34,6,2,4,2,1,1,1,1,0,0,0,0,0,0,0
1984-1985,186380,Rutgers University-New Brunswick,Bachelor's degree,Engineering,14',536,434,102,453,373,80,15,11,4,9,7,2,59,43,16,0,0,0,0,0,0
1984-1985,186380,Rutgers University-New Brunswick,Bachelor's degree,Agricultural Sciences,2',107,49,58,97,44,53,3,1,2,4,3,1,2,1,1,1,0,1,0,0,0
1984-1985,186380,Rutgers University-New Brunswick,Bachelor's degree,Letters,23',293,93,200,265,86,179,19,3,16,7,4,3,2,0,2,0,0,0,0,0,0
1984-1985,186380,Rutgers University-New Brunswick,Bachelor's degree,Mathematics,27',71,39,32,64,36,28,3,1,2,0,0,0,4,2,2,0,0,0,0,0,0
1984-1985,186380,Rutgers University-New Brunswick,Bachelor's degree,Psychology,42',301,72,229,266,63,203,12,4,8,13,5,8,10,0,10,0,0,0,0,0,0
1984-1985,186380,Rutgers University-New Brunswick,Bachelor's degree,Public Affairs,44',22,1,21,20,1,19,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
1984-1985,198419,Duke University,Bachelor's degree,Engineering,14',229,161,68,207,147,60,5,2,3,8,7,1,9,5,4,0,0,0,0,0,0
1984-1985,198419,Duke University,Bachelor's degree,Foreign Languages,16',27,8,19,25,7,18,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
1984-1985,198419,Duke University,Bachelor's degree,Public Affairs,44',79,29,50,75,29,46,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0
1984-1985,198419,Duke University,Bachelor's degree,Visual and Performing Arts,50',28,6,22,27,6,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,199120,University of North Carolina at Chapel Hill,Bachelor's degree,Life Sciences,26',172,76,96,153,71,82,14,3,11,2,1,1,2,1,1,1,0,1,0,0,0
1984-1985,199120,University of North Carolina at Chapel Hill,Bachelor's degree,Protective Services,43',60,23,37,48,20,28,12,3,9,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,199120,University of North Carolina at Chapel Hill,Bachelor's degree,Social Sciences,45',452,276,176,417,257,160,24,11,13,2,1,1,2,2,0,3,2,1,4,3,1
1984-1985,204796,Ohio State University-Main Campus,Bachelor's degree,Computer and Information Sciences,11',254,182,72,224,165,59,5,2,3,1,1,0,9,2,7,0,0,0,15,12,3
1984-1985,204796,Ohio State University-Main Campus,Bachelor's degree,Engineering,14',893,770,123,789,675,114,9,6,3,2,2,0,13,12,1,1,1,0,79,74,5
1984-1985,204796,Ohio State University-Main Campus,Bachelor's degree,Allied Health,17',256,44,212,248,44,204,5,0,5,0,0,0,1,0,1,0,0,0,2,0,2
1984-1985,204796,Ohio State University-Main Campus,Bachelor's degree,Home Economics,19',191,14,177,181,13,168,7,0,7,1,1,0,2,0,2,0,0,0,0,0,0
1984-1985,204796,Ohio State University-Main Campus,Bachelor's degree,Architecture and Environmental Design,4',119,96,23,109,87,22,2,1,1,3,3,0,1,1,0,0,0,0,4,4,0
1984-1985,199120,University of North Carolina at Chapel Hill,Bachelor's degree,Allied Health,17',70,5,65,61,3,58,7,2,5,1,0,1,0,0,0,1,0,1,0,0,0
1984-1985,199120,University of North Carolina at Chapel Hill,Bachelor's degree,Multi/Interdisciplinary Studies,30',37,20,17,34,18,16,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0
1984-1985,199120,University of North Carolina at Chapel Hill,Bachelor's degree,Physical Sciences,40',156,102,54,138,93,45,9,3,6,0,0,0,7,5,2,2,1,1,0,0,0
1984-1985,199120,University of North Carolina at Chapel Hill,Bachelor's degree,Psychology,42',195,57,138,165,45,120,27,12,15,2,0,2,0,0,0,1,0,1,0,0,0
1984-1985,199120,University of North Carolina at Chapel Hill,Bachelor's degree,Public Affairs,44',12,4,8,9,3,6,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
