Hometown,Latitude,Longitude
"Plymouth, MN",45.0105194,-93.4555093
"Maple Grove, MN",45.0724642,-93.4557877
"Eden Prairie, MN",44.8546856,-93.470786
"Many, LA",31.5687848,-93.4840645
"Ames, IA",42.02335,-93.625622
"Mansfield, LA",32.0376629,-93.7001819
"Orange, TX",30.0929879,-93.7365549
"Benton, LA",32.6948677,-93.7418454
"Shreveport, LA",32.5251516,-93.7501789
"Port Arthur, TX",29.8849504,-93.939947
"Beaumont, TX",30.080174,-94.1265562
"Oak Grove, MO",39.0050073,-94.1293909
"Elysian Fields, TX",32.3684895,-94.1829688
"Bentonville, AR",36.3728538,-94.2088172
"Blue Springs, MO",39.0169509,-94.2816148
"Stuart, IA",41.5034243,-94.3183715
"Kearney, MO",39.3677802,-94.3621703
"Marshall, TX",32.5448714,-94.3674184
"Lee's Summit, MO",38.916343,-94.383516
"Kansas City, MO",39.0997265,-94.5785667
"Leawood, KS",38.966673,-94.6169012
"Overland Park, KS",38.9822282,-94.6707917
"Anahuac, TX",29.7730001,-94.6826961
"Shawnee, KS",39.0228485,-94.7151865
"Daingerfield, TX",33.031793,-94.7218731
"Lufkin, TX",31.3382406,-94.729097
"Galveston, TX",29.3013479,-94.7976958
"Olathe, KS",38.8813958,-94.8191285
"Livingston, TX",30.711029,-94.9329898
"Basehor, KS",39.1416692,-94.9385762
"Gilmer, TX",32.7287472,-94.9424379
"Tahlequah, OK",35.91537,-94.969956
"La Marque, TX",29.3685674,-94.9713134
"Dickinson, TX",29.4607876,-95.0513172
"Wellsville, KS",38.7183422,-95.0816354
"League City, TX",29.5074538,-95.0949303
"Groveton, TX",31.0549071,-95.1257691
"Friendswood, TX",29.5293998,-95.2010447
"Galena Park, TX",29.7335616,-95.2302123
"Lawrence, KS",38.9716689,-95.2352501
"South Houston, TX",29.663008,-95.2354902
"Humble, TX",29.9988312,-95.2621553
"Pearland, TX",29.5635666,-95.2860474
"Houston, TX",29.7601927,-95.3693896
"Muskogee, OK",35.7478769,-95.3696909
"Spring, TX",30.0799405,-95.4171601
"Angleton, TX",29.16941,-95.4318847
"Lake Jackson, TX",29.0338575,-95.4343859
"Fresno, TX",29.5388465,-95.4474414
"Conroe, TX",30.3118769,-95.4560512
"The Woodlands, TX",30.1658207,-95.4612625
"Ozawkie, KS",39.2333317,-95.4669194
"Sharpstown, TX",29.7029023,-95.5249863
"Klein, TX",30.0477196,-95.5324411
"Missouri City, TX",29.6185669,-95.5377215
"Huntsville, TX",30.7235263,-95.5507771
"Sulphur Springs, TX",33.1384479,-95.6010668
"Tomball, TX",30.0971621,-95.6160549
"Topeka, KS",39.0558235,-95.6890185
"Cypress, TX",29.9691116,-95.6971686
"Katy, TX",29.7857853,-95.8243956
"Owasso, OK",36.2695388,-95.8547119
"Madisonville, TX",30.9499111,-95.9116188
"Brookshire, TX",29.7860643,-95.9510661
"Jenks, OK",36.0228734,-95.9683278
"Cayuga, TX",31.9571066,-95.9746871
"Tulsa, OK",36.1539816,-95.992775
"Omaha, NE",41.2523634,-95.9979883
"Seneca, KS",39.834165,-96.0641676
"St. Marys, KS",39.1963889,-96.0686111
"Navasota, TX",30.3879845,-96.0877349
"Blair, NE",41.5446975,-96.1350702
"Elkhorn, NE",41.2831958,-96.2368465
"Gretna, NE",41.1404549,-96.2436842
"Murdock, NE",40.925555,-96.2800116
"College Station, TX",30.627977,-96.3344068
"Bryan, TX",30.6743643,-96.3699632
"Brenham, TX",30.1668828,-96.3977442
"Westmoreland, KS",39.3938853,-96.4136137
"Corsicana, TX",32.0954304,-96.4688727
"Waverly, NE",40.9128294,-96.527643
"Seagoville, TX",32.6395776,-96.5383228
"Sunnyvale, TX",32.7965165,-96.5608242
"Manhattan, KS",39.1836082,-96.5716694
"Wahoo, NE",41.2115023,-96.6212604
"Garland, TX",32.912624,-96.6388833
"Roca, NE",40.6574889,-96.6612569
"Allen, TX",33.1031744,-96.6705503
"Lincoln, NE",40.806862,-96.681679
"Plano, TX",33.0198431,-96.6988856
"Sioux Falls, SD",43.5499749,-96.700327
"Ponca, NE",42.5624971,-96.7055917
"West Point, NE",41.8416659,-96.7086432
"Richardson, TX",32.9481789,-96.7297205
"Beatrice, NE",40.2659269,-96.7466913
"Clear Springs, TX",32.6057931,-96.7560906
"Lancaster, TX",32.5920798,-96.7561082
"Highland Park, TX",32.8334607,-96.7919454
"Dallas, TX",32.7801399,-96.8004511
"Junction City, KS",39.0286093,-96.8313978
"DeSoto, TX",32.5898577,-96.8569451
"Carrollton, TX",32.9756415,-96.8899636
"Irving, TX",32.8140177,-96.9488945
"Cedar Hill, TX",32.5884689,-96.9561152
"Crete, NE",40.6252173,-96.9615141
"Midlothian, TX",32.482361,-96.9944489
"Grand Prairie, TX",32.7459645,-96.9977846
"Towanda, KS",37.797517,-96.999758
"Coppell, TX",32.9545687,-97.0150078
"Lake Dallas, TX",33.1192875,-97.0255641
"Stillwater, OK",36.1156071,-97.0583681
"Grapevine, TX",32.9342919,-97.0780654
"Euless, TX",32.8370727,-97.0819541
"Flower Mound, TX",33.0145673,-97.0969552
"Arlington, TX",32.735687,-97.1080656
"Clay Center, KS",39.3769407,-97.1247428
"Hillsboro, TX",32.0109886,-97.1300061
"Denton, TX",33.2148412,-97.1330683
"Southlake, TX",32.9412363,-97.1341783
"Andover, KS",37.7139041,-97.1364294
"Mansfield, TX",32.5631924,-97.1416768
"Waco, TX",31.549333,-97.1466695
"Hurst, TX",32.8234621,-97.1705678
"Argyle, TX",33.1212321,-97.1833475
"Abilene, KS",38.9172216,-97.2139094
"Keller, TX",32.9345701,-97.251682
"Choctaw, OK",35.4975625,-97.2689212
"Derby, KS",37.5455735,-97.2689331
"Everman, TX",32.630968,-97.2891817
"Fort Worth, TX",32.725409,-97.3208496
"Wichita, KS",37.6888889,-97.3361111
"Corpus Christi, TX",27.8005828,-97.396381
"Canton, KS",38.3861194,-97.4280895
"Los Fresnos, TX",26.0717438,-97.4763733
"Moore, OK",35.3395079,-97.4867028
"Oklahoma City, OK",35.4675602,-97.5164276
"Salado, TX",30.9471278,-97.5386204
"Hutto, TX",30.5426995,-97.5466702
"Aledo, TX",32.6959643,-97.6022471
"Salina, KS",38.8402805,-97.6114237
"Pflugerville, TX",30.4393696,-97.6200043
"Andale, KS",37.790567,-97.629492
"Round Rock, TX",30.5082551,-97.678896
"Killeen, TX",31.1171194,-97.7277959
"Austin, TX",30.267153,-97.7430608
"Weatherford, TX",32.7592955,-97.7972544
"Cedar Park, TX",30.505198,-97.8202888
"Hutchinson, KS",38.0608445,-97.9297743
"Seguin, TX",29.5688411,-97.9647269
"Aurora, NE",40.8672415,-98.0030033
"Beloit, KS",39.4561178,-98.1061595
"New Braunfels, TX",29.7030024,-98.1244531
"Lincoln, KS",39.0403293,-98.1476965
"Cibolo, TX",29.561618,-98.2269553
"Schertz, TX",29.5521737,-98.269734
"Hastings, NE",40.5862583,-98.3898726
"Lawton, OK",34.6035669,-98.3959291
"San Antonio, TX",29.4241219,-98.4936282
"Wood River, NE",40.8221397,-98.5968293
"Helotes, TX",29.5780056,-98.6897451
"Shelton, NE",40.7775,-98.7333333
"Smith Center, KS",39.7791786,-98.7850749
"Macksville, KS",37.959182,-98.9687098
"Brownwood, TX",31.7093197,-98.9911611
"Kearney, NE",40.6993303,-99.0816784
"Litchfield, NE",41.1564497,-99.1535342
"Indianpolis, ID",19.3955884,-99.1778889
"Indianapolis, ID",19.3955884,-99.1778889
"La Crosse, KS",38.5314022,-99.3087154
"Elm Creek, NE",40.7182233,-99.3732616
"Dodge City, KS",37.7527982,-100.0170787
"Quinter, KS",39.0694514,-100.2323551
"Roscoe, TX",32.445952,-100.5387183
"Grinnell, KS",39.12723,-100.6290314
"Wauneta, NE",40.4165052,-101.3711624
"Wolfforth, TX",33.5059189,-102.0090575
"Alliance, NE",42.103111,-102.871902
"Bridgeport, NE",41.666721,-103.098198
"Sterling, CO",40.6255415,-103.207709
"Artesia, NM",32.8423345,-104.4032962
"Aurora, CO",39.7294319,-104.8319195
"Castle Rock, CO",39.3722121,-104.8560902
"Centennial, CO",39.5807452,-104.8771726
"Highlands Ranch, CO",39.5444444,-104.9680556
"Denver, CO",39.737567,-104.9847179
"Littleton, CO",39.613321,-105.0166498
"Loveland, CO",40.3977612,-105.0749801
"Lakewood, CO",39.7047095,-105.0813734
"Arvada, CO",39.8027644,-105.0874842
"Boulder, CO",40.0149856,-105.2705456
"Rifle, CO",39.5347023,-107.7831198
"Tucson, AZ",32.2217429,-110.926479
"Park City, UT",40.6460622,-111.4979729
"Apache Junction, AZ",33.4150485,-111.5495777
"Queen Creek, AZ",33.2486638,-111.6342993
"Alta, UT",40.5888394,-111.6379793
"Spanish Fork, UT",40.114955,-111.654923
"Provo, UT",40.2338438,-111.6585337
"St. Anthony, ID",43.9661111,-111.6844444
"Sterling, UT",39.1935732,-111.69242
"Orem, UT",40.2968979,-111.6946475
"Pleasant Grove, UT",40.3641184,-111.73854
"Gilbert, AZ",33.3528264,-111.789027
"American Fork, UT",40.3768954,-111.7957645
"Highland, UT",40.4248665,-111.7979285
"Cove, UT",41.9635383,-111.8060575
"Hyde Park, UT",41.7988186,-111.8191107
"Millville, UT",41.6815987,-111.8229982
"Mesa, AZ",33.4151843,-111.8314724
"Smithfield, UT",41.8382622,-111.8327229
"Logan, UT",41.7369803,-111.8338359
"Chandler, AZ",33.3061605,-111.8412502
"Sandy, UT",40.5725,-111.8597222
"Draper, UT",40.5246711,-111.8638226
"Murray, UT",40.6668916,-111.8879909
"Salt Lake City, UT",40.7607793,-111.8910474
"West Bountiful, UT",40.8938339,-111.9018828
"Scottsdale, AZ",33.4941704,-111.9260519
"South Jordan, UT",40.5621704,-111.929658
"West Jordan, UT",40.6096698,-111.9391031
"Tempe, AZ",33.4255104,-111.9400054
"Cave Creek, AZ",33.8333716,-111.9507042
"Layton, UT",41.0602216,-111.9710529
"West Valley City, UT",40.6916132,-112.0010501
"Clearfield, UT",41.1107771,-112.0260538
"Helena, MT",46.5958056,-112.0270306
"Phoenix, AZ",33.4483771,-112.0740373
"Hooper, UT",41.1638323,-112.1224431
"Tremonton, UT",41.7118728,-112.1655079
"Sun City, AZ",33.5975393,-112.2718239
"Blackfoot, ID",43.1904709,-112.3449773
"Grantsville, UT",40.5999425,-112.4643988
"Butte, MT",46.0038232,-112.5347776
"Glendale, UT",37.3177609,-112.5971542
"Rochester, CA",54.370912,-113.455132
"St. George, UT",37.0952778,-113.5780556
"Henderson, NV",36.0395247,-114.9817213
"North Las Vegas, NV",36.1988592,-115.1175013
"Las Vegas, NV",36.114646,-115.172816
"Twentynine Palms, CA",34.1355582,-116.0541689
"Boise, ID",43.6187102,-116.2146068
"Eagle, ID",43.6954424,-116.3540138
"Palm Desert, CA",33.7222445,-116.3744556
"Meridian, ID",43.6121087,-116.3915131
"Council, ID",44.7298876,-116.4381985
"Star, ID",43.6921071,-116.4934631
"Nampa, ID",43.5407172,-116.5634624
"Coeur d_Alene, ID",47.6776832,-116.7804664
"El Cajon, CA",32.7947731,-116.9625269
"Spring Valley, CA",32.744774,-116.998916
"La Mesa, CA",32.7678287,-117.0230839
"Chula Vista, CA",32.6400541,-117.0841955
"Escondido, CA",33.1192068,-117.086421
"Temecula, CA",33.4936391,-117.1483648
"San Diego, CA",32.7153292,-117.1572551
"San Marcos, CA",33.1433723,-117.1661449
"Redlands, CA",34.0555693,-117.1825381
"Rancho Santa Fe, CA",33.020321,-117.202813
"Moreno Valley, CA",33.9424658,-117.2296717
"San Bernardino, CA",34.1083449,-117.2897652
"Victorville, CA",34.5361067,-117.2911565
"Encinitas, CA",33.0369867,-117.2919818
"Colton, CA",34.0739016,-117.3136547
"Carlsbad, CA",33.1580933,-117.3505939
"Oceanside, CA",33.1958696,-117.3794834
"Riverside, CA",33.9533487,-117.3961564
"Spokane, WA",47.6587802,-117.4260466
"Fontana, CA",34.0922335,-117.435048
"Etiwanda, CA",34.1261208,-117.5236622
"Norco, CA",33.9311257,-117.548661
"Corona, CA",33.8752935,-117.5664384
"Rancho Cucamonga, CA",34.1063989,-117.5931084
"Rancho Santa Margarita, CA",33.640855,-117.603104
"San Clemente, CA",33.4269728,-117.6119925
"Upland, CA",34.09751,-117.6483876
"Foothill Ranch, CA",33.6831832,-117.6664308
"Ridgecrest, CA",35.6224561,-117.6708966
"Mission Viejo, CA",33.6000232,-117.6719953
"Dana Point, CA",33.4669721,-117.6981075
"Laguna Niguel, CA",33.5225261,-117.7075526
"Chino Hills, CA",33.9898188,-117.7325848
"Pomona, CA",34.0552267,-117.7523048
"Yorba Linda, CA",33.8886259,-117.8131125
"Covina, CA",34.0900091,-117.8903397
"Brea, CA",33.9166805,-117.9000604
"Fullerton, CA",33.8702923,-117.925338
"Baldwin Park, CA",34.0852868,-117.9608978
"Hacienda Heights, CA",33.9930677,-117.9686755
"Buena Park, CA",33.8675143,-117.9981181
"Huntington Beach, CA",33.660297,-117.9992265
"Monrovia, CA",34.1442616,-118.0019482
"La Mirada, CA",33.9172357,-118.0120086
"Cerritos, CA",33.8583483,-118.0647871
"Seal Beach, CA",33.7414064,-118.1047866
"Palmdale, CA",34.5794343,-118.1164613
"Downey, CA",33.9400143,-118.1325688
"Lakewood, CA",33.8536269,-118.1339563
"Pasadena, CA",34.1477849,-118.1445155
"Lancaster, CA",34.6867846,-118.1541632
"Franklin, LA",33.7740515,-118.1744357
"Long Beach, CA",33.768321,-118.1956168
"Los Angeles, CA",34.0522342,-118.2436849
"Glendale, CA",34.1425078,-118.255075
"Carson, CA",33.8314058,-118.2820165
"Burbank, CA",34.1808392,-118.3089661
"Torrance, CA",33.8358492,-118.3406288
"Inglewood, CA",33.9616801,-118.3531311
"Redondo Beach, CA",33.8491816,-118.3884078
"Culver City, CA",34.0211224,-118.3964665
"Pacoima, CA",34.2767691,-118.4104684
"Tehachapi, CA",35.1321877,-118.4489739
"Sherman Oaks, CA",34.1489719,-118.451357
"Santa Monica, CA",34.0194543,-118.4911912
"Pacific Palisades, CA",34.0356331,-118.5155901
"Encino, CA",34.1517492,-118.5214282
"Simi Valley, CA",34.2694474,-118.781482
"Westlake Village, CA",34.1458389,-118.8056474
"Thousand Oaks, CA",34.1705609,-118.8375937
"Connell, WA",46.6634733,-118.8611117
"Bakersfield, CA",35.3732921,-119.0187125
"Oxnard, CA",34.1975048,-119.1770516
"Ventura, CA",34.2746405,-119.2290053
"Visalia, CA",36.3302284,-119.2920585
"Kelowna, BC",49.8879519,-119.4960106
"Clovis, CA",36.8252277,-119.7029194
"Prosser, WA",46.2067997,-119.7689222
"Fresno, CA",36.7468422,-119.7725868
"Reno, NV",39.5296329,-119.8138027
"Santa Maria, CA",34.9530337,-120.4357191
"Nipomo, CA",35.0427547,-120.4759986
"Arroyo Grande, CA",35.1185868,-120.5907252
"Santa Margarita, CA",35.3899526,-120.6092971
"Pismo Beach, CA",35.1427533,-120.6412827
"Modesto, CA",37.6390972,-120.9968782
"Bly, OR",42.3979851,-121.0428654
"Granite Bay, CA",38.7632345,-121.1638361
"Redmond, OR",44.2726203,-121.1739212
"Manteca, CA",37.7974273,-121.2160526
"Orangevale, CA",38.6785145,-121.2257818
"Rocklin, CA",38.7907339,-121.2357828
"Lodi, CA",38.1301968,-121.2724473
"Roseville, CA",38.7521235,-121.2880059
"Stockton, CA",37.9577016,-121.2907796
"Bend, OR",44.0581728,-121.3153096
"Elk Grove, CA",38.4087993,-121.3716178
"Hollister, CA",36.8524545,-121.4016021
"Tracy, CA",37.7396513,-121.4252227
"Sacramento, CA",38.5815719,-121.4943996
"Morgan Hill, CA",37.1305012,-121.6543901
"Salinas, CA",36.6777372,-121.6555013
"North Bend, WA",47.4956579,-121.7867775
"Durham, CA",39.6462733,-121.7999767
"Antioch, CA",38.0049214,-121.805789
"Chico, CA",39.7284944,-121.8374777
"Pleasanton, CA",37.6624312,-121.8746789
"Pittsburg, CA",38.0279762,-121.8846806
"San Jose, CA",37.3393857,-121.8949555
"Aptos, CA",36.9771729,-121.8994016
"Milpitas, CA",37.4282724,-121.9066238
"Dublin, CA",37.7021521,-121.9357918
"Campbell, CA",37.2871651,-121.9499568
"Santa Clara, CA",37.3541079,-121.9552356
"Los Gatos, CA",37.2358078,-121.9623751
"Fremont, CA",37.5482697,-121.9885719
"Danville, CA",37.8215929,-121.9999606
"Saratoga, CA",37.2638324,-122.0230146
"Santa Cruz, CA",36.9741171,-122.0307963
"Concord, CA",37.9779776,-122.0310733
"Alamo, CA",37.8502032,-122.032184
"Sunnyvale, CA",37.36883,-122.0363496
"Pleasant Hill, CA",37.9479786,-122.0607963
"Walnut Creek, CA",37.9063131,-122.064963
"Castro Valley, CA",37.6940973,-122.0863522
"Newcastle, WA",47.5389889,-122.1556769
"Benicia, CA",38.049365,-122.1585777
"Marysville, WA",48.0517637,-122.1770818
"Menlo Park, CA",37.4538274,-122.1821871
"Atherton, CA",37.4613272,-122.197743
"Bellevue, WA",47.610377,-122.2006786
"Everett, WA",47.9789848,-122.2020794
"Bothell, WA",47.7623204,-122.2054035
"Kirkland, WA",47.6814875,-122.2087353
"Piedmont, CA",37.8243715,-122.231635
"Kent, WA",47.3809335,-122.2348431
"Red Bluff, CA",40.1784886,-122.2358302
"Redwood City, CA",37.4852152,-122.2363548
"Vallejo, CA",38.1040864,-122.2566367
"San Carlos, CA",37.5071591,-122.2605222
"Oakland, CA",37.8043637,-122.2711137
"Napa, CA",38.2975381,-122.286865
"Federal Way, WA",47.3223221,-122.3126222
"Burien, WA",47.4703767,-122.3467918
"Richmond, CA",37.9357576,-122.3477486
"Boring, OR",45.4311514,-122.3536955
"Edmonds, WA",47.8106521,-122.3773552
"San Francisco, CA",37.7749295,-122.4194155
"Tacoma, WA",47.2528768,-122.4442906
"Brush Prairie, WA",45.7328944,-122.5464856
"Kentfield, CA",37.9521465,-122.5571997
"Molalla, OR",45.1473445,-122.5770322
"West Linn, OR",45.3656761,-122.6123141
"Lake Oswego, OR",45.4206749,-122.6706498
"Portland, OR",45.5234515,-122.6762071
"Santa Rosa, CA",38.4404674,-122.7144314
"Tualatin, OR",45.3840077,-122.7639851
"Tigard, OR",45.4312294,-122.7714861
"Beaverton, OR",45.487062,-122.8037102
"Sherwood, OR",45.3565074,-122.840098
"Aloha, OR",45.4942838,-122.8670454
"Lebanon, OR",44.5365119,-122.9070339
"Kelso, WA",46.146779,-122.9084445
"Hillsboro, OR",45.5228939,-122.989827
"Springfield, OR",44.0462362,-123.0220289
"Salem, OR",44.9428975,-123.0350963
"Cottage Grove, OR",43.797623,-123.0595246
"Eugene, OR",44.0520691,-123.0867536
"Albany, OR",44.6365107,-123.1059282
"Banks, OR",45.6187245,-123.1142758
"Independence, OR",44.8512305,-123.1867655
"Corvallis, OR",44.5645659,-123.2620435
"Grants Pass, OR",42.4390069,-123.3283925
"Roseburg, OR",43.216505,-123.3417381
"Astoria, OR",46.1878841,-123.8312534
"Newport, OR",44.6367836,-124.0534505
"Yachats, OR",44.3112312,-124.1048418
"North Pole, AK",64.7511111,-147.3494444
"Hilo, HI",19.7297222,-155.09
"Haiku, HI",20.9175,-156.32583
"Maui, HI",20.7983626,-156.3319253
"Kihei, HI",20.7591667,-156.4572222
"Kailua, HI",21.4022222,-157.7394444
"Honolulu, HI",21.3069444,-157.8583333
"Hauula, HI",21.612869,-157.924301
"Laie, HI",21.6486111,-157.9255556
"Ewa Beach, HI",21.3155556,-158.0072222
"Waipahu, HI",21.3866667,-158.0091667
"Nanakuli, HI",21.3933333,-158.1527778
"Waianae, HI",21.449089,-158.190704
"Walmea, HI",21.9586111,-159.6708333
"Pago Pago, AS",-14.27933,-170.700897
"Tickfaw, LA",30.5658,-90.5116
"Rockwall, TX",32.9311,-96.4594
"RockyRiver, OH",41.4756,-81.8394
"Abbotsford, BC",49.0546,-122.328
"Alexandria, LA",31.311294,-92.445137
"OxonHill, MD",38.803447,-76.989697
"Blackshear, GA",31.306051,-82.242066
"Rockledge, FL",28.319848,-80.729026
"Rheinfelden, CH",47.551666,7.792717
"RockyHill, CT",41.662315,-72.650596
"McDonaugh, GA",33.447336,-84.146862
"PhenixCity, AL",32.470976,-85.000765
"Jackson, TN",35.614517,-88.813947
"Tavistock, UK",50.551123,-4.141654
"Aberdeen, UK",57.149717,-2.094278
"Manchester, UK",53.479251,-2.247926
"GigHarbor, WA",47.329264,-122.580129
"Texarkana, TX",33.425125,-94.047688
"Rockford, IL",42.271131,-89.093995
"Jackson, SC",33.325421,-81.787891
"Tecumseh, ON",42.311797,-82.885759
"Brownsburg, ID",39.843377,-86.397773
"Kapsowar, KE",0.948567,35.508461
"Henryville, ID",38.541728,-85.767744
"London, ON",42.98695,-81.243177
"Jackson, GA",33.294565,-83.966021
"Evansville, ID",44.806094,-72.167163
"Waxhaw, NC",34.924594,-80.743402
"Rockford, MI",43.120027,-85.560032
"Alameda, CA",37.770563,-122.264779
"Moraga, CA",37.838926,-122.099224
"Middletown, CT",41.550139,-72.655357
"Panama City, FL",30.200682,-85.813624
"Peoria, IL",40.693137,-89.589847
"Mountain Brook, AL",33.500938,-86.752211
"Freeport, ME",43.864477,-70.097543
"Moore, SC",34.970097,-82.02732
"Beverly Hills, CA",33.786594,-118.298662
"Ft Lauderdale, FL",26.166474,-80.208381
"Coconut Creek, FL",26.251748,-80.178935
"Prattville, AL",32.50919,-86.440879
"Kenai, AK",60.422041,-150.407958
"Williamston, SC",34.553642,-82.612123
"Murfreesboro, TN",35.762951,-86.372158
"Inver Grove Heights, MN",44.848022,-93.042715
"Kermit, TX",31.808357,-103.1135
"Paramus, NJ",40.944997,-74.068964
"Medford, OR",42.482623,-122.72255
"Lake Forest, IL",40.754176,-88.393085
"Convent, LA",30.051774,-90.858531
"Ocean Springs, MS",31.089626,-89.766465
"Elburn, IL",41.834928,-88.469931
"Paducah, KY",37.031586,-88.713292
"Sachse, TX",32.976233,-96.59527
"McFarland, WI",43.010519,-89.363862
"Rock Island, IL",42.27179,-88.188464
"West Chester, OH",40.23368,-81.344278
"Evansville, IN",37.997128,-87.574963
"Wellborn, FL",30.194651,-82.857328
"Utica, NE",40.938023,-97.292178
"Gordo, AL",32.011697,-86.166847
"Johnson City, TN",35.767296,-89.195623
"Mustang, OK",35.390376,-97.759874
"Westchester, IL",41.811929,-87.68732
"Valencia, CA",33.786594,-118.298662
"Edmond, OK",35.674777,-97.499681
"Sierra Madre, CA",36.928286,-120.182423
"Cedar Rapids, IA",41.976612,-91.657578
"Kerrville, TX",30.012165,-95.585498
"Lunada Bay, CA",38.027423,-119.241544
"Orrville, OH",40.788723,-81.850598
"Tarboro, NC",35.928437,-77.581631
"Russellville, AL",34.444903,-87.854726
"Plain City, UT",41.297998,-112.086054
"Grantville, GA",33.275619,-84.741266
"Minot, ND",48.331131,-102.636569
"Crowley, LA",30.869347,-91.133996
"Merritt Island, FL",25.378169,-80.252552
"Fort Wayne, IN",41.130604,-85.12886
"Cheney, KS",37.633711,-97.73513
"Geismar, LA",30.205118,-90.992636
"Loomis, CA",32.76105,-116.998102
"Sorrento, FL",28.831447,-81.505121
"Ft. Wayne, IN",40.553379,-85.149971
"Lynnwood, WA",47.804869,-122.285481
"Darlington, SC",34.317738,-79.931655
"Maplewood, NJ",40.7291,-74.266541
"Dartmouth, MA",41.756214,-71.067062
"Windermere, FL",28.481031,-81.543979
"Bloomfield Hills, MI",42.575599,-83.273418
"Silver Lake, KS",39.151302,-95.86381
"Winston-Salem, NC",36.101817,-80.28762
"Fort Washington, PA",40.284947,-74.877828
"Citra, FL",29.411299,-82.084651
"Mandeville, LA",30.37706,-89.977719
"Monroe, GA",33.788322,-83.701264
"Goose Creek, SC",33.868493,-81.294081
"Madison Heights, MI",42.505292,-83.136126
"Seattle, WA",47.432251,-121.803388
"Land O'Lakes, FL",28.20752,-82.447595
"Greensboro, NC",36.055285,-79.831692
"Austintown, OH",41.101725,-80.764524
"Smoaks, SC",33.098059,-80.682465
"New Canaan, CT",41.162209,-73.501267
"River Forest, IL",41.811929,-87.68732
"Sugar Land, TX",29.525461,-95.756462
"Powell, OH",40.183405,-83.091235
"Bettendorf, IA",41.57048,-90.529138
"Snellville, GA",33.817803,-84.022911
"Mooresboro, NC",35.256702,-81.700869
"Baldwin, LA",29.846077,-91.545263
"Orangeburg, SC",33.490935,-80.821825
"Lancaster, OH",39.498125,-82.220149
"Niagara Falls, NY",43.089805,-79.009414
"Folsom, CA",38.594181,-121.310796
"Williston, ND",48.225729,-103.649047
"River Ridge, LA",29.960204,-90.215632
"Maryville, TN",35.688378,-84.076895
"Dillon, SC",34.422187,-79.341359
"Vandalia, OH",39.889006,-84.242243
"Boynton Beach, FL",26.645895,-80.430269
"Leeds, AL",33.51828,-86.584472
"Brandywine, MD",38.658807,-76.824293
"Middletown, OH",39.580616,-83.861594
"Union City, NJ",40.758951,-74.056335
"Richmond, VA",37.914858,-76.83774
"Glendale, AZ",33.276539,-112.18717
"McLean, VA",38.935202,-77.18672
"Greenwood, ID",42.576578,-114.049472
"Orange, CA",33.787795,-117.853112
"Mesquite, TX",32.777779,-96.62315
"Chapin, SC",34.135909,-81.334355
"Sparta, NJ",41.040597,-74.718191
"Euclid, OH",41.566834,-81.526142
"Tatum, SC",34.64051,-79.586895
"Annandale, NJ",40.631008,-74.890685
"Weston, FL",26.100365,-80.399775
"Canton, OH",40.6401,-83.616923
"Steubenville, OH",40.349541,-80.746759
"Mason, OH",39.397999,-84.180906
"Grand Island, NE",40.846046,-101.7258
"South Bend, ID",42.231033,-111.942455
"Pomona Park, FL",29.539751,-81.613183
"Rayville, LA",32.445645,-91.743314
"Tuscambia, AL",34.66604,-87.749232
"Wetumpka, AL",32.592659,-86.215304
"Springfield, OH",39.218391,-84.529111
"Pinson, AL",33.72988,-86.645081
"Evans, GA",33.551132,-82.143617
"Fort Walton Beach, FL",30.435237,-81.92122
"Powder Spring, GA",31.105786,-81.629827
"Monroeville, AL",31.56713,-87.314222
"Picayune, MS",30.627655,-89.63128
"Ellenwood, GA",33.61011,-84.287978
"Moundville, AL",33.136658,-86.883586
"Thomasville, AL",31.745135,-87.769476
"Blountstown, FL",30.442582,-85.046048
"Florence, AL",34.869601,-87.686915
"Nevada City, CA",38.027654,-122.540951
"Lynchburg, VA",37.383112,-79.178326
"Jupiter, FL",26.645895,-80.430269
"Gautier, MS",30.421676,-88.66487
"York, AL",32.444907,-88.193305
"Ashburn, VA",39.085309,-77.645224
"Millbrook, AL",32.584717,-86.225602
"Theodore, AL",30.486565,-88.20225
"Cockeysville, MD",39.328104,-77.0142
"Madison, AL",34.651409,-86.754233
"Columbiana, AL",33.232849,-86.554849
"Asheville, NC",35.602711,-82.567281
"Bridgeport, AL",34.799983,-85.803464
"Satsuma, AL",30.585158,-88.087879
"Prichard, AL",30.7388,-88.078889
"Lambert, MS",31.100426,-89.503417
"Port Sulphur, LA",32.491542,-92.989327
"Harrisonville, MO",38.615239,-94.321556
"Panama City Beach, FL",30.200682,-85.813624
"Reform, AL",33.314928,-88.042923
"Compton, CA",39.414386,-121.111454
"Kirkwood, MO",38.583386,-90.406785
"Anaheim, CA",33.640302,-117.769442
"Wamego, KS",39.298416,-96.341383
"St. Helena, CA",40.773476,-123.128365
"Amherst, NY",42.978391,-78.799756
"Scooba, MS",34.029737,-89.719526
"Mediapolis, IA",41.012819,-91.127994
"Scott City, KS",38.868058,-96.794453
"Belleville, IL",42.320577,-88.355089
"Claremore, OK",36.348616,-95.604344
"Sugarland, TX",29.525461,-95.756462
"La Habra, CA",33.640302,-117.769442
"Rialto, CA",34.202339,-115.567483
"Concord, NC",36.445974,-79.066402
"La Quinta, CA",38.850382,-122.214722
"Union, NC",36.333766,-77.024127
