"","CIP_Classificaiton","Year","White.Men","Foreign.Men","Foreign.Women","Asian.Islander.Men","Asian.Islander.Women","White.Women","Hispanic.Men","Hispanic.Women","Black.Men","Black.Women","Other.Men","Other.Women"
"493","Area- Ethnic- Cultural- Gender- and Group Studies","1996-1997",179,5,9,11,34,327,22,45,36,65,10,8
"494","Marketing and Distribution","1996-1997",291,23,27,9,18,242,10,7,13,18,1,5
"495","Communication- Journalism- and Related Programs","1996-1997",1752,62,92,78,135,2827,128,222,102,239,47,75
"496","Computer and Information Sciences and Support Services","1996-1997",867,158,63,185,93,169,44,9,35,20,21,10
"497","Education","1996-1997",1626,9,32,40,90,4069,55,104,94,193,42,92
"498","Engineering","1996-1997",5903,776,131,915,244,1313,396,99,288,162,175,31
"499","Foreign Languages- Literatures- and Linguistics","1996-1997",460,15,57,22,53,842,62,151,18,39,15,32
"500","Family and Consumer Sciences/Human Sciences","1996-1997",267,8,41,7,60,1805,13,67,35,84,5,33
"501","English language and literature/letters.","1996-1997",1505,4,16,66,117,2592,77,158,71,236,46,73
"502","Biological and Biomedical Sciences","1996-1997",2340,53,63,563,505,2240,189,144,91,214,61,59
"503","Mathematics and Statistics","1996-1997",567,31,30,67,37,420,36,23,26,47,11,8
"504","Philosophy and Religious Studies","1996-1997",350,6,5,41,22,152,21,11,15,13,10,8
"505","Physical Sciences","1996-1997",928,35,12,105,86,416,39,27,38,44,36,10
"506","Science Technologies","1996-1997",5,0,0,1,2,1,0,0,0,2,0,0
"507","Psychology","1996-1997",1462,27,67,152,290,3744,121,331,89,352,47,94
"508","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","1996-1997",739,6,0,35,19,415,69,61,88,117,16,12
"509","Public administration and social service professions.","1996-1997",156,2,5,16,34,538,13,45,21,71,5,15
"510","Social Sciences and History","1996-1997",5971,274,199,398,338,4343,451,414,406,495,146,145
"511","Visual and performing arts.","1996-1997",1305,51,118,96,133,1995,108,111,65,75,42,55
"512","Health Professions and Related Programs","1996-1997",925,15,37,95,301,3341,64,192,42,254,23,78
"513","Business- Management- Marketing- and Related Support Services","1996-1997",7312,679,535,518,635,5035,425,397,346,428,147,107
"514","Liberal arts and sciences- general studies and humanities.","1996-1997",400,26,15,17,26,627,30,50,39,69,21,25
"515","Multi/Interdisciplinary Studies","1996-1997",467,7,11,55,102,1134,49,103,21,39,13,20
"516","Parks- Recreation- Leisure and Fitness Studies","1996-1997",485,8,6,13,15,508,29,19,28,39,8,8
"517","Construction Trades","1996-1997",13,0,0,0,0,2,0,1,0,0,0,0
"518","Engineering Technologies and Engineering-related Fields","1996-1997",513,9,3,11,2,40,32,6,12,6,5,2
"519","Transportation and materials moving.","1996-1997",100,1,0,2,0,15,4,0,7,0,4,0
"520","Legal professions and studies.","1996-1997",10,0,0,1,0,1,0,1,1,1,0,0
"521","Theology and religious vocations.","1996-1997",4,0,0,0,0,6,0,0,1,0,0,0
"522","Communications Technologies/Technicians and Support Services","1996-1997",54,1,2,0,1,40,1,0,0,1,0,2
"523","Precision Production Trades","1996-1997",10,0,0,0,0,0,0,0,0,0,0,0
"524","Agriculture- Agriculture Operations and Related Sciences","1997-1998",772,16,6,9,8,344,16,13,19,13,12,6
"525","Agricultural Sciences","1997-1998",1106,26,20,16,20,792,51,49,9,21,24,12
"526","Natural Resources and Conservation","1997-1998",833,13,8,17,20,545,20,24,9,16,30,27
"527","Architecture and Related Services","1997-1998",754,57,37,48,31,343,86,30,28,9,20,8
"528","Marketing and Distribution","1997-1998",293,30,20,6,10,234,15,5,12,20,3,3
"529","Communication- Journalism- and Related Programs","1997-1998",1874,52,118,73,172,3117,141,247,124,326,51,71
"530","Computer and Information Sciences and Support Services","1997-1998",938,153,55,201,69,185,62,13,39,26,30,5
"531","Education","1997-1998",1523,25,22,42,125,4006,68,156,104,181,45,74
"532","Engineering","1997-1998",5779,746,121,998,312,1268,444,136,269,147,164,31
"533","Foreign Languages- Literatures- and Linguistics","1997-1998",464,27,50,28,96,942,63,156,20,71,21,33
"534","Family and Consumer Sciences/Human Sciences","1997-1998",310,8,32,17,70,2064,13,64,43,148,1,26
"535","English language and literature/letters.","1997-1998",1470,13,18,69,166,2707,85,189,79,257,44,70
"536","Biological and Biomedical Sciences","1997-1998",2283,52,66,582,605,2345,169,177,105,253,64,84
"537","Mathematics and Statistics","1997-1998",589,34,18,59,54,386,43,31,27,39,11,9
"538","Philosophy and Religious Studies","1997-1998",355,8,3,24,23,195,34,13,17,8,14,8
"539","Physical Sciences","1997-1998",862,45,20,97,74,388,33,22,26,35,22,16
"540","Science Technologies","1997-1998",1,0,0,0,0,2,0,0,0,0,0,0
"541","Psychology","1997-1998",1456,25,100,148,354,3647,151,319,99,397,54,106
"542","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","1997-1998",621,3,5,42,15,339,61,54,82,120,24,18
"543","Public administration and social service professions.","1997-1998",164,4,5,16,44,554,14,46,36,108,5,21
"544","Social Sciences and History","1997-1998",5864,273,198,488,430,4618,462,450,424,519,190,164
"545","Visual and performing arts.","1997-1998",1377,52,118,110,168,2136,102,169,78,107,58,99
"546","Health Professions and Related Programs","1997-1998",885,17,38,141,428,3663,70,243,61,283,24,80
"547","Business- Management- Marketing- and Related Support Services","1997-1998",7928,743,636,683,816,5192,576,415,343,459,173,121
"548","Area- Ethnic- Cultural- Gender- and Group Studies","1997-1998",171,6,16,15,40,364,15,41,37,68,13,10
"549","Multi/Interdisciplinary Studies","1997-1998",470,10,17,49,111,1129,45,141,19,42,18,18
"550","Parks- Recreation- Leisure and Fitness Studies","1997-1998",541,10,9,17,31,644,32,38,27,53,17,11
"551","Construction Trades","1997-1998",21,0,0,0,0,0,0,0,0,0,0,0
"552","Engineering Technologies and Engineering-related Fields","1997-1998",570,21,2,12,3,34,46,5,11,3,11,1
"553","Liberal arts and sciences- general studies and humanities.","1997-1998",438,17,16,25,49,652,39,52,47,85,13,29
"554","Library Science","1997-1998",8,0,0,0,0,7,1,0,1,2,0,1
"555","Transportation and materials moving.","1997-1998",84,4,1,2,0,20,3,0,6,1,2,0
"556","Theology and religious vocations.","1997-1998",3,0,0,0,1,4,0,0,0,0,0,0
"557","Communications Technologies/Technicians and Support Services","1997-1998",120,3,12,10,9,69,10,6,2,15,3,1
"558","Legal professions and studies.","1997-1998",3,0,0,0,0,4,0,0,1,0,0,0
"559","Precision Production Trades","1997-1998",5,0,0,1,0,0,0,0,0,0,0,0
"560","Agriculture- Agriculture Operations and Related Sciences","1998-1999",838,24,5,7,6,447,39,21,27,12,21,6
"561","Agricultural Sciences","1998-1999",1061,17,14,19,22,880,34,40,12,17,36,31
"562","Natural Resources and Conservation","1998-1999",880,9,10,16,23,582,20,19,9,17,51,29
"563","Architecture and Related Services","1998-1999",762,66,38,43,28,379,60,37,20,10,27,15
"564","Communication- Journalism- and Related Programs","1998-1999",1870,62,88,97,209,3215,158,243,152,320,49,79
"565","Computer and Information Sciences and Support Services","1998-1999",1036,177,60,282,130,200,72,17,50,34,36,12
"566","Education","1998-1999",1491,9,25,44,115,4074,65,169,107,207,45,140
"567","Engineering","1998-1999",5657,754,130,916,323,1342,428,134,293,183,191,48
"568","Foreign Languages- Literatures- and Linguistics","1998-1999",511,17,53,26,78,936,60,156,18,62,20,44
"569","Family and Consumer Sciences/Human Sciences","1998-1999",401,5,44,27,108,2315,13,84,41,142,7,64
"570","English language and literature/letters.","1998-1999",1555,7,24,71,155,2772,93,193,74,251,58,78
"571","Biological and Biomedical Sciences","1998-1999",2183,45,57,516,570,2445,193,205,107,278,78,99
"572","Mathematics and Statistics","1998-1999",646,40,19,50,59,460,48,39,26,52,20,9
"573","Philosophy and Religious Studies","1998-1999",365,8,3,29,17,183,31,8,18,8,24,13
"574","Physical Sciences","1998-1999",791,33,19,102,73,396,43,22,26,45,24,13
"575","Psychology","1998-1999",1336,16,89,129,318,3639,142,342,110,348,52,149
"576","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","1998-1999",649,6,4,40,18,350,64,58,73,100,22,19
"577","Public administration and social service professions.","1998-1999",163,0,7,18,42,604,20,67,38,110,12,21
"578","Social Sciences and History","1998-1999",5817,304,227,472,443,4537,472,454,398,563,231,217
"579","Visual and performing arts.","1998-1999",1421,65,115,106,153,2235,113,180,64,83,59,83
"580","Health Professions and Related Programs","1998-1999",840,15,40,123,389,3344,76,237,44,273,23,78
"581","Business- Management- Marketing- and Related Support Services","1998-1999",8535,769,703,751,885,6036,545,490,383,485,212,178
"582","Area- Ethnic- Cultural- Gender- and Group Studies","1998-1999",156,11,13,15,34,346,28,50,30,71,14,18
"583","Multi/Interdisciplinary Studies","1998-1999",392,4,11,48,105,1210,50,134,22,53,19,29
"584","Parks- Recreation- Leisure and Fitness Studies","1998-1999",618,12,13,27,26,707,31,32,52,71,11,13
"585","Marketing and Distribution","1998-1999",217,12,11,8,4,172,10,11,22,19,4,6
"586","Construction Trades","1998-1999",19,0,0,0,0,1,0,0,0,0,0,0
"587","Liberal arts and sciences- general studies and humanities.","1998-1999",439,25,11,33,42,617,30,59,47,89,20,34
"588","Engineering Technologies and Engineering-related Fields","1998-1999",640,21,2,51,4,43,50,10,16,3,31,3
"589","Library Science","1998-1999",8,0,0,0,0,7,1,0,1,2,0,1
"590","Transportation and materials moving.","1998-1999",139,11,1,3,0,10,5,0,4,0,3,4
"591","Theology and religious vocations.","1998-1999",7,0,0,1,0,4,1,0,0,0,0,0
"592","Communications Technologies/Technicians and Support Services","1998-1999",113,8,10,10,4,73,13,9,11,0,2,0
"593","Legal professions and studies.","1998-1999",9,0,0,0,0,3,2,1,0,0,0,0
"594","Precision Production Trades","1998-1999",11,0,0,0,0,0,0,0,0,0,0,0
"595","Agriculture- Agriculture Operations and Related Sciences","1999-2000",982,19,5,8,3,423,45,17,23,16,16,16
"596","Agricultural Sciences","1999-2000",887,19,9,11,22,855,34,45,11,20,33,40
"597","Natural Resources and Conservation","1999-2000",742,11,9,12,28,596,11,27,7,6,36,31
"598","Architecture and Related Services","1999-2000",786,50,34,64,39,401,75,44,26,19,21,11
"599","Communication- Journalism- and Related Programs","1999-2000",1955,52,103,89,225,3598,156,316,154,325,59,86
"600","Computer and Information Sciences and Support Services","1999-2000",1164,199,87,347,149,257,61,23,55,27,56,16
"601","Education","1999-2000",1311,12,20,35,110,3934,61,159,85,216,53,103
"602","Engineering","1999-2000",5592,717,155,956,346,1407,479,150,308,184,204,63
"603","Foreign Languages- Literatures- and Linguistics","1999-2000",443,24,52,37,63,919,60,170,26,51,18,47
"604","Family and Consumer Sciences/Human Sciences","1999-2000",389,4,26,32,91,2185,15,81,46,196,7,37
"605","English language and literature/letters.","1999-2000",1483,7,21,50,150,2703,93,193,80,251,58,111
"606","Biological and Biomedical Sciences","1999-2000",1922,56,61,443,518,2385,152,194,108,258,72,106
"607","Mathematics and Statistics","1999-2000",623,30,18,77,59,441,55,37,34,45,25,12
"608","Philosophy and Religious Studies","1999-2000",331,4,6,29,20,187,24,12,16,10,15,9
"609","Physical Sciences","1999-2000",810,39,19,99,81,424,37,32,23,34,30,30
"610","Psychology","1999-2000",1262,28,90,123,332,3576,114,327,106,384,70,131
"611","Public administration and social service professions.","1999-2000",158,3,7,17,36,556,20,68,29,89,10,27
"612","Social Sciences and History","1999-2000",5748,277,203,512,480,4762,540,455,406,573,273,247
"613","Visual and performing arts.","1999-2000",1487,57,121,114,166,2294,142,167,70,114,79,116
"614","Health Professions and Related Programs","1999-2000",731,10,20,108,366,3208,67,254,36,320,27,98
"615","Business- Management- Marketing- and Related Support Services","1999-2000",8670,714,620,806,991,6160,610,522,380,507,219,177
"616","Area- Ethnic- Cultural- Gender- and Group Studies","1999-2000",165,6,19,25,36,327,29,38,29,76,12,32
"617","Multi/Interdisciplinary Studies","1999-2000",502,9,16,52,107,1162,47,133,23,55,14,30
"618","Parks- Recreation- Leisure and Fitness Studies","1999-2000",611,6,6,19,29,773,36,34,49,77,22,16
"619","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","1999-2000",535,3,1,33,21,355,73,68,83,109,23,19
"620","Marketing and Distribution","1999-2000",244,6,5,6,10,157,19,7,20,14,3,7
"621","Construction Trades","1999-2000",9,0,0,0,1,2,0,0,0,0,1,1
"622","Science Technologies","1999-2000",15,0,0,0,0,2,0,0,1,1,0,0
"623","Liberal arts and sciences- general studies and humanities.","1999-2000",415,14,9,21,37,663,28,58,54,86,27,46
"624","Engineering Technologies and Engineering-related Fields","1999-2000",613,15,4,34,6,45,44,8,12,9,15,4
"625","Library Science","1999-2000",51,0,0,0,1,23,6,0,14,5,1,0
"626","Transportation and materials moving.","1999-2000",80,5,3,0,0,14,4,0,2,0,3,0
"627","Theology and religious vocations.","1999-2000",5,0,0,0,0,3,0,0,1,1,0,0
"628","Communications Technologies/Technicians and Support Services","1999-2000",149,6,3,7,6,66,15,12,5,9,3,2
"629","Legal professions and studies.","1999-2000",8,0,0,0,0,2,0,1,0,0,0,0
"630","Precision Production Trades","1999-2000",13,0,0,0,0,1,0,0,0,0,0,0
"631","Agriculture- Agriculture Operations and Related Sciences","2000-2001",887,29,2,6,7,469,27,18,27,12,24,13
"632","Agricultural Sciences","2000-2001",897,14,17,7,25,888,26,33,8,21,25,31
"633","Natural Resources and Conservation","2000-2001",681,10,14,16,14,493,18,30,3,10,38,27
"634","Architecture and Related Services","2000-2001",777,54,51,46,28,372,73,50,22,10,23,12
"635","Communication- Journalism- and Related Programs","2000-2001",2108,43,110,95,270,3716,161,334,148,338,64,127
"636","Computer and Information Sciences and Support Services","2000-2001",1336,232,87,423,199,270,94,28,86,36,88,27
"637","Education","2000-2001",1147,12,32,33,107,3638,51,133,95,178,54,86
"638","Engineering","2000-2001",5435,654,164,927,368,1301,431,128,297,185,245,70
"639","Foreign Languages- Literatures- and Linguistics","2000-2001",474,19,50,36,65,994,78,167,21,52,37,51
"640","Family and Consumer Sciences/Human Sciences","2000-2001",370,5,22,36,85,2183,11,72,42,168,8,62
"641","English language and literature/letters.","2000-2001",1410,8,21,67,161,2650,76,167,64,256,73,127
"642","Biological and Biomedical Sciences","2000-2001",1824,55,64,397,464,2396,190,190,97,259,104,107
"643","Mathematics and Statistics","2000-2001",563,28,18,73,54,437,55,31,25,23,21,20
"644","Philosophy and Religious Studies","2000-2001",357,6,1,18,21,173,23,17,21,15,30,15
"645","Physical Sciences","2000-2001",767,31,18,78,65,420,46,32,27,31,42,20
"646","Psychology","2000-2001",1244,23,79,126,305,3752,109,337,89,408,64,177
"647","Public administration and social service professions.","2000-2001",134,1,4,29,33,473,19,77,25,80,7,24
"648","Social Sciences and History","2000-2001",5767,263,208,531,536,4924,501,444,428,572,294,261
"649","Visual and performing arts.","2000-2001",1586,63,91,117,205,2491,157,177,101,112,88,114
"650","Health Professions and Related Programs","2000-2001",637,10,26,121,359,2899,72,251,52,307,18,89
"651","Business- Management- Marketing- and Related Support Services","2000-2001",8962,591,565,850,1054,6382,533,529,417,599,244,186
"652","Area- Ethnic- Cultural- Gender- and Group Studies","2000-2001",145,3,9,18,44,380,20,65,33,81,15,34
"653","Multi/Interdisciplinary Studies","2000-2001",469,9,25,60,127,1248,47,131,25,57,36,39
"654","Parks- Recreation- Leisure and Fitness Studies","2000-2001",639,12,11,27,33,800,37,36,65,80,19,13
"655","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","2000-2001",513,4,0,19,20,354,57,52,74,124,29,13
"656","Construction Trades","2000-2001",16,0,0,0,0,1,0,0,0,0,0,0
"657","Science Technologies","2000-2001",16,1,0,0,0,7,0,0,2,4,0,0
"658","Engineering Technologies and Engineering-related Fields","2000-2001",639,13,3,44,10,56,59,4,16,3,28,4
"659","Liberal arts and sciences- general studies and humanities.","2000-2001",430,7,9,13,38,706,30,66,51,85,34,35
"660","Transportation and materials moving.","2000-2001",119,4,0,2,0,11,1,0,6,1,2,1
"661","Marketing and Distribution","2000-2001",232,6,9,8,7,208,18,5,18,17,6,11
"662","Theology and religious vocations.","2000-2001",5,0,0,0,0,9,0,0,0,0,0,0
"663","Communications Technologies/Technicians and Support Services","2000-2001",35,2,1,1,0,51,0,0,2,3,0,0
"664","Legal professions and studies.","2000-2001",9,0,0,0,1,3,0,3,1,3,1,0
"665","Precision Production Trades","2000-2001",10,0,0,0,0,0,0,0,0,0,0,0
"666","Agriculture- Agriculture Operations and Related Sciences","2001-2002",965,26,5,8,5,467,41,21,23,20,20,14
"667","Agricultural Sciences","2001-2002",834,12,12,18,29,912,31,38,7,32,24,17
"668","Natural Resources and Conservation","2001-2002",609,11,16,14,14,490,16,21,8,7,33,25
"669","Architecture and Related Services","2001-2002",761,40,25,42,25,508,49,36,18,10,29,17
"670","Communication- Journalism- and Related Programs","2001-2002",2007,46,92,103,253,4185,134,389,143,360,69,142
"671","Computer and Information Sciences and Support Services","2001-2002",1474,241,108,499,233,326,114,30,86,59,86,19
"672","Education","2001-2002",1174,10,23,42,109,3716,55,140,79,179,46,111
"673","Engineering","2001-2002",5528,610,149,958,393,1326,448,147,277,218,242,63
"674","Foreign Languages- Literatures- and Linguistics","2001-2002",464,16,46,37,82,939,62,159,17,62,27,42
"675","Family and Consumer Sciences/Human Sciences","2001-2002",382,7,41,5,90,2234,18,73,39,188,8,60
"676","English language and literature/letters.","2001-2002",1455,8,21,72,149,2764,94,185,79,215,66,132
"677","Biological and Biomedical Sciences","2001-2002",1852,44,69,374,501,2405,151,190,89,233,99,116
"678","Mathematics and Statistics","2001-2002",585,24,13,55,46,417,27,31,27,39,29,16
"679","Parks- Recreation- Leisure and Fitness Studies","2001-2002",674,10,17,32,33,833,30,40,66,81,14,22
"680","Philosophy and Religious Studies","2001-2002",378,2,4,26,16,205,29,16,10,19,25,15
"681","Physical Sciences","2001-2002",720,21,18,77,68,468,52,30,19,34,31,17
"682","Psychology","2001-2002",1292,19,96,124,325,3718,136,377,108,481,64,178
"683","Public administration and social service professions.","2001-2002",123,1,9,23,51,478,23,65,19,104,3,16
"684","Social Sciences and History","2001-2002",6263,253,232,638,615,5165,538,553,430,672,307,257
"685","Visual and performing arts.","2001-2002",1739,59,111,136,208,2552,150,173,99,120,81,158
"686","Health Professions and Related Programs","2001-2002",488,7,34,83,276,2704,65,234,45,318,29,85
"687","Business- Management- Marketing- and Related Support Services","2001-2002",9303,540,513,910,1106,6988,567,501,418,612,253,269
"688","Area- Ethnic- Cultural- Gender- and Group Studies","2001-2002",164,4,8,12,42,352,26,52,37,81,9,27
"689","Multi/Interdisciplinary Studies","2001-2002",502,9,22,68,119,1245,41,133,31,71,26,45
"690","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","2001-2002",484,2,1,28,17,360,51,66,56,110,25,15
"691","Construction Trades","2001-2002",19,0,0,0,0,1,2,0,0,0,1,0
"692","Science Technologies","2001-2002",17,0,0,0,0,7,0,1,3,2,0,0
"693","Engineering Technologies and Engineering-related Fields","2001-2002",703,13,2,31,5,52,46,2,17,5,38,4
"694","Liberal arts and sciences- general studies and humanities.","2001-2002",440,10,7,29,53,640,16,42,37,64,30,42
"695","Transportation and materials moving.","2001-2002",107,4,1,2,0,15,3,0,9,0,4,1
"696","Marketing and Distribution","2001-2002",197,3,1,6,6,206,25,7,18,22,7,14
"697","Theology and religious vocations.","2001-2002",8,0,0,0,0,11,1,0,0,0,0,0
"698","Communications Technologies/Technicians and Support Services","2001-2002",42,0,0,1,2,46,0,1,6,5,0,0
"699","Legal professions and studies.","2001-2002",13,0,0,1,0,2,1,4,0,1,0,1
"700","Precision Production Trades","2001-2002",8,0,0,0,0,1,1,0,0,0,1,0
"701","Agriculture- Agriculture Operations and Related Sciences","2002-2003",1708,40,18,20,39,1405,49,62,40,37,39,39
"702","Natural Resources and Conservation","2002-2003",593,7,11,15,37,489,18,25,8,11,33,31
"703","Architecture and Related Services","2002-2003",798,33,36,59,43,497,54,57,23,16,33,21
"704","Communication- Journalism- and Related Programs","2002-2003",2082,48,131,113,299,4597,177,400,152,386,93,149
"705","Computer and Information Sciences and Support Services","2002-2003",1787,304,140,513,222,346,124,44,94,68,104,28
"706","Education","2002-2003",1163,13,20,31,92,3704,45,131,122,190,39,130
"707","Engineering","2002-2003",5782,583,137,989,387,1382,434,141,299,193,267,74
"708","Foreign Languages- Literatures- and Linguistics","2002-2003",516,23,35,33,106,1037,68,163,27,68,38,67
"709","Family and Consumer Sciences/Human Sciences","2002-2003",427,5,27,19,82,2351,13,90,39,193,6,59
"710","English language and literature/letters.","2002-2003",1429,12,12,65,154,2748,86,183,59,251,61,119
"711","Biological and Biomedical Sciences","2002-2003",1936,49,72,365,560,2563,169,219,115,297,95,125
"712","Mathematics and Statistics","2002-2003",460,49,26,56,44,307,40,21,27,39,20,15
"713","Philosophy and Religious Studies","2002-2003",435,6,3,23,16,239,40,18,20,18,25,17
"714","Physical Sciences","2002-2003",767,23,17,85,45,422,55,20,32,41,33,20
"715","Psychology","2002-2003",1232,25,92,129,335,3943,140,376,106,449,68,162
"716","Public administration and social service professions.","2002-2003",134,1,5,17,48,514,12,58,24,100,19,29
"717","Social Sciences and History","2002-2003",5520,267,224,628,643,4712,486,526,467,702,295,274
"718","Visual and performing arts.","2002-2003",1748,52,114,156,200,2767,158,187,88,138,115,136
"719","Health Professions and Related Programs","2002-2003",452,10,30,68,301,2760,56,235,33,324,24,76
"720","Business- Management- Marketing- and Related Support Services","2002-2003",9837,561,493,1054,1116,7418,637,577,475,668,322,253
"721","History","2002-2003",1436,5,8,43,49,905,96,59,53,66,56,37
"722","Area- Ethnic- Cultural- Gender- and Group Studies","2002-2003",169,6,8,25,41,359,22,47,39,98,12,30
"723","Multi/Interdisciplinary Studies","2002-2003",421,17,39,51,112,1242,39,111,31,56,26,56
"724","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","2002-2003",421,3,2,21,26,323,43,54,64,102,23,23
"725","Parks- Recreation- Leisure and Fitness Studies","2002-2003",737,12,19,56,41,866,48,52,55,89,29,23
"726","Construction Trades","2002-2003",18,0,0,0,0,3,2,0,0,0,1,0
"727","Science Technologies","2002-2003",33,0,0,0,0,6,0,0,3,1,0,0
"728","Engineering Technologies and Engineering-related Fields","2002-2003",672,14,6,29,13,55,33,11,17,7,21,3
"729","Liberal arts and sciences- general studies and humanities.","2002-2003",473,8,11,29,45,724,26,50,65,72,24,40
"730","Mechanics and Repairers","2002-2003",7,0,0,0,0,0,0,0,0,0,1,0
"731","Transportation and materials moving.","2002-2003",168,1,6,8,0,15,8,0,3,1,15,4
"732","Theology and religious vocations.","2002-2003",9,0,0,0,0,15,3,1,0,0,0,0
"733","Communications Technologies/Technicians and Support Services","2002-2003",36,0,0,0,4,43,0,2,2,4,0,0
"734","Legal professions and studies.","2002-2003",9,1,0,2,0,2,1,7,1,3,0,0
"735","Precision Production Trades","2002-2003",9,0,0,0,0,0,0,0,0,0,0,0
"736","Agriculture- Agriculture Operations and Related Sciences","2003-2004",1704,35,27,14,27,1370,56,72,39,56,35,31
"737","Natural Resources and Conservation","2003-2004",576,8,12,12,20,465,19,23,7,12,31,24
"738","Architecture and Related Services","2003-2004",728,32,27,26,47,486,39,36,16,12,29,27
"739","Communication- Journalism- and Related Programs","2003-2004",2087,43,98,115,357,4582,165,436,159,422,96,175
"740","Computer and Information Sciences and Support Services","2003-2004",1567,310,112,484,214,264,104,19,88,64,112,24
"741","Education","2003-2004",1199,11,16,21,105,3750,36,158,85,186,48,126
"742","Engineering","2003-2004",5992,603,192,1008,395,1429,477,169,340,217,291,59
"743","Foreign Languages- Literatures- and Linguistics","2003-2004",579,11,31,35,101,1043,69,167,14,77,39,65
"744","Family and Consumer Sciences/Human Sciences","2003-2004",453,9,32,27,99,2401,18,98,56,211,8,57
"745","English language and literature/letters.","2003-2004",1384,3,14,60,171,2649,120,176,71,270,70,124
"746","Biological and Biomedical Sciences","2003-2004",1941,46,80,382,571,2628,169,239,119,271,93,125
"747","Mathematics and Statistics","2003-2004",520,35,32,85,59,332,37,22,19,16,28,10
"748","Philosophy and Religious Studies","2003-2004",491,7,3,39,22,232,36,16,13,19,31,21
"749","Physical Sciences","2003-2004",810,28,17,85,73,416,43,33,23,42,36,20
"750","Psychology","2003-2004",1285,18,79,128,400,3885,154,400,100,475,73,189
"751","Public administration and social service professions.","2003-2004",137,2,9,14,31,516,19,62,31,95,8,25
"752","Social Sciences and History","2003-2004",5819,270,201,709,644,4821,539,573,501,688,286,295
"753","Visual and performing arts.","2003-2004",1683,52,101,157,217,2815,150,210,92,178,108,174
"754","Health Professions and Related Programs","2003-2004",441,6,26,43,292,2674,40,240,37,365,11,112
"755","Business- Management- Marketing- and Related Support Services","2003-2004",9843,641,554,1096,1177,7243,680,612,473,702,362,310
"756","History","2003-2004",1577,12,8,60,64,952,77,70,50,62,72,54
"757","Area- Ethnic- Cultural- Gender- and Group Studies","2003-2004",161,7,12,18,48,400,24,58,52,107,15,38
"758","Multi/Interdisciplinary Studies","2003-2004",449,12,24,72,134,1224,43,132,30,70,31,42
"759","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","2003-2004",401,1,2,27,22,364,38,63,70,105,19,24
"760","Parks- Recreation- Leisure and Fitness Studies","2003-2004",714,14,13,45,46,850,63,44,88,107,24,34
"761","Construction Trades","2003-2004",17,0,0,0,0,1,0,0,0,0,1,0
"762","Science Technologies","2003-2004",22,0,0,0,0,9,0,0,4,2,0,0
"763","Engineering Technologies and Engineering-related Fields","2003-2004",543,14,5,23,21,57,39,12,19,10,21,0
"764","Liberal arts and sciences- general studies and humanities.","2003-2004",559,5,9,34,50,644,25,54,45,86,24,43
"765","Mechanics and Repairers","2003-2004",13,0,0,0,0,1,0,0,0,0,0,0
"766","Transportation and materials moving.","2003-2004",142,4,0,7,0,24,9,1,4,1,9,0
"767","Theology and religious vocations.","2003-2004",5,0,0,2,1,13,1,0,0,0,0,0
"768","Legal professions and studies.","2003-2004",12,0,0,0,0,12,2,7,2,2,4,1
"769","Communications Technologies/Technicians and Support Services","2003-2004",48,1,0,2,0,43,1,1,0,11,0,0
"770","Military technologies.","2003-2004",0,0,0,0,0,0,0,0,0,0,0,0
"771","Precision Production Trades","2003-2004",8,0,0,1,0,0,0,0,0,0,0,0
"772","Agriculture- Agriculture Operations and Related Sciences","2004-2005",1744,33,32,22,49,1411,56,74,35,64,52,37
"773","Natural Resources and Conservation","2004-2005",538,6,8,12,15,446,26,24,5,11,26,21
"774","Architecture and Related Services","2004-2005",695,30,30,33,44,483,47,43,28,17,35,23
"775","Communication- Journalism- and Related Programs","2004-2005",2013,37,114,122,334,4405,180,436,167,429,100,186
"776","Computer and Information Sciences and Support Services","2004-2005",1409,241,68,383,132,227,129,18,103,54,88,28
"777","Education","2004-2005",1133,9,16,28,92,3638,44,143,91,183,43,153
"778","Engineering","2004-2005",6084,613,164,1042,378,1410,495,155,346,184,334,60
"779","Foreign Languages- Literatures- and Linguistics","2004-2005",562,22,37,40,108,1034,76,207,23,65,39,72
"780","Family and Consumer Sciences/Human Sciences","2004-2005",572,8,32,29,99,2626,26,128,68,255,13,77
"781","English language and literature/letters.","2004-2005",1485,10,14,68,157,2749,106,219,67,257,67,132
"782","Biological and Biomedical Sciences","2004-2005",2027,63,95,465,656,2635,181,307,110,253,108,123
"783","Mathematics and Statistics","2004-2005",561,39,22,99,71,382,44,27,30,30,30,13
"784","Multi/Interdisciplinary Studies","2004-2005",537,12,36,65,159,1334,44,137,33,68,39,63
"785","Philosophy and Religious Studies","2004-2005",538,4,2,34,25,281,45,27,24,18,42,21
"786","Physical Sciences","2004-2005",810,28,22,83,69,512,43,42,28,46,51,21
"787","Psychology","2004-2005",1356,30,91,145,393,4034,156,386,126,542,71,220
