"","CIP_Classificaiton","Year","ID_School","White.Men","Foreign.Men","Foreign.Women","Asian.Islander.Men","Asian.Islander.Women","White.Women","Hispanic.Men","Hispanic.Women","Black.Men","Black.Women","Other.Men","Other.Women"
"5423","English language and literature/letters.","1989-1990","SMU",20,0,0,0,1,29,0,0,0,1,0,0
"5424","Biological and Biomedical Sciences","1989-1990","SMU",8,0,0,2,3,4,0,0,0,1,0,0
"5425","Mathematics and Statistics","1989-1990","SMU",8,0,0,0,0,4,0,0,0,0,0,0
"5426","Philosophy and Religious Studies","1989-1990","SMU",7,0,0,0,0,4,0,0,0,0,0,0
"5427","Physical Sciences","1989-1990","SMU",8,0,0,1,0,0,1,0,0,1,0,0
"5428","Psychology","1989-1990","SMU",17,0,0,0,0,49,0,4,1,1,0,0
"5429","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","1989-1990","SMU",4,0,0,1,1,2,0,0,0,0,0,0
"5430","Social Sciences and History","1989-1990","SMU",133,3,2,3,5,89,6,5,5,6,0,0
"5431","Visual and performing arts.","1989-1990","SMU",40,0,0,0,0,64,2,3,0,3,0,0
"5432","Health Professions and Related Programs","1989-1990","SMU",0,0,0,0,0,0,0,1,0,0,0,0
"5433","Business- Management- Marketing- and Related Support Services","1989-1990","SMU",143,3,5,1,3,102,5,4,1,1,0,0
"5434","Agriculture- Agriculture Operations and Related Sciences","1989-1990","STAN",0,0,0,0,0,3,0,0,0,0,0,0
"5435","Area- Ethnic- Cultural- Gender- and Group Studies","1989-1990","STAN",15,1,0,1,3,27,1,3,1,1,1,0
"5436","Communication- Journalism- and Related Programs","1989-1990","STAN",13,0,1,0,3,15,1,2,3,1,1,1
"5437","Computer and Information Sciences and Support Services","1989-1990","STAN",36,3,0,2,6,5,0,0,2,1,0,0
"5438","Engineering","1989-1990","STAN",121,18,6,27,17,20,16,4,15,3,0,0
"5439","Foreign Languages- Literatures- and Linguistics","1989-1990","STAN",10,1,0,1,4,10,0,2,0,1,0,0
"5440","English language and literature/letters.","1989-1990","STAN",53,0,0,4,8,47,10,9,1,2,1,1
"5441","Biological and Biomedical Sciences","1989-1990","STAN",44,4,1,25,29,41,12,1,4,1,1,0
"5442","Mathematics and Statistics","1989-1990","STAN",19,0,0,2,1,9,2,0,0,0,1,0
"5443","Multi/Interdisciplinary Studies","1989-1990","STAN",42,0,0,8,12,73,6,6,0,10,2,0
"5444","Philosophy and Religious Studies","1989-1990","STAN",17,0,0,3,1,10,1,0,2,0,0,0
"5445","Physical Sciences","1989-1990","STAN",25,2,1,5,0,6,1,0,0,1,0,0
"5446","Psychology","1989-1990","STAN",22,0,0,3,9,44,3,7,2,12,0,0
"5447","Public administration and social service professions.","1989-1990","STAN",2,0,1,0,0,6,2,0,0,0,0,0
"5448","Social Sciences and History","1989-1990","STAN",239,12,5,34,26,134,20,20,25,23,5,5
"5449","Visual and performing arts.","1989-1990","STAN",16,1,0,0,6,10,0,0,2,0,0,1
"5450","Agriculture- Agriculture Operations and Related Sciences","1989-1990","TAM",104,2,0,0,0,59,3,3,1,1,0,0
"5451","Agricultural Sciences","1989-1990","TAM",205,8,4,1,1,157,8,9,3,1,1,0
"5452","Natural Resources and Conservation","1989-1990","TAM",16,0,0,0,0,3,0,0,0,0,0,1
"5453","Architecture and Related Services","1989-1990","TAM",112,8,1,1,0,52,11,2,4,1,0,0
"5454","Marketing and Distribution","1989-1990","TAM",83,1,0,1,1,22,3,1,1,1,0,0
"5455","Communication- Journalism- and Related Programs","1989-1990","TAM",66,0,0,0,0,122,0,1,0,5,1,0
"5456","Computer and Information Sciences and Support Services","1989-1990","TAM",90,2,1,6,3,15,5,1,4,2,0,0
"5457","Education","1989-1990","TAM",109,0,0,0,3,595,7,24,7,6,0,1
"5458","Engineering","1989-1990","TAM",597,47,7,40,8,106,41,8,8,5,1,1
"5459","Engineering Technologies and Engineering-related Fields","1989-1990","TAM",214,4,0,4,0,14,17,1,4,1,0,0
"5460","Foreign Languages- Literatures- and Linguistics","1989-1990","TAM",13,0,1,0,0,28,2,4,0,1,0,0
"5461","Health Sciences","1989-1990","TAM",34,0,0,0,1,51,2,3,2,0,1,0
"5462","Family and Consumer Sciences/Human Sciences","1989-1990","TAM",3,0,0,2,1,16,0,3,0,1,0,0
"5463","English language and literature/letters.","1989-1990","TAM",58,0,0,0,2,191,4,10,0,8,0,0
"5464","Biological and Biomedical Sciences","1989-1990","TAM",103,3,0,9,9,100,12,12,4,7,0,0
"5465","Mathematics and Statistics","1989-1990","TAM",16,0,0,0,0,14,3,0,0,0,0,0
"5466","Multi/Interdisciplinary Studies","1989-1990","TAM",36,2,0,1,1,65,4,7,1,1,0,0
"5467","Parks- Recreation- Leisure and Fitness Studies","1989-1990","TAM",33,0,0,0,0,35,2,1,1,0,0,0
"5468","Philosophy and Religious Studies","1989-1990","TAM",11,0,0,1,0,4,0,0,0,0,0,0
"5469","Physical Sciences","1989-1990","TAM",57,0,0,2,0,20,4,1,0,1,0,0
"5470","Psychology","1989-1990","TAM",77,0,3,2,4,200,8,14,1,6,0,0
"5471","Social Sciences and History","1989-1990","TAM",299,5,3,3,4,208,38,20,6,10,0,0
"5472","Visual and performing arts.","1989-1990","TAM",4,0,0,0,0,6,0,0,0,0,0,0
"5473","Business- Management- Marketing- and Related Support Services","1989-1990","TAM",658,1,6,7,11,509,34,31,8,8,0,1
"5474","Agriculture- Agriculture Operations and Related Sciences","1989-1990","UGA",69,1,0,1,0,10,1,0,1,0,0,0
"5475","Agricultural Sciences","1989-1990","UGA",42,3,0,0,0,28,0,1,0,1,0,0
"5476","Natural Resources and Conservation","1989-1990","UGA",20,0,0,0,0,8,0,0,0,0,0,0
"5477","Architecture and Related Services","1989-1990","UGA",32,0,1,1,0,10,0,0,1,1,0,0
"5478","Area- Ethnic- Cultural- Gender- and Group Studies","1989-1990","UGA",1,0,0,0,0,1,0,0,0,0,0,0
"5479","Marketing and Distribution","1989-1990","UGA",1,0,0,1,0,25,0,0,0,2,0,0
"5480","Communication- Journalism- and Related Programs","1989-1990","UGA",87,0,1,0,2,240,0,2,2,14,0,0
"5481","Communications Technologies/Technicians and Support Services","1989-1990","UGA",37,0,0,0,1,46,0,0,1,1,0,0
"5482","Computer and Information Sciences and Support Services","1989-1990","UGA",15,1,1,1,0,4,0,0,0,2,0,0
"5483","Education","1989-1990","UGA",123,1,3,0,1,434,0,1,7,18,0,0
"5484","Engineering","1989-1990","UGA",13,0,0,0,0,1,0,0,0,0,0,0
"5485","Foreign Languages- Literatures- and Linguistics","1989-1990","UGA",6,0,1,0,1,24,0,1,1,2,0,0
"5486","Health Sciences","1989-1990","UGA",60,2,0,2,0,112,0,1,1,4,0,0
"5487","Family and Consumer Sciences/Human Sciences","1989-1990","UGA",12,0,0,0,0,152,0,1,0,4,0,1
"5488","English language and literature/letters.","1989-1990","UGA",117,0,0,1,4,153,0,1,1,10,0,0
"5489","Biological and Biomedical Sciences","1989-1990","UGA",77,1,1,2,3,55,1,1,1,4,0,0
"5490","Mathematics and Statistics","1989-1990","UGA",7,4,5,1,0,11,0,0,2,0,0,0
"5491","Multi/Interdisciplinary Studies","1989-1990","UGA",11,1,0,1,1,7,0,0,2,0,0,0
"5492","Philosophy and Religious Studies","1989-1990","UGA",9,0,0,0,0,2,0,0,0,0,0,0
"5493","Physical Sciences","1989-1990","UGA",18,0,0,1,0,4,0,0,1,1,0,0
"5494","Psychology","1989-1990","UGA",67,0,0,2,1,113,0,2,1,6,0,0
"5495","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","1989-1990","UGA",23,0,0,0,0,12,0,0,0,1,0,0
"5496","Public administration and social service professions.","1989-1990","UGA",9,0,0,0,0,36,0,0,0,6,0,0
"5497","Social Sciences and History","1989-1990","UGA",276,3,0,1,1,103,1,2,12,6,0,0
"5498","Visual and performing arts.","1989-1990","UGA",46,0,1,0,1,93,0,1,0,5,0,0
"5499","Health Professions and Related Programs","1989-1990","UGA",1,0,0,0,0,4,0,0,0,1,0,0
"5500","Business- Management- Marketing- and Related Support Services","1989-1990","UGA",503,8,1,6,7,404,3,2,15,22,0,2
"5501","Natural Resources and Conservation","1989-1990","UM",14,0,0,2,1,15,0,0,0,0,0,1
"5502","Architecture and Related Services","1989-1990","UM",57,1,1,6,4,39,1,0,1,1,0,0
"5503","Area- Ethnic- Cultural- Gender- and Group Studies","1989-1990","UM",24,0,1,5,6,37,0,1,0,1,0,0
"5504","Communication- Journalism- and Related Programs","1989-1990","UM",65,2,2,1,5,130,1,1,3,17,1,1
"5505","Computer and Information Sciences and Support Services","1989-1990","UM",33,6,0,4,2,11,0,0,4,1,0,0
"5506","Education","1989-1990","UM",43,0,1,1,2,99,0,1,2,5,0,1
"5507","Engineering","1989-1990","UM",575,24,3,42,25,128,9,1,13,8,1,0
"5508","Foreign Languages- Literatures- and Linguistics","1989-1990","UM",32,0,0,1,7,97,1,0,0,1,0,0
"5509","Health Sciences","1989-1990","UM",7,1,0,0,3,170,0,0,0,4,0,1
"5510","English language and literature/letters.","1989-1990","UM",164,0,1,3,9,268,5,5,3,13,1,1
"5511","Liberal arts and sciences- general studies and humanities.","1989-1990","UM",149,1,0,5,1,100,2,2,15,11,1,0
"5512","Biological and Biomedical Sciences","1989-1990","UM",114,0,0,27,27,104,2,4,3,5,0,0
"5513","Mathematics and Statistics","1989-1990","UM",38,2,1,6,0,28,0,0,3,1,0,0
"5514","Multi/Interdisciplinary Studies","1989-1990","UM",39,0,0,4,7,90,0,0,0,4,0,0
"5515","Parks- Recreation- Leisure and Fitness Studies","1989-1990","UM",25,0,0,0,0,5,0,0,6,0,0,0
"5516","Philosophy and Religious Studies","1989-1990","UM",40,0,0,1,0,23,1,0,3,1,0,0
"5517","Physical Sciences","1989-1990","UM",43,4,0,2,1,17,1,0,1,1,0,0
"5518","Psychology","1989-1990","UM",119,1,2,6,18,328,2,5,6,26,0,0
"5519","Social Sciences and History","1989-1990","UM",646,10,7,21,20,449,11,7,9,19,0,4
"5520","Visual and performing arts.","1989-1990","UM",87,3,3,0,11,176,5,2,2,4,0,0
"5521","Health Professions and Related Programs","1989-1990","UM",0,0,0,0,2,16,0,0,0,1,0,0
"5522","Business- Management- Marketing- and Related Support Services","1989-1990","UM",147,9,4,3,9,106,5,3,11,14,0,0
"5523","Area- Ethnic- Cultural- Gender- and Group Studies","1989-1990","UNC",29,0,1,0,2,75,0,2,0,5,0,0
"5524","Communication- Journalism- and Related Programs","1989-1990","UNC",112,1,0,1,0,218,1,0,5,22,1,0
"5525","Education","1989-1990","UNC",24,0,0,0,0,145,0,1,2,8,0,1
"5526","Foreign Languages- Literatures- and Linguistics","1989-1990","UNC",15,0,0,0,2,27,0,0,0,0,0,0
"5527","Health Sciences","1989-1990","UNC",58,0,1,2,12,233,0,1,1,25,1,5
"5528","English language and literature/letters.","1989-1990","UNC",109,0,0,4,1,206,0,3,6,15,0,0
"5529","Biological and Biomedical Sciences","1989-1990","UNC",89,1,0,7,3,91,1,1,4,7,0,0
"5530","Mathematics and Statistics","1989-1990","UNC",34,0,0,2,0,38,0,0,0,3,0,0
"5531","Multi/Interdisciplinary Studies","1989-1990","UNC",20,0,0,0,1,28,0,0,1,2,0,0
"5532","Parks- Recreation- Leisure and Fitness Studies","1989-1990","UNC",6,0,0,0,0,16,0,0,3,0,0,0
"5533","Philosophy and Religious Studies","1989-1990","UNC",13,0,0,0,0,5,0,0,0,0,1,0
"5534","Physical Sciences","1989-1990","UNC",58,1,0,2,1,13,1,0,0,2,0,0
"5535","Psychology","1989-1990","UNC",44,0,0,0,4,154,1,1,3,13,0,1
"5536","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","1989-1990","UNC",14,0,0,0,0,23,0,0,5,9,0,0
"5537","Public administration and social service professions.","1989-1990","UNC",1,0,0,0,1,13,0,0,1,2,0,0
"5538","Social Sciences and History","1989-1990","UNC",427,5,1,3,5,254,1,3,21,13,4,1
"5539","Visual and performing arts.","1989-1990","UNC",21,0,0,0,1,42,0,0,1,2,0,0
"5540","Health Professions and Related Programs","1989-1990","UNC",4,0,0,0,1,50,0,1,1,3,0,0
"5541","Business- Management- Marketing- and Related Support Services","1989-1990","UNC",262,1,3,2,5,286,1,1,8,26,1,2
"5542","Architecture and Related Services","1989-1990","UOFM",10,9,6,1,0,5,21,9,1,2,0,0
"5543","Area- Ethnic- Cultural- Gender- and Group Studies","1989-1990","UOFM",1,0,0,0,0,1,0,0,0,0,0,0
"5544","Marketing and Distribution","1989-1990","UOFM",17,10,3,0,1,9,8,8,1,1,0,0
"5545","Communication- Journalism- and Related Programs","1989-1990","UOFM",36,2,1,1,2,70,8,18,0,8,0,0
"5546","Computer and Information Sciences and Support Services","1989-1990","UOFM",21,15,5,1,3,5,2,5,1,0,0,0
"5547","Education","1989-1990","UOFM",6,1,3,0,1,7,1,0,0,0,0,0
"5548","Engineering","1989-1990","UOFM",53,99,5,6,0,10,24,12,3,1,0,0
"5549","Foreign Languages- Literatures- and Linguistics","1989-1990","UOFM",0,0,0,0,0,4,2,4,0,0,0,0
"5550","Health Sciences","1989-1990","UOFM",5,0,1,0,3,57,2,11,0,7,0,0
"5551","Legal professions and studies.","1989-1990","UOFM",2,0,0,0,0,3,1,1,0,0,0,0
"5552","English language and literature/letters.","1989-1990","UOFM",14,0,1,0,2,35,3,8,0,4,0,0
"5553","Liberal arts and sciences- general studies and humanities.","1989-1990","UOFM",4,1,0,0,0,7,0,2,2,0,0,0
"5554","Biological and Biomedical Sciences","1989-1990","UOFM",28,4,2,4,6,31,20,9,2,3,0,0
"5555","Mathematics and Statistics","1989-1990","UOFM",8,0,2,0,0,0,1,5,0,1,0,0
"5556","Philosophy and Religious Studies","1989-1990","UOFM",5,0,0,0,1,1,1,4,0,0,0,0
"5557","Physical Sciences","1989-1990","UOFM",19,0,2,1,3,8,4,5,1,2,0,0
"5558","Psychology","1989-1990","UOFM",15,0,7,0,2,50,10,31,2,9,0,0
"5559","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","1989-1990","UOFM",2,1,0,0,0,4,0,0,0,0,0,0
"5560","Social Sciences and History","1989-1990","UOFM",51,6,0,0,0,31,16,10,4,6,0,0
"5561","Visual and performing arts.","1989-1990","UOFM",77,1,4,0,1,43,13,14,4,3,0,0
"5562","Health Professions and Related Programs","1989-1990","UOFM",1,0,0,0,0,3,0,4,0,1,0,0
"5563","Business- Management- Marketing- and Related Support Services","1989-1990","UOFM",130,41,30,9,5,69,38,50,10,5,0,0
"5564","Architecture and Related Services","1989-1990","USC",22,9,10,9,4,2,5,1,2,0,0,0
"5565","Area- Ethnic- Cultural- Gender- and Group Studies","1989-1990","USC",3,0,1,1,1,2,0,0,0,1,0,0
"5566","Communication- Journalism- and Related Programs","1989-1990","USC",75,0,5,7,17,163,3,6,4,15,-1,1
"5567","Communications Technologies/Technicians and Support Services","1989-1990","USC",41,4,1,0,1,22,5,2,2,1,1,0
"5568","Computer and Information Sciences and Support Services","1989-1990","USC",18,12,8,17,5,2,0,1,1,0,0,0
"5569","Education","1989-1990","USC",5,1,1,1,10,21,1,4,1,5,0,1
"5570","Engineering","1989-1990","USC",90,89,7,71,15,19,14,7,3,3,0,1
"5571","Engineering Technologies and Engineering-related Fields","1989-1990","USC",7,2,0,0,1,0,2,0,0,1,0,0
"5572","Foreign Languages- Literatures- and Linguistics","1989-1990","USC",3,1,3,1,2,14,2,8,0,1,0,0
"5573","Health Sciences","1989-1990","USC",0,0,0,1,7,30,0,10,0,5,0,0
"5574","Family and Consumer Sciences/Human Sciences","1989-1990","USC",1,0,0,0,1,2,0,0,0,1,0,0
"5575","English language and literature/letters.","1989-1990","USC",23,0,0,2,3,48,5,5,2,2,0,0
"5576","Liberal arts and sciences- general studies and humanities.","1989-1990","USC",1,0,0,0,0,3,0,0,0,0,0,0
"5577","Biological and Biomedical Sciences","1989-1990","USC",25,3,2,13,13,27,2,7,3,4,0,0
"5578","Mathematics and Statistics","1989-1990","USC",3,0,1,2,2,4,0,1,1,0,0,0
"5579","Multi/Interdisciplinary Studies","1989-1990","USC",26,0,0,0,5,37,0,2,1,7,0,0
"5580","Parks- Recreation- Leisure and Fitness Studies","1989-1990","USC",1,0,0,0,0,0,0,0,0,0,0,0
"5581","Philosophy and Religious Studies","1989-1990","USC",5,2,0,0,1,11,3,0,1,1,0,0
"5582","Physical Sciences","1989-1990","USC",6,0,2,1,1,1,1,1,0,1,0,0
"5583","Psychology","1989-1990","USC",22,0,3,4,13,40,4,10,0,9,0,0
"5584","Public administration and social service professions.","1989-1990","USC",38,1,1,3,6,17,10,4,7,12,0,0
"5585","Social Sciences and History","1989-1990","USC",156,17,8,19,22,119,15,14,7,13,0,0
"5586","Visual and performing arts.","1989-1990","USC",46,1,3,4,7,66,5,2,2,3,0,0
"5587","Health Professions and Related Programs","1989-1990","USC",1,0,4,0,5,48,1,6,0,0,0,1
"5588","Business- Management- Marketing- and Related Support Services","1989-1990","USC",404,62,50,87,99,214,41,21,14,15,1,0
"5589","Architecture and Related Services","1989-1990","UT",39,3,1,2,4,55,5,9,0,1,0,0
"5590","Area- Ethnic- Cultural- Gender- and Group Studies","1989-1990","UT",17,0,0,0,2,32,4,4,1,1,1,0
"5591","Communication- Journalism- and Related Programs","1989-1990","UT",242,4,7,2,15,392,27,32,11,20,2,2
"5592","Computer and Information Sciences and Support Services","1989-1990","UT",59,20,6,16,9,9,3,1,1,1,0,0
"5593","Education","1989-1990","UT",52,0,1,1,8,368,10,42,1,10,0,1
"5594","Engineering","1989-1990","UT",347,65,5,61,7,60,42,7,7,9,0,0
"5595","Foreign Languages- Literatures- and Linguistics","1989-1990","UT",31,0,0,1,4,61,9,10,2,1,0,0
"5596","Health Sciences","1989-1990","UT",39,3,3,6,10,167,19,27,1,6,0,1
"5597","Family and Consumer Sciences/Human Sciences","1989-1990","UT",6,0,0,0,5,73,0,11,0,2,0,0
"5598","English language and literature/letters.","1989-1990","UT",105,0,1,3,6,140,12,12,2,8,0,1
"5599","Liberal arts and sciences- general studies and humanities.","1989-1990","UT",56,0,1,5,5,60,5,4,0,1,0,0
"5600","Biological and Biomedical Sciences","1989-1990","UT",113,6,6,30,21,81,20,20,6,11,0,0
"5601","Mathematics and Statistics","1989-1990","UT",54,5,2,4,3,18,7,2,2,0,0,0
"5602","Multi/Interdisciplinary Studies","1989-1990","UT",6,0,0,0,0,5,0,1,0,0,0,0
"5603","Philosophy and Religious Studies","1989-1990","UT",33,0,0,1,1,14,2,0,1,0,0,0
"5604","Physical Sciences","1989-1990","UT",60,6,2,6,1,22,10,2,1,0,0,0
"5605","Psychology","1989-1990","UT",123,1,4,7,12,249,10,32,0,11,0,2
"5606","Public administration and social service professions.","1989-1990","UT",1,0,1,0,1,33,0,8,0,9,0,0
"5607","Social Sciences and History","1989-1990","UT",577,9,4,26,14,316,86,43,23,25,2,1
"5608","Visual and performing arts.","1989-1990","UT",68,1,7,4,4,184,7,6,1,2,0,0
"5609","Health Professions and Related Programs","1989-1990","UT",2,1,1,0,0,1,0,0,0,1,0,0
"5610","Business- Management- Marketing- and Related Support Services","1989-1990","UT",772,52,32,44,51,473,58,38,10,18,2,0
"5611","Agriculture- Agriculture Operations and Related Sciences","1989-1990","UTA.ST",14,1,0,0,0,1,0,0,0,0,0,0
"5612","Agricultural Sciences","1989-1990","UTA.ST",24,5,2,0,0,4,1,0,0,0,3,0
"5613","Natural Resources and Conservation","1989-1990","UTA.ST",14,2,0,0,0,5,0,0,0,0,1,0
"5614","Architecture and Related Services","1989-1990","UTA.ST",16,1,0,0,0,11,0,0,0,0,4,0
"5615","Area- Ethnic- Cultural- Gender- and Group Studies","1989-1990","UTA.ST",3,0,0,0,0,3,0,0,1,0,0,0
"5616","Marketing and Distribution","1989-1990","UTA.ST",1,0,0,0,0,12,0,0,0,0,0,0
"5617","Communication- Journalism- and Related Programs","1989-1990","UTA.ST",6,4,1,0,0,11,0,0,0,0,4,2
"5618","Computer and Information Sciences and Support Services","1989-1990","UTA.ST",33,5,8,1,0,25,0,1,0,0,8,4
"5619","Education","1989-1990","UTA.ST",77,2,1,0,0,222,0,4,0,0,15,13
"5620","Engineering","1989-1990","UTA.ST",75,7,0,0,0,9,0,1,0,0,17,2
"5621","Engineering Technologies and Engineering-related Fields","1989-1990","UTA.ST",35,1,0,1,0,0,0,0,0,0,3,0
"5622","Foreign Languages- Literatures- and Linguistics","1989-1990","UTA.ST",11,0,0,0,0,4,0,1,0,0,1,0
"5623","Health Sciences","1989-1990","UTA.ST",13,0,0,0,0,21,0,0,0,0,4,1
"5624","Family and Consumer Sciences/Human Sciences","1989-1990","UTA.ST",13,0,1,0,1,23,0,0,0,1,0,3
"5625","Legal professions and studies.","1989-1990","UTA.ST",6,0,0,0,0,2,0,0,0,0,0,0
"5626","English language and literature/letters.","1989-1990","UTA.ST",14,0,0,1,0,29,0,0,0,0,2,3
"5627","Liberal arts and sciences- general studies and humanities.","1989-1990","UTA.ST",16,0,1,0,0,12,0,0,0,0,4,1
"5628","Biological and Biomedical Sciences","1989-1990","UTA.ST",11,2,0,0,0,9,0,0,0,0,0,0
"5629","Mathematics and Statistics","1989-1990","UTA.ST",4,3,1,0,0,5,0,0,0,0,0,0
"5630","Parks- Recreation- Leisure and Fitness Studies","1989-1990","UTA.ST",9,0,0,0,0,6,0,0,0,0,0,1
"5631","Philosophy and Religious Studies","1989-1990","UTA.ST",1,0,0,0,0,2,0,0,0,0,0,0
"5632","Physical Sciences","1989-1990","UTA.ST",12,1,0,0,0,5,0,0,0,0,3,0
"5633","Psychology","1989-1990","UTA.ST",17,0,1,0,0,24,0,1,0,0,1,1
"5634","Public administration and social service professions.","1989-1990","UTA.ST",6,0,0,0,0,13,0,0,0,0,1,1
"5635","Social Sciences and History","1989-1990","UTA.ST",40,4,4,0,0,21,0,1,1,0,7,1
"5636","Mechanics and Repairers","1989-1990","UTA.ST",1,0,0,0,0,0,0,0,0,0,0,0
"5637","Visual and performing arts.","1989-1990","UTA.ST",22,0,2,1,0,21,1,0,0,0,5,2
"5638","Health Professions and Related Programs","1989-1990","UTA.ST",2,0,0,0,0,1,0,0,0,0,1,0
"5639","Business- Management- Marketing- and Related Support Services","1989-1990","UTA.ST",126,13,8,2,1,57,2,0,0,0,27,6
"5640","Area- Ethnic- Cultural- Gender- and Group Studies","1989-1990","VANDY",9,0,0,0,0,17,1,0,0,0,0,0
"5641","Computer and Information Sciences and Support Services","1989-1990","VANDY",8,0,0,0,0,0,0,0,1,0,0,0
"5642","Education","1989-1990","VANDY",8,0,0,0,0,45,0,1,0,1,0,0
"5643","Engineering","1989-1990","VANDY",116,3,0,6,5,31,1,0,7,7,0,0
"5644","Foreign Languages- Literatures- and Linguistics","1989-1990","VANDY",5,0,0,0,1,12,0,0,0,0,0,0
"5645","Health Sciences","1989-1990","VANDY",2,0,0,0,0,5,0,0,0,1,0,0
"5646","English language and literature/letters.","1989-1990","VANDY",37,0,0,1,0,63,0,0,0,2,1,0
"5647","Biological and Biomedical Sciences","1989-1990","VANDY",26,0,0,5,2,10,0,0,1,0,0,0
"5648","Mathematics and Statistics","1989-1990","VANDY",48,0,0,0,2,37,0,0,3,2,0,0
"5649","Multi/Interdisciplinary Studies","1989-1990","VANDY",7,0,0,0,0,31,1,0,1,1,0,0
"5650","Philosophy and Religious Studies","1989-1990","VANDY",12,0,0,0,0,4,0,0,0,0,0,0
"5651","Physical Sciences","1989-1990","VANDY",13,0,0,1,0,4,0,0,0,1,0,0
"5652","Psychology","1989-1990","VANDY",46,0,0,2,0,124,0,0,1,1,0,0
"5653","Social Sciences and History","1989-1990","VANDY",211,2,2,4,3,121,1,1,1,5,1,0
"5654","Visual and performing arts.","1989-1990","VANDY",7,0,0,0,1,31,0,0,0,0,0,0
"5655","Agriculture- Agriculture Operations and Related Sciences","1990-1991","AUB",23,2,1,0,0,3,0,0,0,0,0,0
"5656","Agricultural Sciences","1990-1991","AUB",62,0,0,0,0,19,0,0,0,1,0,1
"5657","Natural Resources and Conservation","1990-1991","AUB",40,0,0,0,0,7,0,0,0,0,0,0
"5658","Architecture and Related Services","1990-1991","AUB",54,0,0,1,0,28,0,0,0,0,1,0
"5659","Marketing and Distribution","1990-1991","AUB",0,0,0,0,0,34,0,0,0,0,0,0
"5660","Communication- Journalism- and Related Programs","1990-1991","AUB",37,0,0,0,1,104,0,1,0,4,0,0
"5661","Computer and Information Sciences and Support Services","1990-1991","AUB",10,0,0,0,1,2,0,0,0,0,0,0
"5662","Education","1990-1991","AUB",66,0,0,0,0,302,0,0,5,9,0,0
"5663","Engineering","1990-1991","AUB",575,3,0,7,2,92,3,0,13,5,2,0
"5664","Foreign Languages- Literatures- and Linguistics","1990-1991","AUB",6,0,0,1,0,32,0,1,0,2,1,0
"5665","Health Sciences","1990-1991","AUB",55,0,0,0,1,129,0,1,0,6,0,1
"5666","Family and Consumer Sciences/Human Sciences","1990-1991","AUB",10,0,0,0,0,75,0,0,3,0,0,0
"5667","English language and literature/letters.","1990-1991","AUB",51,0,0,0,0,56,0,0,0,4,0,0
"5668","Biological and Biomedical Sciences","1990-1991","AUB",58,0,0,0,0,55,1,0,0,0,0,0
"5669","Mathematics and Statistics","1990-1991","AUB",28,2,0,1,0,21,1,0,3,0,0,0
"5670","Parks- Recreation- Leisure and Fitness Studies","1990-1991","AUB",3,0,0,0,0,5,0,0,0,0,0,0
"5671","Philosophy and Religious Studies","1990-1991","AUB",8,0,0,1,0,2,0,0,0,0,0,0
"5672","Physical Sciences","1990-1991","AUB",21,0,0,0,0,4,0,0,0,0,0,0
"5673","Science Technologies","1990-1991","AUB",4,0,0,0,0,5,0,0,0,2,0,0
"5674","Psychology","1990-1991","AUB",38,0,0,0,0,91,0,0,1,3,0,0
"5675","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","1990-1991","AUB",26,0,0,0,0,9,0,0,2,2,0,0
"5676","Public administration and social service professions.","1990-1991","AUB",12,0,0,0,0,23,0,0,1,0,0,1
"5677","Social Sciences and History","1990-1991","AUB",134,0,0,0,0,60,0,0,5,3,1,0
"5678","Visual and performing arts.","1990-1991","AUB",66,1,1,1,0,36,1,0,0,1,0,1
"5679","Health Professions and Related Programs","1990-1991","AUB",0,0,0,0,0,11,0,0,1,0,0,1
"5680","Business- Management- Marketing- and Related Support Services","1990-1991","AUB",667,1,1,2,2,461,0,2,12,16,1,0
"5681","Architecture and Related Services","1990-1991","BAMA",2,0,0,0,0,22,0,1,0,0,0,0
"5682","Area- Ethnic- Cultural- Gender- and Group Studies","1990-1991","BAMA",6,0,0,0,0,6,0,0,0,0,0,0
"5683","Communication- Journalism- and Related Programs","1990-1991","BAMA",99,3,2,0,0,206,0,2,4,15,1,0
"5684","Computer and Information Sciences and Support Services","1990-1991","BAMA",15,0,1,0,0,6,0,0,0,2,0,0
"5685","Education","1990-1991","BAMA",46,1,0,0,0,258,0,0,6,11,0,0
"5686","Engineering","1990-1991","BAMA",126,31,1,3,2,28,0,0,6,10,2,1
"5687","Engineering Technologies and Engineering-related Fields","1990-1991","BAMA",17,2,0,0,0,0,0,0,4,0,0,0
"5688","Foreign Languages- Literatures- and Linguistics","1990-1991","BAMA",2,0,0,0,0,9,1,2,0,1,0,0
"5689","Health Sciences","1990-1991","BAMA",26,0,0,0,1,83,0,0,2,13,1,0
"5690","Family and Consumer Sciences/Human Sciences","1990-1991","BAMA",10,0,2,0,1,97,0,0,3,6,0,0
"5691","Legal professions and studies.","1990-1991","BAMA",2,0,0,0,0,2,0,0,0,3,0,0
"5692","English language and literature/letters.","1990-1991","BAMA",40,0,0,0,0,47,0,0,2,5,0,1
