"","Fund_Type","Fund_Manager","Fund_Name","Fund_Contact","Fund_Contact_Telephone","Fund_Projected_Equity","Fund_Equity_Raised","Fund_Equity_Invested","Fund_Target_IRR","Fund_Minimum_IRR","Fund_Asset_Classes","Fund_Target_Locations","Fund_Data_Date","Fund_Currency"
"297","High Yield Debt","Osprey Investment","Osprey Fund 3","Wesley Marchal","810-225-9660","$150,000,000 ","","","18","18","Distressed","United States","1/11/12",NA
"298","High Yield Debt","Pacific Star","Project Enterprise","Benett Theseira","65-6-538-0838","$500,000,000 ","","","20","20","Office","Southwestern United States","1/11/12",NA
"299","High Yield Debt","Pramerica Real Estate Investors","Pramerica Real Estate Euromezz Fund","Andrew Macland","44-207-766-2445","$797,850,000 ","$239,143,369 ","","12-15","12","Mortgages","Europe","1/11/12",NA
"300","High Yield Debt","Pramerica Real Estate Investors","Pramerica Real Estate Euromezz Fund","Andrew Macland","44-207-766-2445","$813,350,000 ","$243,789,257 ","","12-15","12","Mezzanine Loans","United States","1/11/12",NA
"301","High Yield Debt","Racebrook Capital","Racebrook Capital Partners","Victor Fracaro","415-676-7985","$250,000,000 ","","","15","15","Office, Multifamily","United States, International","1/11/12",NA
"302","High Yield Debt","Racebrook Capital","Racebrook Capital Partners","Victor Fracaro","415-676-7985","$250,000,000 ","$0 ","$0 ","","","Office","United States","1/11/12",NA
"303","High Yield Debt","Rainier Capital","Rainier Preferred Income Fund 6","Tim Nichols","214-234-8210","$50,000,000 ","$0 ","$0 ","11-13","11","Mortgages, Mezzanine Loans","United States, Florida, Georgia, North Carolina","1/11/12",NA
"304","High Yield Debt","Rainier Capital","Rainier Preferred Income Fund 5","Tim Nichols","214-234-8210","$50,000,000 ","$22,000,000 ","$20,000,000 ","9-11","9","Mortgages","United States, Japan","1/11/12",NA
"305","High Yield Debt","Ramius Capital","Rcg Longview Debt Fund 4","David Valger","212-356-9250","$602,000,000 ","$602,000,000 ","$250,000,000 ","13","13","Mortgages","England","1/11/12",NA
"306","High Yield Debt","Ramius Capital, Feil Organization, Estreich & Co.","Rcg Longview Debt Fund 4","Chris Labianca","212-356-9200","$602,000,000 ","$602,000,000 ","$400,000,000 ","","","Mortgages, Preferred Equity","United States","1/11/12",NA
"307","High Yield Debt","RockBridge Capital","Rockbridge Hospitality Fund 4","James Merkel","614-246-2505","$160,000,000 ","$160,000,000 ","$55,000,000 ","16-18","16","Mezzanine Loans, Preferred Equity","United States","1/11/11",NA
"308","High Yield Debt","RockBridge Capital","Rockbridge Hospitality Fund 5","James Merkel","614-246-2505","$350,000,000 ","$0 ","$0 ","16-18","16","Preferred Equity, Recapitalizations","United States","1/11/12",NA
"309","High Yield Debt","Rossrock","Rossrock Fund 2","James Ross","212-888-2720","$120,000,000 ","$120,000,000 ","$80,000,000 ","10","10","Distressed, Mortgages","Eastern United States, Washington D.C., Philadelphia, New York City, Boston","1/11/12",NA
"310","High Yield Debt","Terra Capital Partners, Academy Properties","Terra Academy California Realty Income Fund","Chance Mims","858-764-4314","$200,000,000 ","$0 ","$0 ","9-12","9","Mortgages, Preferred Equity","California, San Francisco","1/11/12",NA
"311","High Yield Debt","Transwestern Investment","Transwestern Mezzanine Realty Partners 3","Thomas Mccahill","303-328-2717","$427,000,000 ","$427,000,000 ","$175,000,000 ","13-15","13","Mezzanine Loans","United States","1/11/12",NA
"312","High Yield Debt","Tremont Realty Capital","Tremont Special Opportunity Debt Fund","Richard Gallitto","617-867-0700","$300,000,000 ","","","17","17","Mezzanine Loans","Southwestern United States","1/11/12",NA
"313","High Yield Debt","Tremont Realty Capital","Tremont Special Opportunity Debt Fund","Richard Gallitto","617-867-0700 ","$300,000,000 ","$0 ","$0 ","","","Mortgages","United States","1/11/12",NA
"314","High Yield Debt","Trez Capital","Trez Capital Finance Fund 2","Mario Abreu","416-350-1293","$205,192,000 ","$153,791,609 ","$82,117,756 ","10-12","10","Mortgages","United States","1/11/12",NA
"315","High Yield Debt","Wrightwood Capital","Wrightwood Capital High Yield Partners 2","David Friedman","312-324-5900","$243,000,000 ","$243,000,000 ","$155,000,000 ","13-15","13","Mortgages","United States","1/11/12",NA
"316","High Yield Debt","Wrightwood Capital","Wrightwood Capital High Yield Partners 2","David Friedman","312-324-5900","$243,000,000 ","$243,000,000 ","$90,000,000 ","13-15","13","Mezzanine Loans, Preferred Equity, Distressed","Europe, Ukraine, Russia","1/11/12",NA
"317","Opportunity","Acadia Realty","Acadia Strategic Opportunity Fund 4","Joel Braun","914-288-8146","541,000,000","541,000,000","100,000,000","16","0.16","Retail","United States","3/1/13","USD"
"318","Opportunity","Acadia Realty","Acadia Strategic Opportunity Fund 3","Joel Braun","914-288-8146","$502,000,000 ","$502,000,000 ","$96,500,000 ","17","17","Retail","United States","1/11/12",NA
"319","Opportunity","Acadia Realty","Acadia Strategic Opportunity Fund 3","Joel Braun","914-288-8146","$502,500,000 ","$502,500,000 ","$250,000,000 ","","","Retail","United States","1/11/12",NA
"320","Opportunity","Actis","Actis Africa Real Estate 2","David Morley","44-207-234-5000","278,000,000","278,000,000","70,000,000","","0","Retail, Office","Sub-Saharan Africa","3/1/13","USD"
"321","Opportunity","Activum SG Capital","Activum Fund 2","Saul Goldstein","44-153-482-5215","309,000,000","309,000,000","189,000,000","20","0.2","Office, Retail","Germany","3/1/13","EU"
"322","Opportunity","Activum SG Capital","Activum Fund 2","Saul Goldstein","44-153-482-5215","$275,540,000 ","$206,655,000 ","$13,777,000 ","20","20","Office","Brazil","1/11/12",NA
"323","Opportunity","Activum SG Capital","Activum Fund 2","Saul Goldstein","44-153-482-5215","$316,801,800 ","$316,801,800 ","$71,935,014 ","20","20","Office","Germany","1/11/12",NA
"324","Opportunity","Aetos Capital","Aetos Capital Asia Fund 5","Chris Taube","212-201-2553","1,000,000,000","0","0","17","0.17","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","Asia","3/1/13","USD"
"325","Opportunity","Aetos Capital","Aetos Capital Asia Fund 3","Chris Taube","212-201-2553","$568,000,000 ","$568,000,000 ","$250,000,000 ","20","20","Office","Europe","1/11/12",NA
"326","Opportunity","Aetos Capital","Aetos Capital Asia Fund 4","Chris Taube","212-201-2553","$1,000,000,000 ","$250,000,000 ","","20","20","Office","United States","1/11/12",NA
"327","Opportunity","Aetos Capital","Aetos Capital Asia Fund 4","Chris Taube","212-201-2553","$1,000,000,000 ","$250,000,000 ","$0 ","","","Office","Asia","1/11/12",NA
"328","Opportunity","AEW Capital","AEW Europe Partners","Russell Jewel","44-207-016-4867","455,000,000","0","0","17","0.17","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","Europe","3/1/13","EU"
"329","Opportunity","AEW Capital","AEW Partners 7","Marc Davidson","617-261-9287","500,000,000","89,000,000","0","16-18","0.16","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","United States","3/1/13","USD"
"330","Opportunity","AEW Capital","Aew Europe Partners","Russell Jewel","44-207-016-4867","$465,885,000 ","$0 ","$0 ","17","17","Office","Europe","1/11/12",NA
"331","Opportunity","AEW Capital","Aew Partners 6","Marc Davidson","617-261-9287","$424,000,000 ","$424,000,000 ","$175,000,000 ","16-18","16","Office","United States","1/11/11",NA
"332","Opportunity","AEW Capital","Aew Partners 6","Marc Davidson","617-261-9287","$424,000,000 ","$424,000,000 ","$267,000,000 ","16-18","16","Office","United States","1/11/12",NA
"333","Opportunity","AEW Capital","European Property Investors Special Opportunities Fund","Rob Wilkinson","44-207-016-4800","$1,085,627,600 ","$1,085,627,600 ","$709,528,093 ","16","16","Office","Europe","1/11/12",NA
"334","Opportunity","Alcion Ventures","Alcion Real Estate Partners 2","Martin Zieff","617-603-1000","500,000,000","500,000,000","160,000,000","20","0.2","Distressed, Mortgages, Bridge Loans, Mezzanine Loans","United States","3/1/13","USD"
"335","Opportunity","Alcion Ventures","Alcion Real Estate Partners 2","Martin Zieff","617-603-1000","$400,000,000 ","$300,000,000 ","","20","20","Distressed, Mortgages","Asia","1/11/12",NA
"336","Opportunity","Alcion Ventures","Alcion Real Estate Partners 2","Martin Zieff","617-603-1000","$500,000,000 ","$500,000,000 ","$160,000,000 ","","","Distressed, Mortgages, Preferred Equity","United States","1/11/12",NA
"337","Opportunity","Alliance Residential","Alliance Residential Fund 2","Adam Fruitbine","212-626-2630","400,000,000","0","0","16","0.16","Multifamily","United States","3/1/13","USD"
"338","Opportunity","Alliance Residential","Alliance Residential Fund 2","Adam Fruitbine","212-626-2630","$400,000,000 ","$0 ","$0 ","17","17","Multifamily","United States","1/11/12",NA
"339","Opportunity","AllianceBernstein","AllianceBernstein U.S. Real Estate Partners","Adam Brooks","212-823-3290","680,000,000","680,000,000","300,000,000","16-18","0.16","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","United States","3/1/13","USD"
"340","Opportunity","AllianceBernstein","Alliancebernstein U.S. Real Estate Partners","Adam Brooks","212-823-3290","$1,000,000,000 ","$500,000,000 ","","16-18","16","Distressed","United States","1/11/11",NA
"341","Opportunity","AllianceBernstein","Alliancebernstein U.S. Real Estate Partners","Adam Brooks","212-823-3290","$1,000,000,000 ","$700,000,000 ","$100,000,000 ","16-18","16","Distressed","United States","1/11/12",NA
"342","Opportunity","Angelo Gordon & Co.","AG Asia Realty Fund 2","Wilson Leung","852-3-416-7328","615,000,000","615,000,000","291,000,000","20","0.2","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","Asia","3/1/13","USD"
"343","Opportunity","Angelo Gordon & Co.","AG Realty Fund 8","Adam Schwartz","212-692-2059","1,265,000,000","1,265,000,000","436,000,000","20","0.2","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","United States, Asia, Europe","3/1/13","USD"
"344","Opportunity","Angelo Gordon & Co.","Ag Asia Realty Fund 2","Wilson Leung","852-3-416-7328","$615,000,000 ","$615,000,000 ","$83,000,000 ","","","Office","Asia","1/11/12",NA
"345","Opportunity","Angelo Gordon & Co.","Ag Asia Realty Fund 2","Wilson Leung","852-3416-7328","$635,000,000 ","$635,000,000 ","$32,000,000 ","20","20","Office","United States","1/11/12",NA
"346","Opportunity","Angelo Gordon & Co.","Ag Realty Fund 8","Adam Schwartz","212-692-2059","$1,250,000,000 ","$1,050,000,000 ","$300,000,000 ","","","Office, Industrial","United States, Europe","1/11/12",NA
"347","Opportunity","Angelo Gordon & Co.","Ag Realty Fund 8","Adam Schwartz","212-692-2059","$1,250,000,000 ","$200,000,000 ","","20","20","Office","China","1/11/12",NA
"348","Opportunity","ARA Group","ARA Asia Dragon Fund 2","John Lim","656-835-9232","441,000,000","441,000,000","46,000,000","18-20","0.18","Office, Retail, Multifamily","Asia","3/1/13","USD"
"349","Opportunity","ARA Group","Ara Asia Dragon Fund 2","John Lim","656-835-9232","$1,000,000,000 ","","","18-20","18","Office","United States","1/11/11",NA
"350","Opportunity","ARA Group","Ara Asia Dragon Fund 2","John Lim","656-835-9232","$1,000,000,000 ","$400,000,000 ","$0 ","18-20","18","Office","Asia","1/11/12",NA
"351","Opportunity","Arch Capital","Arch Capital-TRG Asian Partners","Leonard Wei","852-2287-4680","387,000,000","387,000,000","270,000,000","16+","0.16","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","Asia","3/1/13","USD"
"352","Opportunity","AREA Property","AREA European Real Estate Fund 4","William Benjamin","44-207-259-3010","974,000,000","0","0","16+","0.16","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","Europe","3/1/13","EU"
"353","Opportunity","AREA Property","AREA Real Estate Opportunity Fund 6","Richard Mack","212-515-3233","518,000,000","518,000,000","175,000,000","14-18","0.14","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","United States","3/1/13","USD"
"354","Opportunity","AREA Property","Area European Real Estate Fund 3","William Benjamin","44-207-259-3000","$1,375,000,000 ","$1,375,000,000 ","$929,000,000 ","16","16","Office","United States","1/11/12",NA
"355","Opportunity","AREA Property","Area Real Estate Fund 6","Richard Mack, John Jacobsson","212-515-3400","$1,000,000,000 ","$550,000,000 ","","14-18","14","Office, Multifamily","United States","1/11/11",NA
"356","Opportunity","AREA Property","Area Real Estate Opportunity Fund 6","Richard Mack, John Jacobsson","212-515-3233","$518,000,000 ","$518,000,000 ","$0 ","14-18","14","Office, Retail","United States","1/11/12",NA
"357","Opportunity","AREA Property","Sun-apollo India Real Estate Fund","Prakash Kalothia","91-226-688-6100","$630,000,000 ","$630,000,000 ","$394,000,000 ","20+","20+","Office","Europe","1/11/11",NA
"358","Opportunity","AREA Property","Sun-apollo India Real Estate Fund","Prakash Kalothia","91-226-688-6128","$630,000,000 ","$630,000,000 ","$391,000,000 ","20+","20+","Office","India","1/11/12",NA
"359","Opportunity","Artemis Real Estate","Artemis Real Estate Partners Fund 1","Deborah Harmon","202-729-6588","436,000,000","436,000,000","217,000,000","16","0.16","Distressed, Mortgages, Bridge Loans, Mezzanine Loans","United States","3/1/13","USD"
"360","Opportunity","Artemis Real Estate","Artemis Real Estate Partners Fund 1","Deborah Harmon","202-729-6588","$436,000,000 ","$436,000,000 ","$0 ","16","16","Distressed","United States","1/11/12",NA
"361","Opportunity","Artemis Real Estate","Artemis Real Estate Partners Fund 1","Deborah Harmon","202-729-6588","$500,000,000 ","$162,500,000 ","","16-18","16","Distressed","United States","1/11/11",NA
"362","Opportunity","Avanti Properties","Avanti Strategic Land Investors 7","Marvin Shapiro","407-628-8488","137,000,000","137,000,000","20,000,000","18","0.18","Land","Southwestern United States, Western United States","3/1/13","USD"
"363","Opportunity","Avanti Properties","Avanti Strategic Land Investors 7","Marvin Shapiro","407-628-8488","$350,000,000 ","$0 ","$0 ","18","18","Land","Southwestern United States","1/11/12",NA
"364","Opportunity","Avenida Capital","Avenida Colombia Real Estate Fund 1","Alex Chalmers","212-220-5856","125,000,000","32,000,000","10,000,000","16","0.16","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","Colombia","3/1/13","USD"
"365","Opportunity","Beacon Capital","Beacon Capital Strategic Partners 6","Jeff Brown","617-457-0411","2,500,000,000","2,500,000,000","1,850,000,000","15-17","0.15","Office","United States, Europe","3/1/13","USD"
"366","Opportunity","Beacon Capital","Beacon Capital Strategic Partners 6","Jeff Brown","617-457-0411","$2,500,000,000 ","$2,500,000,000 ","$200,000,000 ","15-17","15","Office","Japan","1/11/11",NA
"367","Opportunity","Beacon Capital","Beacon Capital Strategic Partners 6","Jeff Brown","617-457-0411","$2,500,000,000 ","$2,500,000,000 ","$200,000,000 ","15-17","15","Office","United States, Europe","1/11/12",NA
"368","Opportunity","Benson Elliot Capital","Benson Elliot Real Estate Partners 3","Trish Barrigan","44-207-808-8907","656,000,000","656,000,000","169,000,000","16+","0.16","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","Europe","3/1/13","EU"
"369","Opportunity","Benson Elliot Capital","Benson Elliot Real Estate Partners 3","Trish Barrigan","44-207-808-8907","$672,205,500 ","$672,205,500 ","$133,091,782 ","16+","16+","Office","Europe","1/11/12",NA
"370","Opportunity","Benson Elliot Capital","Benson Elliot Real Estate Partners 3","Trish Barrigan","44-207-808-8907","$695,738,500 ","$695,738,500 ","","16+","16+","Office","New York City","1/11/11",NA
"371","Opportunity","Black Creek Group","Mexico Residential Fund","Bob Batting","303-869-4600","513,000,000","513,000,000","265,000,000","20+","0.2","Residential","Mexico","3/1/13","USD"
"372","Opportunity","Black Creek Group","Mexico Residential Fund","Bob Batting","303-869-4600","$513,000,000 ","$513,000,000 ","$140,000,000 ","20+","20+","Multifamily","Mexico","1/11/12",NA
"373","Opportunity","Black Creek Group","Mexico Residential Fund","Bob Batting","303-869-4600","$513,000,000 ","$513,000,000 ","$140,000,000 ","20+","20+","Multifamily","United States","1/11/11",NA
"374","Opportunity","Blackstone Group","Blackstone Real Estate Partners 7","A.J. Agarwal","212-583-5802","13,300,000,000","13,300,000,000","5,985,000,000","20","0.2","Office, Hotel","Global","3/1/13","USD"
"375","Opportunity","Blackstone Group","Blackstone Real Estate Partners 7","Jonathan Gray","212-583-5803","$10,000,000,000 ","","","20","20","Office, Lodging","Europe","1/11/12",NA
"376","Opportunity","Blackstone Group","Blackstone Real Estate Partners Asia","Chris Heady","852-3656-8672","3,500,000,000","0","0","16+","0.16","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","Asia","3/1/13","USD"
"377","Opportunity","Blackstone Group","Blackstone Real Estate Partners Europe 3","Ken Caplan","44-207-451-4282","4,222,000,000","4,222,000,000","3,214,000,000","20","0.2","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","Europe","3/1/13","EU"
"378","Opportunity","Blackstone Group","Blackstone Real Estate Partners Europe 3","Chad Pike","44-207-451-4233","$4,270,870,000 ","$4,270,870,000 ","$259,280,597 ","20","20","Office","Latin America","1/11/12",NA
"379","Opportunity","Blackstone Group","Blackstone Real Estate Special Situations Europe","Chad Pike","44-207-451-4233","$1,377,700,000 ","","","20","20","Office","Europe","1/11/12",NA
"380","Opportunity","BLG Capital","BLG Turkish Real Estate Fund","Frank RoccoGrande","90-212-381-2222","185,000,000","185,000,000","12,000,000","","0","Hotel, Multifamily, Student Housing","Turkey","3/1/13","EU"
"381","Opportunity","Blue Vista Capital","Blue Vista Sponsor Equity Fund 3","Robert Byron","312-324-6062","300,000,000","140,000,000","40,000,000","18","0.18","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","United States","3/1/13","USD"
"382","Opportunity","Blue Vista Capital","Blue Vista Sponsor Equity Fund 3","Chris Winnen","312-324-6062","$300,000,000 ","","","18","18","Office","United States","1/11/12",NA
"383","Opportunity","Blue Vista Capital","Blue Vista Sponsor Equity Fund 3","Chris Winnen","312-324-6062","$300,000,000 ","$40,000,000 ","$0 ","18","18","Office","United States","1/11/12",NA
"384","Opportunity","Blue Vista Capital","Bv Student Housing Fund 2","Peter Stelian","312-324-6060","$300,000,000 ","$150,000,000 ","","15-17","15","Student Housing","Northeastern United States","1/11/11",NA
"385","Opportunity","Bluehouse Capital","Bluehouse Accession Property Fund 3","Julia Bernard","30-210-362-8900","156,000,000","156,000,000","103,000,000","20","0.2","Office, Retail, Residential","Eastern Europe","3/1/13","EU"
"386","Opportunity","Bluehouse Capital","Bluehouse Accession Property Fund 3","Julia Bernard","30-210-362-8900","$159,732,000 ","$159,732,000 ","$71,894,254 ","","","Office","Balkans","1/11/12",NA
"387","Opportunity","Bluehouse Capital","Bluehouse Accession Property Fund 3","Julia Bernard","30-210-362-8900","$165,324,000 ","$165,324,000 ","$51,342,857 ","20","20","Office","United States","1/11/12",NA
"388","Opportunity","Bridge Investment Group","ROC 2","Dan Stanger","801-284-2900","375,000,000","0","0","20","0.2","Multifamily, Office, Other","United States","3/1/13","USD"
"389","Opportunity","Bristol Group","Bristol Value 2","Jim Curtis","415-398-1022","160,000,000","160,000,000","0","14-18","0.14","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","United States","3/1/13","USD"
"390","Opportunity","Bristol Group","Bristol Value 2","Jim Curtis","415-398-1022","$250,000,000 ","$100,000,000 ","","14-18","14","Office","United States","1/11/11",NA
"391","Opportunity","Bristol Group","Bristol Value 2","Jim Curtis","415-398-1022","$250,000,000 ","$100,000,000 ","$0 ","14-18","14","Office","United States","1/11/12",NA
"392","Opportunity","Brockton Capital","Brockton Capital Fund 2","David Marks","44-207-220-2555","752,000,000","752,000,000","235,000,000","20","0.2","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","England","3/1/13","GBP"
"393","Opportunity","Brockton Capital","Brockton Capital Fund 2","David Marks","44-207-220-2555","$797,850,000 ","$797,850,000 ","$171,665,027 ","","","Office","England","1/11/12",NA
"394","Opportunity","Brockton Capital","Brockton Capital Fund 2","David Marks","44-207-220-2555","$813,350,000 ","$813,350,000 ","$125,130,769 ","20","20","Office, Multifamily","Turkey, Eastern Europe","1/11/12",NA
"395","Opportunity","Brookdale Group","Brookdale Investors 6","Dan Ethridge","404-364-8085","410,000,000","410,000,000","200,000,000","16-19","0.16","Office","United States","3/1/13","USD"
"396","Opportunity","Brookdale Group","Brookdale Investors 6","Dan Ethridge","404-364-8085","$410,000,000 ","$410,000,000 ","","16-19","16","Office","California, Phoenix, Atlanta, Florida","1/11/11",NA
"397","Opportunity","Brookdale Group","Brookdale Investors 6","Dan Ethridge","404-364-8085","$410,000,000 ","$410,000,000 ","$200,000,000 ","16-19","16","Office","United States","1/11/12",NA
"398","Opportunity","Brookfield Asset Management","Brookfield Strategic Real Estate Partners","Scott White","212-417-2578","3,500,000,000","2,600,000,000","800,000,000","17-20","0.17","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","United States, Canada, Europe","3/1/13","USD"
"399","Opportunity","Brookfield Asset Management","Brookfield Strategic Real Estate Partners","Scott White","212-417-2578","$3,500,000,000 ","$0 ","$0 ","17-20","17","Office","United States","1/11/12",NA
"400","Opportunity","Brookfield Asset Management","Brookfield Property Investors","Scott White","212-417-2578","$3,500,000,000 ","","","17-20","17","Office","United States","1/11/11",NA
"401","Opportunity","Brookfield Asset Management","Global Real Estate Investor Consortium","Barry Blattman","212-417-7276","$5,000,000,000 ","$5,000,000,000 ","$2,600,000,000 ","21","21","Office","Japan","1/11/12",NA
"402","Opportunity","Brookwood Financial","Brookwood U.S. Real Estate Fund","Thomas Trkla","978-927-8300","700,000,000","0","0","15-18","0.15","Office, Industrial, Retail","United States","3/1/13","USD"
"403","Opportunity","Brookwood Financial","Brookwood U.S. Real Estate Aggregator","Thomas Trkla","978-927-8300","$300,000,000 ","$0 ","$0 ","15-18","15","Office, Industrial","United States","1/11/12",NA
"404","Opportunity","Bryanston Realty","Bryanston Real Estate Opportunity Fund 2","Tad Wefel","312-360-3101","50,000,000","50,000,000","25,000,000","20","0.2","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","United States","3/1/13","USD"
"405","Opportunity","Bryanston Realty","Bryanston Real Estate Opportunity Fund 2","Tad Wefel","312-360-3101","$50,000,000 ","$50,000,000 ","$10,000,000 ","","","Office","United States","1/11/12",NA
"406","Opportunity","Bryanston Realty","Bryanston Real Estate Opportunity Fund 2","Steven Smith","312-360-3101","$250,000,000 ","$50,000,000 ","","20","20","Office","United States","1/11/12",NA
"407","Opportunity","C-III Capital","C-III Recovery Fund 1","Bob Lieber","212-705-5050","310,000,000","310,000,000","32,000,000","16","0.16","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","United States","3/1/13","USD"
"408","Opportunity","C-III Capital","C-iii Recovery Fund 1","Andrew Carr","212-705-5043","$209,000,000 ","$209,000,000 ","","16","16","Office","United States","1/11/12",NA
"409","Opportunity","Cantor Real Estate","Cantor Real Estate Income & Opportunity","Joel Cantor","813-968-3800","200,000,000","0","0","","0","Office, Hotel, Retail, Industrial, Multifamily, Niche, Distressed","United States","3/1/13","USD"
"410","Opportunity","Canyon Capital Realty","Canyon Johnson Urban Fund 3","Bobby Turner","310-247-2700","1,000,000,000","1,000,000,000","700,000,000","16-18","0.16","Multifamily, Retail, Industrial","United States","3/1/13","USD"
"411","Opportunity","Canyon Capital Realty","Canyon Johnson Urban Fund 3","Bobby Turner","310-247-2700","$1,000,000,000 ","$1,000,000,000 ","$332,000,000 ","16-18","16","Multifamily","Europe","1/11/11",NA
"412","Opportunity","Canyon Capital Realty","Canyon Johnson Urban Fund 3","Bobby Turner","310-247-2700","$1,000,000,000 ","$1,000,000,000 ","$700,000,000 ","16-18","16","Multifamily","United States","1/11/12",NA
"413","Opportunity","Carlyle Group","Carlyle Asia Real Estate Partners 3","Jason Lee","85-22-878-7000","750,000,000","0","0","16+","0.16","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","Asia","3/1/13","USD"
"414","Opportunity","Carlyle Group","Carlyle Realty Partners 6","Rob Stuckey","202-729-5255","2,340,000,000","2,340,000,000","994,000,000","20","0.2","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","United States","3/1/13","USD"
"415","Opportunity","Carlyle Group","Carlyle Realty Partners 6","Rob Stuckey","202-729-5255","$1,500,000,000 ","$800,000,000 ","","20","20","Office","United States","1/11/12",NA
"416","Opportunity","Carlyle Group","Carlyle Realty Partners 6","Rob Stuckey","202-729-5255","$2,340,000,000 ","$2,340,000,000 ","$468,000,000 ","","","Office","United States","1/11/12",NA
"417","Opportunity","Carlyle Group","Carlyle Asia Real Estate Partners 2","Jason Lee","85-22-878-7000","$485,000,000 ","$485,000,000 ","$315,000,000 ","18","18","Retail, Office","England","1/11/12",NA
"418","Opportunity","Carlyle Group","Carlyle Asia Real Estate Partners 2","Jason Lee","85-22-878-7000","$485,000,000 ","$485,000,000 ","$361,900,000 ","","","Retail","Asia","1/11/12",NA
"419","Opportunity","Carlyle Group","Carlyle Europe Real Estate Partners 3","Eric Sasson","33-15-370-3520","$2,967,021,900 ","$2,967,021,900 ","$2,095,012,686 ","20+","20+","Office, Other","Europe","1/11/12",NA
"420","Opportunity","Carlyle Group","Carlyle Europe Real Estate Partners 3","Eric Sasson","33-15-370-3520","$3,070,893,300 ","$3,070,893,300 ","$1,996,080,645 ","20+","20+","Office","Asia","1/11/11",NA
"421","Opportunity","Carlyle Group","Carlyle Europe Real Estate Partners 4","Eric Sasson","33-15-370-3520","$2,662,200,000 ","$0 ","$0 ","20+","20+","Office","Europe","1/11/12",NA
"422","Opportunity","Carlyle Group","Carlyle Europe Real Estate Partners 4","Eric Sasson","33-15-370-3520","$2,755,400,000 ","","","20+","20+","Office","United States","1/11/11",NA
"423","Opportunity","CarVal Investors","CarVal Europe Real Estate Partners","Matthew Hanson","952-984-3632","500,000,000","184,000,000","95,000,000","16","0.16","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","England, France","3/1/13","USD"
"424","Opportunity","CarVal Investors","Carval Europe Real Estate Partners","Timothy Clark","952-984-3774","$665,550,000 ","$183,600,000 ","$54,162,000 ","16","16","Office, Retail","England, France","1/11/12",NA
"425","Opportunity","CarVal Investors","Cvi Japan Real Estate Partners","Timothy Clark","952-984-3774","$500,000,000 ","$200,000,000 ","$0 ","16","16","Distressed","Japan","1/11/12",NA
"426","Opportunity","CBRE Global Investors","CBRE China Opportunity Fund 2","Richard van den Berg","852-2-846-3080","750,000,000","0","0","20","0.2","Multifamily","China","3/1/13","USD"
"427","Opportunity","CBRE Global Investors","Cbre China Opportunity Fund 2","Richard Van Den Berg","852-2-846-3080","$750,000,000 ","","","","","Multifamily","China","1/11/12",NA
"428","Opportunity","Century Bridge Capital","Century Bridge China Real Estate Fund","T. Delatour, J. Tucker","214-270-2121","170,000,000","170,000,000","0","20+","0.2","Residential","China","3/1/13","USD"
"429","Opportunity","Century Bridge Capital","Century Bridge China Real Estate Fund","Thomas Delatour","86-10-6566-9907","$400,000,000 ","","","20+","20+","Multifamily","India","1/11/11",NA
"430","Opportunity","Century Bridge Capital","Century Bridge China Real Estate Fund","Thomas Delatour","86-106-566-9907 ","$400,000,000 ","","","20+","20+","Multifamily","China","1/11/12",NA
"431","Opportunity","Charles River Realty Investors","Charles River Institutional Fund 1","Brian Clancy","617-559-5063","$200,000,000 ","$200,000,000 ","$84,000,000 ","15-18","15","Office","United States","1/11/11",NA
"432","Opportunity","Chesapeake Realty","CRP Multi-Family Fund A","Larry Macks","410-356-9900","60,000,000","22,000,000","0","16+","0.16","Multifamily, Development","Eastern United States","3/1/13","USD"
"433","Opportunity","Chesapeake Realty","CRP Opportunity Fund","Larry Macks","410-356-9900","66,000,000","66,000,000","0","18","0.18","Land","Eastern United States","3/1/13","USD"
"434","Opportunity","Chesapeake Realty","Crp Opportunity Fund","Larry Macks","410-356-9900","$66,200,000 ","$66,200,000 ","","","","Land","Boston","1/11/12",NA
