"","year","cip_family","cipfamilytitle","total","males","females","males_white","females_white","males_black","females_black"
"372",1997,42,"Psychology",112,29,83,25,70,0,2
"373",1997,43,"Homeland Security- Law Enforcement- Firefighting- and Related Protective Service",68,62,6,50,4,1,1
"374",1997,45,"Social Sciences and History",138,72,66,56,52,3,4
"375",1997,49,"Transportation and materials moving.",57,50,7,41,7,2,0
"376",1997,50,"Visual and performing arts.",35,14,21,12,15,0,0
"377",1998,2,"Agricultural Sciences",155,94,61,82,55,0,2
"378",1998,1,"Agriculture- Agriculture Operations and Related Sciences",75,47,28,43,25,0,0
"379",1998,4,"Architecture and Related Services",32,22,10,19,7,0,0
"380",1998,26,"Biological and Biomedical Sciences",124,67,57,58,45,0,1
"381",1998,52,"Business- Management- Marketing- and Related Support Services",626,349,277,228,191,5,8
"382",1998,9,"Communication- Journalism- and Related Programs",109,42,67,39,50,2,3
"383",1998,11,"Computer and Information Sciences and Support Services",41,32,9,16,2,0,0
"384",1998,13,"Education",313,152,161,134,146,2,1
"385",1998,15,"Engineering Technologies and Engineering-related Fields",78,73,5,49,4,1,0
"386",1998,14,"Engineering",278,223,55,124,33,2,0
"387",1998,23,"English language and literature/letters.",67,21,46,18,42,1,1
"388",1998,16,"Foreign Languages- Literatures- and Linguistics",20,8,12,6,11,0,0
"389",1998,51,"Health Professions and Related Programs",43,1,42,1,35,0,1
"390",1998,19,"Family and Consumer Sciences/Human Sciences",172,11,161,11,144,0,0
"391",1998,24,"Liberal arts and sciences- general studies and humanities.",3,2,1,2,1,0,0
"392",1998,27,"Mathematics and Statistics",14,8,6,8,4,0,0
"393",1998,3,"Natural Resources and Conservation",38,28,10,28,10,0,0
"394",1998,31,"Parks- Recreation- Leisure and Fitness Studies",23,7,16,6,13,0,1
"395",1998,38,"Philosophy and Religious Studies",5,4,1,2,1,0,0
"396",1998,40,"Physical Sciences",32,23,9,20,8,0,0
"397",1998,42,"Psychology",95,24,71,22,62,0,1
"398",1998,43,"Homeland Security- Law Enforcement- Firefighting- and Related Protective Service",50,47,3,42,3,1,0
"399",1998,45,"Social Sciences and History",136,72,64,62,50,3,3
"400",1998,49,"Transportation and materials moving.",52,43,9,36,8,3,0
"401",1998,50,"Visual and performing arts.",42,18,24,12,18,0,0
"402",1999,2,"Agricultural Sciences",363,223,140,192,119,2,0
"403",1999,1,"Agriculture- Agriculture Operations and Related Sciences",123,85,38,74,37,0,0
"404",1999,4,"Architecture and Related Services",48,36,12,30,7,0,0
"405",1999,26,"Biological and Biomedical Sciences",249,120,129,99,100,0,7
"406",1999,52,"Business- Management- Marketing- and Related Support Services",1321,722,599,527,410,12,10
"407",1999,9,"Communication- Journalism- and Related Programs",168,74,94,56,80,3,0
"408",1999,11,"Computer and Information Sciences and Support Services",83,72,11,40,2,0,0
"409",1999,13,"Education",539,180,359,157,306,0,2
"410",1999,15,"Engineering Technologies and Engineering-related Fields",149,143,6,108,5,4,0
"411",1999,14,"Engineering",486,393,93,233,55,6,5
"412",1999,23,"English language and literature/letters.",117,36,81,27,79,2,0
"413",1999,16,"Foreign Languages- Literatures- and Linguistics",36,8,28,6,22,0,0
"414",1999,51,"Health Professions and Related Programs",64,6,58,5,51,0,0
"415",1999,19,"Family and Consumer Sciences/Human Sciences",315,13,302,10,265,2,0
"416",1999,24,"Liberal arts and sciences- general studies and humanities.",12,6,6,5,6,0,0
"417",1999,27,"Mathematics and Statistics",34,15,19,12,16,2,0
"418",1999,3,"Natural Resources and Conservation",67,55,12,51,12,0,0
"419",1999,31,"Parks- Recreation- Leisure and Fitness Studies",16,4,12,4,12,0,0
"420",1999,38,"Philosophy and Religious Studies",13,6,7,4,6,0,0
"421",1999,40,"Physical Sciences",32,24,8,21,6,0,0
"422",1999,42,"Psychology",131,35,96,26,84,0,0
"423",1999,43,"Homeland Security- Law Enforcement- Firefighting- and Related Protective Service",109,97,12,90,10,0,0
"424",1999,45,"Social Sciences and History",233,130,103,115,84,4,2
"425",1999,49,"Transportation and materials moving.",113,104,9,85,4,2,0
"426",1999,50,"Visual and performing arts.",84,41,43,33,36,0,0
"427",2000,2,"Agricultural Sciences",219,120,99,107,87,2,0
"428",2000,1,"Agriculture- Agriculture Operations and Related Sciences",73,46,27,42,23,0,0
"429",2000,4,"Architecture and Related Services",50,39,11,35,7,1,0
"430",2000,26,"Biological and Biomedical Sciences",154,68,86,57,70,0,0
"431",2000,52,"Business- Management- Marketing- and Related Support Services",748,408,340,314,245,7,12
"432",2000,9,"Communication- Journalism- and Related Programs",93,36,57,30,51,2,0
"433",2000,11,"Computer and Information Sciences and Support Services",50,43,7,24,4,1,1
"434",2000,13,"Education",292,93,199,78,182,0,3
"435",2000,15,"Engineering Technologies and Engineering-related Fields",75,71,4,59,1,0,1
"436",2000,14,"Engineering",270,233,37,124,26,3,0
"437",2000,23,"English language and literature/letters.",59,24,35,22,27,0,1
"438",2000,16,"Foreign Languages- Literatures- and Linguistics",22,7,15,6,9,0,3
"439",2000,51,"Health Professions and Related Programs",30,2,28,2,27,0,0
"440",2000,19,"Family and Consumer Sciences/Human Sciences",180,10,170,9,147,0,0
"441",2000,24,"Liberal arts and sciences- general studies and humanities.",8,1,7,0,6,1,0
"442",2000,27,"Mathematics and Statistics",14,6,8,5,6,0,0
"443",2000,3,"Natural Resources and Conservation",31,21,10,19,9,0,0
"444",2000,31,"Parks- Recreation- Leisure and Fitness Studies",27,7,20,7,19,0,0
"445",2000,38,"Philosophy and Religious Studies",5,3,2,2,1,0,0
"446",2000,40,"Physical Sciences",27,15,12,12,11,0,0
"447",2000,42,"Psychology",113,30,83,24,69,0,2
"448",2000,43,"Homeland Security- Law Enforcement- Firefighting- and Related Protective Service",49,42,7,40,7,0,0
"449",2000,45,"Social Sciences and History",130,79,51,69,43,2,4
"450",2000,49,"Transportation and materials moving.",52,44,8,39,6,0,0
"451",2000,50,"Visual and performing arts.",65,28,37,21,32,0,1
"452",2001,2,"Agricultural Sciences",228,116,112,107,104,0,0
"453",2001,1,"Agriculture- Agriculture Operations and Related Sciences",79,50,29,48,27,0,0
"454",2001,4,"Architecture and Related Services",37,30,7,20,4,0,0
"455",2001,26,"Biological and Biomedical Sciences",170,74,96,56,80,3,2
"456",2001,52,"Business- Management- Marketing- and Related Support Services",818,444,374,332,275,10,15
"457",2001,9,"Communication- Journalism- and Related Programs",121,44,77,38,62,0,3
"458",2001,11,"Computer and Information Sciences and Support Services",43,38,5,19,1,0,0
"459",2001,13,"Education",283,92,191,74,168,2,6
"460",2001,15,"Engineering Technologies and Engineering-related Fields",98,94,4,77,2,1,0
"461",2001,14,"Engineering",279,233,46,138,29,6,3
"462",2001,23,"English language and literature/letters.",56,19,37,17,33,0,0
"463",2001,16,"Foreign Languages- Literatures- and Linguistics",20,3,17,2,12,0,0
"464",2001,51,"Health Professions and Related Programs",27,2,25,2,24,0,0
"465",2001,19,"Family and Consumer Sciences/Human Sciences",199,10,189,9,154,0,5
"466",2001,24,"Liberal arts and sciences- general studies and humanities.",14,6,8,5,7,1,0
"467",2001,27,"Mathematics and Statistics",18,8,10,7,8,1,0
"468",2001,3,"Natural Resources and Conservation",32,19,13,16,9,0,0
"469",2001,31,"Parks- Recreation- Leisure and Fitness Studies",15,8,7,6,7,0,0
"470",2001,38,"Philosophy and Religious Studies",3,3,0,3,0,0,0
"471",2001,40,"Physical Sciences",19,12,7,10,5,0,0
"472",2001,42,"Psychology",108,33,75,32,64,0,2
"473",2001,43,"Homeland Security- Law Enforcement- Firefighting- and Related Protective Service",38,32,6,29,5,0,0
"474",2001,45,"Social Sciences and History",136,75,61,59,45,7,6
"475",2001,49,"Transportation and materials moving.",66,60,6,52,5,2,1
"476",2001,50,"Visual and performing arts.",71,35,36,28,30,1,1
"477",2002,2,"Agricultural Sciences",196,108,88,100,82,0,0
"478",2002,1,"Agriculture- Agriculture Operations and Related Sciences",64,38,26,35,25,0,0
"479",2002,4,"Architecture and Related Services",40,28,12,21,10,1,0
"480",2002,26,"Biological and Biomedical Sciences",174,80,94,66,80,1,2
"481",2002,52,"Business- Management- Marketing- and Related Support Services",880,484,396,385,302,10,11
"482",2002,9,"Communication- Journalism- and Related Programs",126,54,72,45,58,2,2
"483",2002,11,"Computer and Information Sciences and Support Services",55,44,11,25,4,2,0
"484",2002,13,"Education",251,91,160,74,139,1,1
"485",2002,15,"Engineering Technologies and Engineering-related Fields",85,78,7,68,7,1,0
"486",2002,14,"Engineering",296,232,64,149,46,1,1
"487",2002,23,"English language and literature/letters.",78,29,49,25,46,1,0
"488",2002,16,"Foreign Languages- Literatures- and Linguistics",11,5,6,5,6,0,0
"489",2002,51,"Health Professions and Related Programs",29,0,29,0,23,0,1
"490",2002,19,"Family and Consumer Sciences/Human Sciences",192,10,182,8,152,0,4
"491",2002,24,"Liberal arts and sciences- general studies and humanities.",12,8,4,5,3,1,0
"492",2002,27,"Mathematics and Statistics",25,14,11,13,10,1,0
"493",2002,3,"Natural Resources and Conservation",18,13,5,10,5,0,0
"494",2002,31,"Parks- Recreation- Leisure and Fitness Studies",24,5,19,4,16,0,1
"495",2002,38,"Philosophy and Religious Studies",6,5,1,5,0,0,0
"496",2002,40,"Physical Sciences",20,12,8,12,8,0,0
"497",2002,42,"Psychology",123,33,90,19,73,6,4
"498",2002,43,"Homeland Security- Law Enforcement- Firefighting- and Related Protective Service",38,37,1,36,1,0,0
"499",2002,45,"Social Sciences and History",129,58,71,47,61,5,0
"500",2002,49,"Transportation and materials moving.",47,44,3,35,2,3,0
"501",2002,50,"Visual and performing arts.",82,30,52,25,43,0,0
"502",2003,1,"Agriculture- Agriculture Operations and Related Sciences",279,159,120,148,106,0,0
"503",2003,4,"Architecture and Related Services",44,32,12,24,10,1,0
"504",2003,5,"Area- Ethnic- Cultural- Gender- and Group Studies",1,1,0,1,0,0,0
"505",2003,26,"Biological and Biomedical Sciences",158,69,89,56,72,1,2
"506",2003,52,"Business- Management- Marketing- and Related Support Services",958,533,425,420,343,20,10
"507",2003,9,"Communication- Journalism- and Related Programs",174,60,114,53,95,0,3
"508",2003,11,"Computer and Information Sciences and Support Services",52,45,7,23,1,0,0
"509",2003,13,"Education",299,120,179,99,155,7,3
"510",2003,15,"Engineering Technologies and Engineering-related Fields",77,67,10,51,6,3,0
"511",2003,14,"Engineering",269,210,59,149,48,2,1
"512",2003,23,"English language and literature/letters.",68,28,40,26,38,0,0
"513",2003,16,"Foreign Languages- Literatures- and Linguistics",19,5,14,5,12,0,0
"514",2003,51,"Health Professions and Related Programs",37,4,33,4,28,0,1
"515",2003,54,"History",25,15,10,15,9,0,0
"516",2003,19,"Family and Consumer Sciences/Human Sciences",233,14,219,12,187,0,3
"517",2003,24,"Liberal arts and sciences- general studies and humanities.",19,7,12,5,8,2,2
"518",2003,27,"Mathematics and Statistics",15,10,5,6,5,0,0
"519",2003,3,"Natural Resources and Conservation",21,14,7,10,6,0,0
"520",2003,31,"Parks- Recreation- Leisure and Fitness Studies",13,5,8,5,7,0,0
"521",2003,38,"Philosophy and Religious Studies",12,9,3,8,3,0,0
"522",2003,40,"Physical Sciences",15,10,5,10,5,0,0
"523",2003,42,"Psychology",106,27,79,23,68,0,5
"524",2003,43,"Homeland Security- Law Enforcement- Firefighting- and Related Protective Service",53,52,1,44,1,0,0
"525",2003,45,"Social Sciences and History",136,74,62,52,49,9,4
"526",2003,49,"Transportation and materials moving.",76,67,9,55,6,0,0
"527",2003,50,"Visual and performing arts.",64,25,39,23,34,0,0
"528",2004,1,"Agriculture- Agriculture Operations and Related Sciences",286,149,137,133,120,0,1
"529",2004,4,"Architecture and Related Services",37,20,17,20,14,0,0
"530",2004,5,"Area- Ethnic- Cultural- Gender- and Group Studies",7,1,6,1,5,0,1
"531",2004,26,"Biological and Biomedical Sciences",198,93,105,73,81,0,6
"532",2004,52,"Business- Management- Marketing- and Related Support Services",998,555,443,440,339,9,20
"533",2004,9,"Communication- Journalism- and Related Programs",163,46,117,39,97,3,4
"534",2004,11,"Computer and Information Sciences and Support Services",61,53,8,31,2,2,0
"535",2004,13,"Education",307,120,187,97,161,5,2
"536",2004,15,"Engineering Technologies and Engineering-related Fields",97,90,7,69,3,4,2
"537",2004,14,"Engineering",272,204,68,152,52,4,1
"538",2004,23,"English language and literature/letters.",56,15,41,13,35,0,2
"539",2004,16,"Foreign Languages- Literatures- and Linguistics",20,6,14,5,13,0,0
"540",2004,51,"Health Professions and Related Programs",35,6,29,4,23,0,1
"541",2004,54,"History",31,19,12,18,11,0,0
"542",2004,19,"Family and Consumer Sciences/Human Sciences",264,16,248,13,209,0,10
"543",2004,24,"Liberal arts and sciences- general studies and humanities.",23,9,14,5,10,2,3
"544",2004,27,"Mathematics and Statistics",20,13,7,10,6,1,0
"545",2004,29,"Military technologies.",0,0,0,0,0,0,0
"546",2004,30,"Multi/Interdisciplinary Studies",0,0,0,0,0,0,0
"547",2004,3,"Natural Resources and Conservation",20,15,5,13,4,0,0
"548",2004,31,"Parks- Recreation- Leisure and Fitness Studies",26,12,14,11,13,0,0
"549",2004,38,"Philosophy and Religious Studies",11,8,3,7,2,0,0
"550",2004,40,"Physical Sciences",19,14,5,14,3,0,0
"551",2004,42,"Psychology",122,35,87,27,70,2,1
"552",2004,43,"Homeland Security- Law Enforcement- Firefighting- and Related Protective Service",30,27,3,25,2,1,0
"553",2004,45,"Social Sciences and History",155,79,76,67,57,3,2
"554",2004,49,"Transportation and materials moving.",51,44,7,40,6,0,1
"555",2004,50,"Visual and performing arts.",79,32,47,20,39,1,1
"556",2005,1,"Agriculture- Agriculture Operations and Related Sciences",286,146,140,126,126,0,3
"557",2005,4,"Architecture and Related Services",37,27,10,22,8,0,0
"558",2005,5,"Area- Ethnic- Cultural- Gender- and Group Studies",8,3,5,2,5,0,0
"559",2005,26,"Biological and Biomedical Sciences",186,87,99,71,78,1,2
"560",2005,52,"Business- Management- Marketing- and Related Support Services",1047,566,481,445,350,9,22
"561",2005,9,"Communication- Journalism- and Related Programs",161,45,116,37,97,2,5
"562",2005,11,"Computer and Information Sciences and Support Services",57,46,11,28,4,0,1
"563",2005,13,"Education",295,95,200,75,177,6,4
"564",2005,15,"Engineering Technologies and Engineering-related Fields",89,84,5,69,4,1,0
"565",2005,14,"Engineering",305,235,70,181,52,3,3
"566",2005,23,"English language and literature/letters.",72,36,36,34,30,0,0
"567",2005,16,"Foreign Languages- Literatures- and Linguistics",30,10,20,4,15,1,0
"568",2005,51,"Health Professions and Related Programs",77,15,62,13,46,0,3
"569",2005,54,"History",42,28,14,21,11,1,1
"570",2005,19,"Family and Consumer Sciences/Human Sciences",267,10,257,8,203,1,9
"571",2005,24,"Liberal arts and sciences- general studies and humanities.",41,14,27,7,19,5,4
"572",2005,27,"Mathematics and Statistics",13,5,8,4,6,0,0
"573",2005,29,"Military technologies.",0,0,0,0,0,0,0
"574",2005,3,"Natural Resources and Conservation",29,24,5,23,5,1,0
"575",2005,31,"Parks- Recreation- Leisure and Fitness Studies",28,12,16,9,10,0,0
"576",2005,38,"Philosophy and Religious Studies",5,5,0,4,0,0,0
"577",2005,40,"Physical Sciences",23,11,12,10,9,0,0
"578",2005,42,"Psychology",103,25,78,19,67,1,2
"579",2005,43,"Homeland Security- Law Enforcement- Firefighting- and Related Protective Service",32,27,5,26,4,0,0
"580",2005,45,"Social Sciences and History",173,85,88,71,70,4,3
"581",2005,49,"Transportation and materials moving.",69,61,8,56,7,0,0
"582",2005,50,"Visual and performing arts.",74,36,38,29,32,1,1
"583",2006,1,"Agriculture- Agriculture Operations and Related Sciences",279,146,133,131,112,0,0
"584",2006,4,"Architecture and Related Services",34,23,11,18,9,0,0
"585",2006,5,"Area- Ethnic- Cultural- Gender- and Group Studies",16,6,10,4,7,0,1
"586",2006,26,"Biological and Biomedical Sciences",190,90,100,69,66,2,7
"587",2006,52,"Business- Management- Marketing- and Related Support Services",1083,618,465,470,354,23,28
"588",2006,9,"Communication- Journalism- and Related Programs",155,52,103,42,82,2,5
"589",2006,11,"Computer and Information Sciences and Support Services",44,37,7,25,3,0,0
"590",2006,13,"Education",297,99,198,80,174,7,4
"591",2006,15,"Engineering Technologies and Engineering-related Fields",91,90,1,74,1,3,0
"592",2006,14,"Engineering",311,241,70,185,52,4,1
"593",2006,23,"English language and literature/letters.",57,22,35,17,32,1,0
"594",2006,16,"Foreign Languages- Literatures- and Linguistics",24,8,16,5,14,1,0
"595",2006,51,"Health Professions and Related Programs",87,18,69,17,62,0,3
"596",2006,54,"History",34,17,17,15,15,0,0
"597",2006,19,"Family and Consumer Sciences/Human Sciences",298,25,273,20,237,0,4
"598",2006,24,"Liberal arts and sciences- general studies and humanities.",50,19,31,13,19,3,6
"599",2006,27,"Mathematics and Statistics",22,13,9,7,7,1,0
"600",2006,29,"Military technologies.",0,0,0,0,0,0,0
"601",2006,3,"Natural Resources and Conservation",33,21,12,14,5,1,0
"602",2006,31,"Parks- Recreation- Leisure and Fitness Studies",26,9,17,9,14,0,0
"603",2006,38,"Philosophy and Religious Studies",15,13,2,11,1,0,0
"604",2006,40,"Physical Sciences",30,23,7,17,4,0,0
"605",2006,42,"Psychology",145,44,101,34,69,3,5
"606",2006,43,"Homeland Security- Law Enforcement- Firefighting- and Related Protective Service",58,55,3,51,2,0,0
"607",2006,45,"Social Sciences and History",188,92,96,69,73,7,7
"608",2006,49,"Transportation and materials moving.",67,61,6,54,5,1,0
"609",2006,50,"Visual and performing arts.",64,27,37,21,29,1,0
"610",2007,1,"Agriculture- Agriculture Operations and Related Sciences",313,166,147,146,126,1,1
"611",2007,4,"Architecture and Related Services",42,26,16,17,14,0,0
"612",2007,5,"Area- Ethnic- Cultural- Gender- and Group Studies",9,5,4,4,3,0,0
"613",2007,26,"Biological and Biomedical Sciences",219,96,123,76,98,2,2
"614",2007,52,"Business- Management- Marketing- and Related Support Services",1033,601,432,463,328,22,20
"615",2007,9,"Communication- Journalism- and Related Programs",190,56,134,46,110,3,5
"616",2007,11,"Computer and Information Sciences and Support Services",28,28,0,20,0,1,0
"617",2007,13,"Education",310,101,209,81,193,6,1
"618",2007,15,"Engineering Technologies and Engineering-related Fields",102,97,5,80,5,3,0
"619",2007,14,"Engineering",279,222,57,181,41,2,4
"620",2007,23,"English language and literature/letters.",64,31,33,29,29,1,0
"621",2007,16,"Foreign Languages- Literatures- and Linguistics",22,9,13,9,9,0,0
"622",2007,51,"Health Professions and Related Programs",113,26,87,22,69,2,3
"623",2007,54,"History",37,22,15,16,12,0,0
"624",2007,19,"Family and Consumer Sciences/Human Sciences",271,19,252,13,202,1,5
"625",2007,24,"Liberal arts and sciences- general studies and humanities.",74,31,43,21,39,3,0
"626",2007,27,"Mathematics and Statistics",19,14,5,10,4,0,0
"627",2007,3,"Natural Resources and Conservation",11,9,2,7,2,0,0
"628",2007,31,"Parks- Recreation- Leisure and Fitness Studies",19,8,11,8,10,0,0
"629",2007,38,"Philosophy and Religious Studies",7,6,1,5,1,0,0
"630",2007,40,"Physical Sciences",29,18,11,13,10,0,1
"631",2007,42,"Psychology",131,34,97,29,77,2,2
"632",2007,43,"Homeland Security- Law Enforcement- Firefighting- and Related Protective Service",47,44,3,37,3,0,0
"633",2007,45,"Social Sciences and History",191,87,104,67,85,5,4
"634",2007,49,"Transportation and materials moving.",65,59,6,49,5,1,0
"635",2007,50,"Visual and performing arts.",87,39,48,32,40,2,2
"636",2008,1,"Agriculture- Agriculture Operations and Related Sciences",336,165,171,142,149,0,3
"637",2008,4,"Architecture and Related Services",37,24,13,20,10,0,0
"638",2008,5,"Area- Ethnic- Cultural- Gender- and Group Studies",7,1,6,1,5,0,0
"639",2008,26,"Biological and Biomedical Sciences",186,77,109,56,85,1,4
"640",2008,52,"Business- Management- Marketing- and Related Support Services",1119,629,490,488,356,23,15
"641",2008,9,"Communication- Journalism- and Related Programs",180,61,119,54,97,2,2
"642",2008,11,"Computer and Information Sciences and Support Services",23,20,3,17,0,0,0
"643",2008,13,"Education",296,83,213,66,173,6,5
"644",2008,15,"Engineering Technologies and Engineering-related Fields",114,104,10,90,10,0,0
"645",2008,14,"Engineering",249,202,47,156,36,1,3
"646",2008,23,"English language and literature/letters.",66,22,44,18,35,0,2
"647",2008,16,"Foreign Languages- Literatures- and Linguistics",32,10,22,8,18,0,1
"648",2008,51,"Health Professions and Related Programs",108,28,80,22,66,2,4
"649",2008,54,"History",30,17,13,13,12,1,0
"650",2008,19,"Family and Consumer Sciences/Human Sciences",298,21,277,16,233,0,9
"651",2008,24,"Liberal arts and sciences- general studies and humanities.",108,61,47,50,33,5,3
"652",2008,27,"Mathematics and Statistics",20,11,9,9,7,0,0
"653",2008,3,"Natural Resources and Conservation",41,27,14,23,13,0,0
"654",2008,31,"Parks- Recreation- Leisure and Fitness Studies",11,5,6,4,6,1,0
"655",2008,38,"Philosophy and Religious Studies",9,4,5,4,5,0,0
"656",2008,40,"Physical Sciences",28,16,12,13,9,0,0
"657",2008,42,"Psychology",144,48,96,41,74,0,6
"658",2008,43,"Homeland Security- Law Enforcement- Firefighting- and Related Protective Service",43,42,1,39,1,1,0
"659",2008,45,"Social Sciences and History",183,100,83,82,60,7,4
"660",2008,49,"Transportation and materials moving.",79,72,7,62,7,1,0
"661",2008,50,"Visual and performing arts.",72,31,41,29,36,0,0
"662",2009,1,"Agriculture- Agriculture Operations and Related Sciences",287,145,142,126,117,1,2
"663",2009,4,"Architecture and Related Services",46,33,13,26,8,0,1
"664",2009,5,"Area- Ethnic- Cultural- Gender- and Group Studies",4,1,3,0,2,0,0
"665",2009,26,"Biological and Biomedical Sciences",188,92,96,70,70,3,6
"666",2009,52,"Business- Management- Marketing- and Related Support Services",1096,614,482,488,356,22,20
"667",2009,9,"Communication- Journalism- and Related Programs",174,58,116,48,91,3,3
"668",2009,11,"Computer and Information Sciences and Support Services",32,31,1,20,1,1,0
"669",2009,13,"Education",272,84,188,66,153,7,2
"670",2009,15,"Engineering Technologies and Engineering-related Fields",130,126,4,107,3,1,0
"671",2009,14,"Engineering",282,237,45,186,30,7,2
"672",2009,23,"English language and literature/letters.",63,24,39,18,33,0,1
"673",2009,16,"Foreign Languages- Literatures- and Linguistics",23,6,17,4,16,0,0
"674",2009,51,"Health Professions and Related Programs",111,29,82,20,67,2,2
"675",2009,54,"History",41,23,18,18,17,0,0
"676",2009,19,"Family and Consumer Sciences/Human Sciences",315,23,292,15,244,2,12
"677",2009,24,"Liberal arts and sciences- general studies and humanities.",128,58,70,51,52,6,4
"678",2009,27,"Mathematics and Statistics",20,14,6,9,4,0,0
"679",2009,3,"Natural Resources and Conservation",62,38,24,32,23,0,0
"680",2009,31,"Parks- Recreation- Leisure and Fitness Studies",21,6,15,5,14,0,0
"681",2009,38,"Philosophy and Religious Studies",10,10,0,8,0,0,0
"682",2009,40,"Physical Sciences",40,24,16,19,15,0,0
"683",2009,42,"Psychology",118,31,87,25,66,0,8
"684",2009,43,"Homeland Security- Law Enforcement- Firefighting- and Related Protective Service",44,41,3,36,3,1,0
"685",2009,45,"Social Sciences and History",190,112,78,83,60,9,6
"686",2009,49,"Transportation and materials moving.",62,55,7,45,3,1,1
"687",2009,50,"Visual and performing arts.",74,30,44,27,39,1,0
"688",2010,1,"Agriculture- Agriculture Operations and Related Sciences",285,128,157,111,146,0,1
"689",2010,4,"Architecture and Related Services",48,31,17,27,9,1,0
"690",2010,5,"Area- Ethnic- Cultural- Gender- and Group Studies",3,1,2,1,2,0,0
"691",2010,26,"Biological and Biomedical Sciences",199,100,99,73,75,1,4
"692",2010,52,"Business- Management- Marketing- and Related Support Services",1091,639,452,497,355,29,18
"693",2010,9,"Communication- Journalism- and Related Programs",148,51,97,40,82,1,4
"694",2010,11,"Computer and Information Sciences and Support Services",28,24,4,16,0,0,1
"695",2010,13,"Education",275,91,184,72,161,3,2
"696",2010,15,"Engineering Technologies and Engineering-related Fields",99,94,5,81,5,3,0
"697",2010,14,"Engineering",301,234,67,185,46,2,4
"698",2010,23,"English language and literature/letters.",55,17,38,15,35,0,2
"699",2010,16,"Foreign Languages- Literatures- and Linguistics",29,8,21,7,18,0,0
"700",2010,51,"Health Professions and Related Programs",140,35,105,24,88,1,4
"701",2010,54,"History",37,25,12,23,11,0,0
"702",2010,19,"Family and Consumer Sciences/Human Sciences",344,17,327,14,275,1,7
"703",2010,24,"Liberal arts and sciences- general studies and humanities.",127,59,68,49,50,4,2
"704",2010,27,"Mathematics and Statistics",18,10,8,8,5,1,0
"705",2010,3,"Natural Resources and Conservation",16,8,8,5,8,0,0
"706",2010,31,"Parks- Recreation- Leisure and Fitness Studies",19,6,13,6,9,0,0
"707",2010,38,"Philosophy and Religious Studies",9,8,1,8,1,0,0
"708",2010,40,"Physical Sciences",20,17,3,17,2,0,0
"709",2010,42,"Psychology",127,40,87,25,73,2,6
"710",2010,43,"Homeland Security- Law Enforcement- Firefighting- and Related Protective Service",58,56,2,49,2,1,0
"711",2010,45,"Social Sciences and History",179,94,85,72,67,7,4
"712",2010,49,"Transportation and materials moving.",61,51,10,46,9,1,1
"713",2010,50,"Visual and performing arts.",71,24,47,14,39,0,2
"714",2011,1,"Agriculture- Agriculture Operations and Related Sciences",297,160,137,124,120,1,2
"715",2011,4,"Architecture and Related Services",50,30,20,27,16,0,0
"716",2011,5,"Area- Ethnic- Cultural- Gender- and Group Studies",8,4,4,3,3,0,0
"717",2011,26,"Biological and Biomedical Sciences",178,81,97,55,69,2,3
"718",2011,52,"Business- Management- Marketing- and Related Support Services",1090,629,461,492,362,27,14
"719",2011,9,"Communication- Journalism- and Related Programs",142,51,91,41,69,4,6
"720",2011,11,"Computer and Information Sciences and Support Services",28,28,0,20,0,0,0
"721",2011,13,"Education",250,85,165,54,144,11,3
"722",2011,15,"Engineering Technologies and Engineering-related Fields",116,108,8,88,4,2,0
"723",2011,14,"Engineering",299,253,46,181,28,7,5
"724",2011,23,"English language and literature/letters.",73,28,45,20,38,0,0
"725",2011,16,"Foreign Languages- Literatures- and Linguistics",21,2,19,1,15,0,0
"726",2011,51,"Health Professions and Related Programs",103,25,78,15,59,2,5
"727",2011,54,"History",37,20,17,16,15,1,0
"728",2011,19,"Family and Consumer Sciences/Human Sciences",279,17,262,10,213,0,4
"729",2011,24,"Liberal arts and sciences- general studies and humanities.",113,57,56,42,46,2,4
"730",2011,27,"Mathematics and Statistics",24,15,9,11,5,0,0
"731",2011,3,"Natural Resources and Conservation",13,9,4,5,3,0,0
"732",2011,31,"Parks- Recreation- Leisure and Fitness Studies",18,2,16,2,15,0,1
"733",2011,38,"Philosophy and Religious Studies",11,10,1,9,1,1,0
"734",2011,40,"Physical Sciences",31,23,8,20,5,0,0
"735",2011,42,"Psychology",126,46,80,37,59,3,4
"736",2011,43,"Homeland Security- Law Enforcement- Firefighting- and Related Protective Service",45,40,5,32,4,0,0
"737",2011,45,"Social Sciences and History",158,85,73,57,57,5,4
"738",2011,49,"Transportation and materials moving.",60,53,7,43,5,1,0
"739",2011,50,"Visual and performing arts.",85,30,55,19,48,0,1
"740",2012,1,"Agriculture- Agriculture Operations and Related Sciences",337,150,187,122,156,2,1
"741",2012,4,"Architecture and Related Services",42,33,9,27,4,0,0
"742",2012,5,"Area- Ethnic- Cultural- Gender- and Group Studies",6,4,2,4,1,0,0
"743",2012,26,"Biological and Biomedical Sciences",210,97,113,76,78,2,1
"744",2012,52,"Business- Management- Marketing- and Related Support Services",1032,575,457,413,348,21,15
"745",2012,9,"Communication- Journalism- and Related Programs",153,44,109,34,80,1,2
"746",2012,11,"Computer and Information Sciences and Support Services",117,102,15,81,11,0,1
"747",2012,13,"Education",275,94,181,71,148,6,4
"748",2012,15,"Engineering Technologies and Engineering-related Fields",95,93,2,79,1,2,1
"749",2012,14,"Engineering",309,238,71,185,56,4,2
