Date,Season,Details
4/26/1999,1999-2000,"The NBA fined John Wallace (Tor) $5,000 for flagrantly fouling Grant Hill (Det) in Sunday's Tor-Det game."
4/26/1999,1999-2000,"The NBA fined Travis Best (Ind) $3,000 for flagrantly fouling Jamie Feick (NJ) in Sunday's Ind-NJ game."
5/14/1999,1999-2000,The NBA fined Tim Hardaway (Mia) for failing to leaving the court in a timely manner and verballying abusing the refs following his ejection in Wednesday's NY-Mia game.
5/16/1999,1999-2000,"The NBA fined J.R. Reid (LAL) $10,000 for his flagrant foul against Scottie Pippen (Hou) during Saturday's LAL-Hou game."
5/19/1999,1999-2000,"The NBA fined Karl Malone (Uta) $10,000 for elbowing Brian Grant (Por) in Tuesday's Uta-Por game."
5/19/1999,1999-2000,"The NBA fined Shaquille O'Neal (LAL) $7,500 for failing to leave the court in a timely manner and verbally abusing the refs following Monday's SA-LAL game."
6/8/1999,1999-2000,"The NBA fined Larry Johnson (NY) $10,000 and fined New York a matching $10,000 for Johnson's failure to make himself available to the media following practices on Friday and Sunday."
6/10/1999,1999-2000,"The NBA fined Dallas and Sacramento $25,000 each for salary cap violations. Dallas gave free agent to be Gary Trent and 5 members of his family an all-expense paid trip to Maui as what coach/GM Don Nelson openly called a recruiting trip. Sacramento gave 10 players an all-expense paid trip to Las Vegas for a party to celebrate their season."
6/20/1999,1999-2000,"The NBA fined Larry Johnson (NY) $25,000 and fined New York a matching $25,000 for Johnson directing an obscenity at the media and failing to make himself available to the media for the entire mandatory 30 minute media session on Sunday."
10/4/1999,1999-2000,"The NBA fined Ron Artest (Chi) $5,000 and sent him home from the NBA rookie orientation for missing a meeting at the orientation."
10/10/1999,1999-2000,"Latrell Sprewell (NY) finally showed up to training camp. The team reportedly fined him at least $50,000 for his absence."
10/20/1999,1999-2000,Washington suspended Rod Strickland for 1 game for missing practice. He will sit out Thursday's game vs Cleveland.
10/26/1999,1999-2000,"The NBA fined Anfernee Hardaway (Pho) $5,000 and suspended him for 1 game (Tuesday's season opener) for throwing a punch at Rex Walters (Mia) during Friday's Pho-Mia game. The NBA fined Walters $2,000 for confronting Hardaway in the dressing room after the two were ejected. The NBA fined Rex Chapman (Pho) $2,000 and suspended him for 1 game (Tuesday's season opener) for leaving the bench area during the Hardaway-Walters altercation."
11/10/1999,1999-2000,"The NBA fined Jerry Stackhouse (Det) $5,000 for throwing the ball at the ref during Saturday's Det-Mil game."
11/10/1999,1999-2000,"The NBA fined Phil Jackson (LAL) $5,000 for critical comments made regarding the refs following Saturday's LAL-Por game."
11/11/1999,1999-2000,"The NBA fined Shaquille O'Neal (LAL) $10,000 and suspended him for one game for throwing a punch at Charles Barkley and fined Charles Barkley (Hou) $5,000 and suspended him for one game for throwing the ball at O'Neal as the two scuffled during Wednesday's LAL-Hou game."
11/15/1999,1999-2000,Atlanta suspended Isaiah Rider for one game for violating team rules.
11/17/1999,1999-2000,"The NBA fined Steve Francis (Hou) $5,000 for his flagrant foul on Dirk Nowitzki (Dal) in Tuesday's Dal-Hou game."
11/24/1999,1999-2000,"The NBA fined Latrell Sprewell (NY) $10,000 for shouting profanities at the fans during Saturday's NY-GS game."
12/2/1999,1999-2000,"The NBA fined Charles Barkley (Hou) $20,000 for disparaging remarks made about ref Mike Mathis following Wednesday's Hou-Pho game."
12/6/1999,1999-2000,"Dallas suspended without pay Leon Smith. Smith, a troubled teen, was arrested twice (on Thursday and Friday) in Chicago, has an arrest warrant against him for violating bond by leaving Chicago, and is currently in the psychiatric ward of a Dallas hospital (he left Chicago to check into the hospital)."
12/8/1999,1999-2000,"The NBA fined Patrick Ewing (NY) $10,000 for failing to make himself available to the media during designated media access periods and fined New York $25,000 for failing to ensure that the players comply with the NBA media access rules."
12/16/1999,1999-2000,"The NBA fined Antonio Davis (Tor) $5,000 for make an obscene gesture at the fans during Tuesday's Ind-Tor game."
12/20/1999,1999-2000,"The NBA fined Shaquille O'Neal (LAL) $10,000 for criticizing the refs following Thursday's Atl-LAL game."
12/27/1999,1999-2000,"The NBA fined Kurt Thomas (NY) $10,000 and suspended him for 2 games for throwing a punch at Jalen Rose (Ind) during Saturday's Ind-NY game."
12/30/1999,1999-2000,Atlanta suspended Isaiah Rider indefinitely for missing a team flight and a team practice.
1/2/2000,1999-2000,Atlanta lifted the suspension of Isaiah Rider.
1/7/2000,1999-2000,"The NBA fined Don Nelson (Dal) $10,000 and suspended him for 1 game for bumping a ref and his confrontation with Karl Malone (Uta) during Thursday's Dal-Uta game."
1/7/2000,1999-2000,"The NBA fined Karl Malone (Uta) $10,000 for throwing an elbow at Shawn Bradley (Dal) and his confrontation with Don Nelson (Dal) during Thursday's Dal-Uta game."
1/15/2000,1999-2000,"The NBA fined Rasheed Wallace (Por) $7,500 for yelling at the refs and failing to leave the court in a timely manner following his ejection from Friday's Por-Pho game."
1/16/2000,1999-2000,"The NBA fined J.R. Reid (Mil) $7,500 and suspended him for 1 game for throwing a punch at Antonio Davis (Tor) during Sunday's Mil-Tor game. Davis was also fined $5,000 for fighting with Reid."
1/16/2000,1999-2000,"The NBA fined Charles Oakley (Tor) $7,500 and suspended him for 1 game for failing to leave the court in a timely manner following his ejection from the Tor-Mil game and for extreme unsportsmanlike conduct."
1/23/2000,1999-2000,The LA Clippers suspended indefinitely Keith Closs after Closs missed Saturday's practice.
1/24/2000,1999-2000,"The NBA fined Oliver Miller (Pho) $7,500 and suspended him for 1 game for throwing a forearm at Andre Miller (Cle) during Saturday's Cle-Pho game."
1/24/2000,1999-2000,The LA Clippers reinstated Keith Closs. They had suspended him for missing practice.
1/27/2000,1999-2000,"The NBA fined Mark Davis (GS) $7,500 and suspended him for 1 game for picking up and throwing Shawn Bradley (Dal) to the ground during Tuesday's Dal-GS game."
1/27/2000,1999-2000,"The NBA fined Vonteego Cummings (GS) $7,500 for his flagrant foul on Steve Nash (Dal) during Tuesday's Dal-GS game."
1/27/2000,1999-2000,"The NBA fined Gary Trent (Dal) $10,000 and suspended him for 1 game for going into Golden State's locker room to verbally confront Vonteego Cummings (GS) during Tuesday's Dal-GS game. Trent, who is on IR, will serve the suspension after he is activated. The league has rules against players entering the opponent's locker room."
1/27/2000,1999-2000,"The NBA fined Shawn Bradley (Dal) $3,000 for his actions in the Bradley-Davis incident during Tuesday's Dal-GS game."
1/29/2000,1999-2000,"The NBA fined Dickey Simpkins (Chi) $5,000 for a flagrant foul on Vlade Divac (Sac) during Friday's Chi-Sac game."
2/7/2000,1999-2000,"The NBA fined Shawn Kemp (Cle) $10,000 for verbally abusing the refs and failing to leave the court in a timely manner after being ejected in Saturday's Cle-Atl game."
2/7/2000,1999-2000,"The NBA fined Dan Issel (Den) and Nick Van Exel (Den) $7,500 for verbally abusing the refs and failing to leave the court in a timely manner after Denver's loss to Minnesota on Saturday."
2/16/2000,1999-2000,"The NBA fined Dennis Rodman (Dal) $10,000 and suspended him for 1 game for failing to leave the court in a timely manner and berating the refs following his ejection from Tuesday's Dal-Mil game."
2/22/2000,1999-2000,"The NBA fined Reggie Miller (Ind) $5,000 for cursing at the fans during Saturday's Ind-NY game."
2/25/2000,1999-2000,"The NBA fined Steve Francis (Hou) $10,000 for his flagrant foul against Tariq Abdul-Wahad (Den) in Thursday's Hou-Den game."
2/25/2000,1999-2000,"The NBA fined Dennis Rodman (Dal) $3,500 for failing to leave the court in a timely manner following his ejection from Thursday's Dal-Uta game."
2/28/2000,1999-2000,"The NBA fined Greg Ostertag (Uta) $7,500 and fined Steve Smith (Por) $3,000 for their skirmish during Sunday's Uta-Por game."
3/8/2000,1999-2000,"The NBA fined Anthony Carter (Mia) $10,000 for his flagrant foul on Elliot Perry (NJ) during Friday's Mia-NJ game."
3/10/2000,1999-2000,"The NBA fined New York $25,000 for failing to make their players available to the media after practice on March 6."
3/10/2000,1999-2000,"The NBA fined Chris Gatling (Den) $5,000 for his flagrant foul on John Crotty (Det) in Wednesday's Det-Den game."
3/12/2000,1999-2000,"The NBA fined George McCloud (Den) $5,000 and suspended him for 1 game and fined Ron Mercer (Orl) $5,000 and suspended him for 1 game for their altercation outside of Denver's locker room after Saturday's Den-Orl game."
3/13/2000,1999-2000,"The NBA fined Toronto and Seattle $100,000 each for Butch Carter's (Tor) and Paul Westphal's (Sea) refusal to wear microphones during Sunday's NBC broadcasted Tor-Sea game."
3/16/2000,1999-2000,Philadelphia suspended Allen Iverson for 1 game for missing the team's shootaround Thursday morning.
3/17/2000,1999-2000,"Atlanta released Isaiah Rider. The team was going to suspended Rider for 3 games for being late for Friday's Atl-Bos game (he had been warned that he would be suspended for 3 games if he was late again), but he refused to accept the suspension and Atlanta then released him."
3/17/2000,1999-2000,"The NBA rescinded the $100,000 fines levied against Seattle and Toronto for their coaches refusing to wear microphones during Sunday's Sea-Tor game. The league reached a compromise with the coaches (many of whom had a problem with wearing microphones) where the coaches for selected games have a choice of wearing a microphone or having a boom microphone lowered into the huddles during timeouts."
3/20/2000,1999-2000,"The NBA fined Doc Rivers (Orl) $7,500 for his remarks about the reffing after Friday's Orl-Tor game."
3/22/2000,1999-2000,"The NBA fined Derrick Coleman (Cha) $7,500 for his flagrant foul on Toni Kukoc (Phi) in Monday's Cha-Phi game."
4/14/2000,1999-2000,"The NBA fined Shawn Bradley (Dal) $10,000 and suspended him for 1 game for throwing a flagrant elbow at Walt Williams (Hou) and fined Williams $5,000 and suspended him for 1 game for throwing a punch in retaliation during Thursday's Dal-Hou game."
4/26/2000,1999-2000,"The NBA fined Gary Payton (Sea) $10,000 for failing to make himself available to the media and fined Seattle $25,000 for failing to make their players comply with league media rules."
4/28/2000,1999-2000,"The NBA fined Rik Smits (Ind) $10,000 and suspended him for one game for throwing a flagrant elbow at Ervin Johnson (Mil) during Thursday's Ind-Mil game. Smits will miss Saturday's Mil-Ind game."
4/29/2000,1999-2000,"The NBA fined Chris Childs (NY) $15,000 and suspended him for 2 games and fined Kobe Bryant (LAL) $5,000 and suspended him for 1 game for their fight in Sunday's LAL-NY game."
5/14/2000,1999-2000,"The NBA fined Matt Geiger (Phi) $20,000 and suspended him for 2 games for his 2 flagrant fouls against Reggie Miller (Ind) during Saturday's Ind-Mil game. The NBA fined Miller $5,000 and suspended him for 1 game for retaliating after the 2nd flagrant. The NBA fined Philadelphia $50,000 for Geiger's actions with NBA VP Rod Thorn stating, ""Teams and coaches will be held accountable for the reckless actions of their players."" If Indiana wins game 5 and, thus, wins the series, Geiger will serve the 2nd game of his suspension during the first regular season game of next season."
5/23/2000,1999-2000,"The NBA fined Rasheed Wallace (Por) $10,000 for failing to make himself available to the media during media sessions and fined Portland $25,000 for failing to make their players comply with the NBA media interview rules."
5/24/2000,1999-2000,"The NBA fined Tim Hardaway (Mia) $20,000, Jamal Mashburn (Mia) $10,000, and Miami owner Micky Arison $25,000 for their comments about the officiating for game 7 of Mia-NY."
5/27/2000,1999-2000,"The NBA fined Brian Shaw (LAL) $2,500 and suspended him for 1 game for leaving the bench during a minor altercation during Friday's LAL-Por game. The fine and suspension are automatic for a player leaving the bench."
5/29/2000,1999-2000,"The NBA fined Rick Carlisle (Ind assistant) $10,000 for tripping Latrell Sprewell (NY) as Sprewell ran along the sideline during Saturday's Ind-NY game."
5/30/2000,1999-2000,"The NBA fined Scottie Pippen (Por) $10,000 for hitting John Salley (LAL) in the back of the head with a forearm during Sunday's Por-LAL game."
6/6/2000,1999-2000,The NBA announced that Stu Jackson will assume Rod Thorn's duties for the league (most significantly handing out fines and suspensions). Jackson recently joined the league office as senior vice president of basketball operations and Thorn was named as New Jersey president a few days ago.
7/7/2000,2000-2001,"The NBA fined Dallas and Milwaukee $50,000 each for violating league rules governing the tryouts of draft prospects. League rules prohibit having 4 draft prospects on the court at the same time and having draft prospects compete against veterans. [Dallas was fined for using a draft prospect in a 5-on-5 scrimmage.]"
7/20/2000,2000-2001,The NBA suspended Jason Williams (Sac) for the first 5 games of the 2000-01 season for not complying with his treatment obligations under the league's anti-drug program. The NBA does not release details of violations of the anti-drug program.
10/5/2000,2000-2001,The LA Clippers suspended Keith Closs due to lack of physical conditioning.
10/16/2000,2000-2001,"Ref Bennett Salvatore was sentenced to 1 year probation, 150 hours of community service, and fined $500. Salvatore had pleaded guilty to income tax evasion by not reporting as income money receive by down grading 1st class airline tickets."
10/23/2000,2000-2001,"An arbitrator ruled that the NBA can void Joe Smith's contract, but that Smith could sign with any of the 29 teams (for whatever a team had available under the salary cap or available exceptions), including re-signing with Minnesota and retaining his 2 years toward Larry Bird rights. The NBA was looking to restrict Smith from returning to Minnesota. Smith and Minnesota had a secret agreement for a future multi-year, multi-million contract for when he gained Larry Bird rights with Minnesota (2001-02) - a blatant violation of the collective bargaining agreement. The league will likely hand down heavy fines for Minnesota. The league can fine Minnesota up to $3,500,000, forfeit Minnesota draft picks, void Smith's contract, and suspend up to 1 year any team personnel involved (almost certainly the owner, Glen Taylor, and maybe others)."
10/25/2000,2000-2001,"The NBA voided Joe Smith's current contract and his past two contracts, fined Minnesota $3.5 million, and removed Minnesota's next 5 1st round draft picks as a result of Smith and Minnesota's secret agreement for a future multi-year, multi-million contract which was a blatant violation of the collective bargaining agreement. The NBA is still determining possible suspensions for team personnel for their involvement in the illegal agreement. Voiding Smith's past contracts removed his Larry Bird rights with the team [ability to re-sign regardless of Minnesota's salary cap after he has played with the team for 3 seasons] and Minnesota's opportunity to re-sign him at 120% of last season's salary (Minnesota has already used their $2.25 million exception) [voiding the past contracts does not involve Smith having to give back any money]. Smith is now a free agent and can sign with any team (restricted by the amount a team has available under the salary cap or any exceptions available), including re-signing with Minnesota. Smith is planning on appealing the voiding of the past contracts."
10/30/2000,2000-2001,"The NBA fined Rasheed Wallace (Por) $10,000 for failing to leave the court in a timely manner and verbally abusing the refs following Friday's Por-Sac game."
11/4/2000,2000-2001,"The NBA fined Tracy McGrady (Orl) $7,500 and suspended him for on game and fined Eric Snow (Phi) $2,500 for their shoving match during Friday's Phi-Orl game."
11/13/2000,2000-2001,"The NBA fined Antoine Walker (Bos) $2,500 for verbally abusing a ref after the Bos-Phi game on Saturday."
11/14/2000,2000-2001,"The NBA fined Mark Cuban (Dal owner) $5,000 for comments he made about the refs following Saturday's Sac-Dal game."
11/20/2000,2000-2001,"The NBA fined Mark Cuban (Dal owner) $15,000 for confronting and verbally abusing the refs during and after Wednesday's Dal-Pho game."
11/20/2000,2000-2001,"The NBA fined Jason Kidd (Pho) $5,000 for his comments about the refs following Friday's NY-Pho game."
11/22/2000,2000-2001,"The NBA fined Karl Malone (Uta) $7,500 and suspended him for 1 game for throwing an elbow at Christian Laettner (Dal) during Monday's Dal-Uta game."
11/22/2000,2000-2001,"The NBA fined Mark Cuban (Dal owner) $25,000 for verbally abusing and publicly criticizing the refs following Tuesday's Dal-Sea game."
11/29/2000,2000-2001,The NBA suspended Don MacLean (Mia) for 5 games for testing positive for steroids.
11/30/2000,2000-2001,"The NBA fined Bonzi Wells (Por) $10,000 and suspended him for 1 game for intentionally striking and verbally abusing a ref during Thursday's Por-Sea game."
11/30/2000,2000-2001,"The NBA fined Doc Rivers (Orl coach) $7,500 for confronting and verbally abusing a ref following Thursday's Orl-Uta game."
12/1/2000,2000-2001,"The NBA fined Charles Oakley (Tor) $15,000 and suspended him for 3 games for punching Jeff McInnis (LAC) during Friday's morning shootaround."
12/1/2000,2000-2001,"The NBA fined Jason Williams (Sac) $10,000 for cursing and using obscene gestures towards fans after Wednesday's Sac-SA game."
12/7/2000,2000-2001,"The NBA fined Paul Silas (Cha coach) $5,000 for flipping off a ref after being ejected during Wednesday's Ind-Cha game."
12/8/2000,2000-2001,"In the final punishment for the Joe Smith illegal contracts saga, the NBA suspended Minnesota owner Glen Taylor through August 31 and VP of basketball operations Kevin McHale has agreed to take a leave of absence through July 31. Neither may attend games or practices or be involved in business operations in any way. The NBA also restored Minnesota's 2003 1st round draft pick. The NBA had revoked Minnesota's 2001 - 2005 1st round draft picks. Team lawyer Jack Regan was barred from representing Minnesota through August 31."
12/20/2000,2000-2001,"The NBA fined Tim Hardaway (Mia) $5,000 for unsportsmanlike conduct following his ejected during Wednesday's Cha-Mia game."
12/21/2000,2000-2001,"The NBA fined Jerry Sloan (Uta coach) $7,500 for verbally abusing the refs and failing to leave the court in a timely manner after being ejected during Wednesday's Uta-Phi game."
12/28/2000,2000-2001,Utah suspended John Starks for 1 game for violating team policies.
12/28/2000,2000-2001,Washington suspended Rod Strickland for 1 game for skipping practice.
1/2/2001,2000-2001,"The NBA fined Corliss Williamson (Tor) $10,000 and suspended him for 1 game and fined Tom Gugliotta (Pho) $10,000 and suspended him for 1 game for fighting during Saturday's Tor-Pho game."
1/2/2001,2000-2001,"The NBA fined Chris Dudley (Pho) 5,000 for berating a ref and failing to leave the court in a timely manner following his ejection from Thursday's Pho-LAL game."
1/3/2001,2000-2001,"The NBA fined Chris Webber (Sac) $7,500 for verbally abusing the refs and failing to leave the court in a timely manner following his ejection during Tuesday's Pho-Sac game."
1/3/2001,2000-2001,"The NBA fined Jerry Stackhouse (Det) $7,500 for verbally abusing the refs and failing to leave the court in a timely manner following his ejection during Sunday's Det-Was game."
1/3/2001,2000-2001,"The NBA fined Kobe Bryant (LAL) $5,000 for failing to leave the court in a timely manner following his ejection from Saturday's LAC-LAL game."
1/4/2001,2000-2001,Utah suspended John Starks for 2 games for violating team rules. Starks reportedly missed the team bus following Wednesday's Uta-LAL game.
1/4/2001,2000-2001,"The NBA fined Dallas owner Mark Cuban $250,000 for outbursts and actions concerning the refs after Wednesday's Det-Dal game. Cuban had a freeze frame of a missed goaltending call that would have tied the game with 12 seconds left placed on the JumboTron at the end of the game. It was an NBA record fine for an individual."
1/11/2001,2000-2001,"The NBA fined Mark Cuban (Dal owner) $100,000 for ""decorum not becoming an NBA owner"" for sitting on the floor along the baseline during Wednesday's Dal-Min game."
1/15/2001,2000-2001,Utah suspended Greg Ostertag for 1 game for missing practice on Sunday.
1/16/2001,2000-2001,"The NBA suspended Olden Polynice (Uta) for 1 game for his conviction for impersonating a police officer and disorderly conduct in a traffic incident. Polynice pleaded guilty to the charges and was sentenced to 18 months probation, fined $500, and order to receive counseling."
1/16/2001,2000-2001,"The NBA fined Shareef Abdul-Rahim (Van) $10,000 for comments he made about the reffing after Monday's LAL-Van game. Shaquille O'Neal (LAL) made the game winning basket at the end of the game and there were questions if O'Neal's shot was before time had expired."
1/17/2001,2000-2001,"The NBA fined Marcus Camby (NY) $25,000 and suspended him for 5 games for going after and throwing a punch at Danny Ferry (SA). Ferry was fined $7,500 and suspended for 1 game for throwing an elbow at Camby, which is what set Camby off."
1/18/2001,2000-2001,Seattle suspended Gary Payton for 1 game for conduct detrimental to the team. Payton got into a verbal argument with teammate Ruben Patterson during the 4th quarter of Wednesday's Pho-Sea game.
1/24/2001,2000-2001,"The NBA fined Mario Elie (Pho) $7,500 for verbally abusing the refs and comments he made about the refs after Friday's GS-Pho game."
1/30/2001,2000-2001,"The NBA fined Bo Outlaw (Orl) $10,000 and suspended him for 1 game for intentionally making contact with a ref during Saturday's Orl-Mia game."
1/30/2001,2000-2001,"The NBA fined George Karl (Mil coach) $5,000 for comments he made about the refs following Saturday's Mil-Det game."
2/2/2001,2000-2001,"The NBA fined Rasheed Wallace (Por) $10,000 and suspended him for 2 games for hitting a ref with a towel following his ejection from Thursday's Por-Pho game."
2/2/2001,2000-2001,"The NBA fined Allen Iverson (Phi) $5,000 for making a derogatory remark towards abusive fans during Saturday's Phi-Ind game."
2/2/2001,2000-2001,The NBA suspended Ruben Patterson (Sea) for 3 games for his conviction for breaking a man's jaw. Patterson pleaded guilty to an assault charge regarding the incident and was sentenced to 6 months probation.
2/6/2001,2000-2001,"The NBA fined coach Tim Floyd (Chi) $10,000 and suspended him for 1 game for intentionally making contract with a ref following his ejection from Monday's Chi-LAC game. The NBA also fined assistant coach Phil Johnson (Chi) $2,500 for confronting the ref following Floyd's ejection."
2/9/2001,2000-2001,"The NBA fined Kobe Bryant (LAL) $10,000 for missing Friday's media session."
2/14/2001,2000-2001,The NBA suspended Matt Geiger (Phi) for 2 games for violating the terms of the league's steroids policy.
2/14/2001,2000-2001,"The NBA fined Dick Versace (Van president) $10,000 for comments he made about the Toronto Raptors during an interview February 13."
2/16/2001,2000-2001,"The NBA fined Mark Cuban (Dal owner) $10,000 and suspended him for 2 games for going on the court during Thursday's Dal-Cle game. During a skirmish at the end of the game, Cuban came half way up the court before returning to his seat. The penalty is automatic for a team official entering the court."
2/16/2001,2000-2001,"The NBA fined Robert Traylor (Cle) $5,000 and suspended him for 1 game for throwing a punch at Courtney Alexander (Dal) during Thursday's Cle-Dal game."
2/21/2001,2000-2001,"The NBA fined Ron Artest (Chi) $7,500 and suspended him for 1 game and fined Glenn Robinson (Mil) $7,500 and suspended him for 1 game for their fight in Tuesday's Chi-Mil game."
2/22/2001,2000-2001,"The NBA fined Reggie Miller (Ind) $5,000 for making an obscene gesture towards the fans during Sunday's Ind-LAL game."
3/1/2001,2000-2001,"The NBA fined Chris Gatling (Cle) $10,000 for making derogatory and inappropriate comments toward a Toronto PR staff member following Tuesday's Cle-Tor game."
3/6/2001,2000-2001,"The NBA fined Greg Foster (LAL) $5,000 for verbally abusing the ref and failing to leave the court in a timely manner following his ejection during Sunday's LAL-GS game and fined Marc Jackson (GS) $2,500 for his involvement in the altercation."
3/7/2001,2000-2001,The NBA suspended Isaiah Rider (LAL) for 5 games for violating the terms of the league's anti-drug program.
3/7/2001,2000-2001,The NBA suspended Lamar Odom (LAC) for 5 games for violating the terms of the league's anti-drug program.
3/7/2001,2000-2001,"The NBA fined Reggie Miller (Ind) $10,000 and suspended him for 1 game for hitting a ref with a wad of chewing gum during Tuesday' Ind-NY game."
3/13/2001,2000-2001,"The NBA fined Jason Williams (Sac) $10,000 for directing profanity at the fans during Wednesday's Sac-GS game."
3/13/2001,2000-2001,"The NBA fined Shaquille O'Neal (LAL) $5,000 for criticizing the refs following Sunday's LAL-Sea game."
3/14/2001,2000-2001,"The NBA fined Tracy McGrady (Orl) $10,000 and suspended him for 2 games for throwing the ball at Bobby Jackson's (Sac) face and fined Jackson $7,500 and suspended him for 1 game for shoving McGrady in retaliation during Tuesday's Orl-Sac game. The NBA also fined Vlade Divac (Sac), Scot Pollard (Sac), and Art Long (Sac) $5,000 and suspended them for 1 game for leaving the bench during the ensuing scuffle."
3/14/2001,2000-2001,"The NBA fined George Karl (Mil) $50,000 for disparaging comments he made about Seattle, his former team, in February. Karl had been fined $25,000 in March 1999 for comments he made about Seattle and was warned not to comment further on his former team."
3/14/2001,2000-2001,"The NBA fined Rudy Tomjanovich $5,000 for criticizing the refs after Sunday's Hou-Pho game."
3/23/2001,2000-2001,"The NBA fined Scottie Pippen (Por) $5,000 for yelling at a ref and failing to leave the court in a timely manner following his ejection from Tuesday's Dal-Por game."
3/23/2001,2000-2001,Washington suspended Michael Smith for 2 games for conduct determental to the team.
4/3/2001,2000-2001,"The NBA fined Charles Oakley (Tor) $10,000 and suspended him for 1 game for throwing a ball at Tyrone Hill after Tuesday's morning shoot around."
4/3/2001,2000-2001,The NBA suspended Rod Strickland (Por) for his conviction for DUI.
4/3/2001,2000-2001,Denver suspended Nick Van Exel for 1 game for missing 2 workouts.
4/3/2001,2000-2001,Portland suspended Rasheed Wallace for 1 game for inappropriate game conduct.
4/9/2001,2000-2001,"The NBA fined Lamar Odom (LAC) $7,500 for verbally abusing a ref and failing to leave the court in a timely manner following his ejection in Friday's LAC-Mil game."
4/12/2001,2000-2001,"The NBA fined Lorenzen Wright (Atl) $7,500 and suspended him for 1 game and fined Chris Gatling (Cle) $7,500 and suspended him for 1 game for their altercation in Wednesday's Cle-Atl game."
4/13/2001,2000-2001,"The NBA fined Mark Cuban (Dal owner) $100,000 and suspended him for one game for making an derogatory gesture at the refs during Wednesday's Pho-Dal game and for his remarks about the refereeing after the game. Cuban says that the gesture was the choking sign (hands to throat)."
4/16/2001,2000-2001,Portland suspended Rasheed Wallace for 1 game for throwing a towel at teammate Arvydas Sabonis during a timeout during Sunday's Por-LAL game. Sabonis had accidentally hit Wallace in the face during the game.
4/16/2001,2000-2001,"The NBA fined Jason Williams (Sac) $25,000 for inappropriate conduct towards the fans during Thursday's Sac-SA game."
4/16/2001,2000-2001,"The NBA fined Kevin Garnett (Min) $7,500 for making an obscene gesture towards the ref following his ejection from Sunday's Min-Uta game."
4/17/2001,2000-2001,"The NBA fined player agent Eric Fleisher $57,000 and suspended him for 6 months for negotiating an illegal contract with Joe Smith and Minnesota."
4/20/2001,2000-2001,"The NBA fined Rasheed Wallace (Por) $10,000 for failing to make himself available for a media session. Portland was also fined $25,000."
4/25/2001,2000-2001,"The NBA fined Dale Davis (Por) $7,500 for verbally abusing the refs during Sunday's Por-LAL game."
4/27/2001,2000-2001,"The NBA fined Dale Davis (Por) $15,000 and suspended him for 1 game for throwing an elbow at Robert Horry (LAL) during Thursday's Por-LAL game. The NBA also fined Stacey Augmon (Por) $5,000 and suspended him for 1 game for leaving the bench during the altercation and fined Portland a matching $5,000."
4/30/2001,2000-2001,"The NBA fined Dee Brown (Orl) $5,000 and suspended him for 1 game for coming off the bench during an altercation in Saturday's Orl-Mil game. Orlando was fined a matching $5,000."
5/1/2001,2000-2001,"The NBA fined Tim Thomas $5,000 for making an obscene gesture toward Orlando fans during Saturday's Orl-Mil game."
5/4/2001,2000-2001,The LA Clippers released Keith Closs. The Clippers had suspended him before the season started for lack of physical conditioning. He had one more year on his contract.
5/7/2001,2000-2001,"The NBA fined Keon Clark (Tor) $7,500 for throwing ice at fans sitting behind the Toronto bench during Sunday's Tor-Phi game."
5/14/2001,2000-2001,The NBA suspended Michael Smith (Was) for one game (the first game of the 2001-02 regular season) for his guilty plea for driving while intoxicated.
6/2/2001,2000-2001,The NBA suspended Scott Williams (Mil) for 1 game. The league upgraded his flagrant foul-level 1 from Game 6 vs Philadelphia where he threw a forearm at Allen Iverson (Phi) to a level 2 and that combined with 2 level 1 flagrant fouls he received earlier in the playoffs gave him a total of 4 flagrant foul points. A player who accumulates 4 flagrant foul points in the playoffs is automatically suspended.
6/5/2001,2000-2001,"The NBA fined Ray Allen (Mil) $10,000, George Karl (Mil) $25,000, and the Milwaukee Bucks $50,000 for disparing comments made about the officiating during the Mil-Phi series."
6/26/2001,2001-2002,"As expected, the NBA moved up the free agent signing date from August 1 to July 18. Teams may begin talking to free agents July 1, but can not sign them or make trades until July 18. The free agent signing date for 2002 will be July 17 and for 2003 will be July 16. With the signing date moved up, the league also reduced Kevin McHale's (Min) suspension to end July 18 (was August 1)."
7/13/2001,2001-2002,The NBA suspended Ruben Patterson (Sea) for the first 5 games of the season for his conviction of a sexual offense. Patterson entered a modified guilty plea to a charge of attempted rape and was sentence to 1 year in prison with all but 15 days suspended and 2 years probation.
8/30/2001,2001-2002,"Stephon Marbury (Pho) pleaded no contested to extreme driving under the influence and was sentenced to 10 days in jail, fined $1,000, and required to attend alcohol education classes. The NBA suspended Marbury for 1 game (the first game of the regular season)."
10/7/2001,2001-2002,"New York fined Latrell Sprewell $250,000 for failing to tell the team that he had broken his hand 2 weeks before training camp was to start. He underwent surgery on the hand October 1 and is expected to be out at least 6 weeks."
10/14/2001,2001-2002,The NBA suspended Derrick Coleman (Phi) for one game for his guilty plea for drunken driving. Coleman will miss the first game of the regular season.
10/19/2001,2001-2002,"The NBA fined Antoine Walker (Bos) $5,000 for verbally abusing a ref and failing to leave the court in a timely manner after his ejection from Wednesday's Bos-Cle game."
11/2/2001,2001-2002,"The NBA fined Nick Van Exel (Den) $10,000 for criticizing the refs after Friday's Mil-Den game."
11/5/2001,2001-2002,The NBA suspended Lamar Odom (LAC) for 5 games for violating the league's anti-drug program. This is the 2nd drug related suspension for Odom.
