Player,Wikipedia_Player_URL,Position_ID,Position,Last_Name,First_Name,Height,Height (inches),Height (meters),Weight (lbs),Weight (kg),DOB,From,TeamCode,Jersey
George Hill,http://en.wikipedia.org/wiki/George_Hill,1.5,G,Hill,George,6'2'',74,1.88,180,82,5/4/1986,IUPUI,IND,3
Orlando Johnson,http://en.wikipedia.org/wiki/Orlando_Johnson,1.5,G,Johnson,Orlando,6'5'',77,1.96,205,93,3/11/1989,UC Santa Barbara,IND,11
Ian Mahinmi,http://en.wikipedia.org/wiki/Ian_Mahinmi,6,C,Mahinmi,Ian,6'11'',83,2.11,230,104,11/5/1986,France,IND,28
Jeff Pendergraph,http://en.wikipedia.org/wiki/Jeff_Pendergraph,5.5,F/C,Pendergraph,Jeff,6'9'',81,2.06,240,109,4/29/1987,Arizona State,IND,29
Miles Plumlee,http://en.wikipedia.org/wiki/Miles_Plumlee,5.5,F/C,Plumlee,Miles,6'10'',82,2.08,245,111,9/1/1988,Duke,IND,13
Lance Stephenson,http://en.wikipedia.org/wiki/Lance_Stephenson,1.5,G,Stephenson,Lance,6'5'',77,1.96,220,100,9/5/1990,Cincinnati,IND,1
David West,http://en.wikipedia.org/wiki/David_West,4,F,West,David,6'9'',81,2.06,240,109,8/29/1980,Xavier,IND,21
Sam Young,http://en.wikipedia.org/wiki/Sam_Young_(basketball),2.5,G/F,Young,Sam,6'6,78,1.98,220,100,6/1/1985,Pittsburgh,IND,4
Matt Barnes,http://en.wikipedia.org/wiki/Matt_Barnes,3,SF,Barnes,Matt,6'7'',79,2.01,226,103,3/9/1980,UCLA,LAC,22
Chauncey Billups,http://en.wikipedia.org/wiki/Chauncey_Billups,1.5,G,Billups,Chauncey,6'3'',75,1.91,210,95,9/25/1976,Colorado,LAC,1
Eric Bledsoe,http://en.wikipedia.org/wiki/Eric_Bledsoe,1.5,G,Bledsoe,Eric,6'1'',73,1.85,195,88,12/9/1989,Kentucky,LAC,12
Caron Butler,http://en.wikipedia.org/wiki/Caron_Butler,4,F,Butler,Caron,6'7'',79,2.01,228,103,3/13/1980,Connecticut,LAC,5
Jamal Crawford,http://en.wikipedia.org/wiki/Jamal_Crawford,1.5,G,Crawford,Jamal,6'5'',77,1.96,200,91,3/20/1980,Michigan,LAC,11
Willie Green,http://en.wikipedia.org/wiki/Willie_Green,1.5,G,Green,Willie,6'3'',75,1.91,201,91,7/28/1981,Detroit,LAC,34
Blake Griffin,http://en.wikipedia.org/wiki/Blake_Griffin,4,F,Griffin,Blake,6'10'',82,2.08,251,114,3/16/1989,Oklahoma,LAC,32
Grant Hill,http://en.wikipedia.org/wiki/Grant_Hill,4,F,Hill,Grant,6'8'',80,2.03,225,102,10/5/1972,Duke,LAC,33
Ryan Hollins,http://en.wikipedia.org/wiki/Ryan_Hollins,6,C,Hollins,Ryan,7'0'',84,2.13,240,109,10/10/1984,UCLA,LAC,15
DeAndre Jordan,http://en.wikipedia.org/wiki/DeAndre_Jordan,6,C,Jordan,DeAndre,6'11'',83,2.11,265,120,7/21/1988,Texas A&M,LAC,6
Travis Leslie,http://en.wikipedia.org/wiki/Travis_Leslie,1.5,G,Leslie,Travis,6'4'',76,1.93,205,93,3/29/1990,Georgia,LAC,23
Lamar Odom,http://en.wikipedia.org/wiki/Lamar_Odom,4,F,Odom,Lamar,6'10'',82,2.08,230,104,11/6/1979,Rhode Island,LAC,7
Chris Paul,http://en.wikipedia.org/wiki/Chris_Paul,1.5,G,Paul,Chris,6'0'',72,1.83,175,79,5/6/1985,Wake Forest,LAC,3
Trey Thompkins,http://en.wikipedia.org/wiki/Trey_Thompkins,4,F,Thompkins,Trey,6'10'',82,2.08,245,111,5/29/1990,Georgia,LAC,9
Ronny Turiaf,http://en.wikipedia.org/wiki/Ronny_Turiaf,6,C,Turiaf,Ronny,6'10'',82,2.08,249,113,1/13/1983,Gonzaga,LAC,21
Steve Blake,http://en.wikipedia.org/wiki/Steve_Blake,1.5,G,Blake,Steve,6'3'',75,1.91,172,78,2/26/1980,Maryland,LAL,5
Kobe Bryant,http://en.wikipedia.org/wiki/Kobe_Bryant,2,SG,Bryant,Kobe,6'6'',78,1.98,205,93,8/23/1978,Lower Merion HS (PA),LAL,24
Earl Clark,http://en.wikipedia.org/wiki/Earl_Clark,4,F,Clark,Earl,6'10'',82,2.08,225,102,1/17/1988,Louisville,LAL,3
Chris Duhon,http://en.wikipedia.org/wiki/Chris_Duhon,1.5,G,Duhon,Chris,6'1'',73,1.85,190,86,8/31/1982,Duke,LAL,25
Devin Ebanks,http://en.wikipedia.org/wiki/Devin_Ebanks,4,F,Ebanks,Devin,6'9'',81,2.06,215,98,10/28/1989,West Virginia,LAL,3
Pau Gasol,http://en.wikipedia.org/wiki/Pau_Gasol,5.5,F/C,Gasol,Pau,7'0'',84,2.13,250,113,7/6/1980,Spain,LAL,16
Jordan Hill,http://en.wikipedia.org/wiki/Jordan_Hill,5.5,F/C,Hill,Jordan,6'10'',82,2.08,235,107,7/27/1987,Arizona,LAL,27
Dwight Howard,http://en.wikipedia.org/wiki/Dwight_Howard,6,C,Howard,Dwight,6'11'',83,2.11,265,120,12/8/1985,SW Atlanta Academy (GA),LAL,12
Antawn Jamison,http://en.wikipedia.org/wiki/Antawn_Jamison,4,F,Jamison,Antawn,6'9'',81,2.06,235,107,6/12/1976,North Carolina,LAL,4
Jodie Meeks,http://en.wikipedia.org/wiki/Jodie_Meeks,2,SG,Meeks,Jodie,6'4'',76,1.93,208,94,8/21/2012,Kentucky,LAL,20
Darius Morris,http://en.wikipedia.org/wiki/Darius_Morris,1.5,G,Morris,Darius,6'4'',76,1.93,190,86,1/3/1991,Michigan,LAL,1
Steve Nash,http://en.wikipedia.org/wiki/Steve_Nash,1.5,G,Nash,Steve,6'3'',75,1.91,178,81,2/7/1974,Santa Clara,LAL,10
Robert Sacre,http://en.wikipedia.org/wiki/Robert_Sacre,6,C,Sacre,Robert,7'0'',84,2.13,260,118,6/6/1989,Gonzaga,LAL,50
Metta World Peace,http://en.wikipedia.org/wiki/Metta_World Peace,4,F,World Peace,Metta,6'7'',79,2.01,260,118,11/13/1979,St. John's,LAL,15
Tony Allen,http://en.wikipedia.org/wiki/Tony_Allen,2,SG,Allen,Tony,6'4'',76,1.93,213,97,1/11/1982,Oklahoma State,MEM,9
Darrell Arthur,http://en.wikipedia.org/wiki/Darrell_Arthur,4.5,PF,Arthur,Darrell,6'9'',81,2.06,235,107,3/25/1988,Kansas,MEM,0
Jerryd Bayless,http://en.wikipedia.org/wiki/Jerryd_Bayless,1,PG,Bayless,Jerryd,6'3'',75,1.91,200,91,8/20/1988,Arizona,MEM,7
Mike Conley,http://en.wikipedia.org/wiki/Mike_Conley,1,PG,Conley,Mike,6'1'',73,1.85,185,84,10/11/1987,Ohio State,MEM,11
Wayne Ellington,http://en.wikipedia.org/wiki/Wayne_Ellington,2,SG,Ellington,Wayne,6'4'',76,1.93,200,91,11/29/1987,North Carolina,MEM,3
Marc Gasol,http://en.wikipedia.org/wiki/Marc_Gasol,6,C,Gasol,Marc,7'1'',85,2.16,265,120,1/29/1985,Spain,MEM,33
Rudy Gay,http://en.wikipedia.org/wiki/Rudy_Gay,3,SF,Gay,Rudy,6'8'',80,2.03,230,104,8/17/1986,Connecticut,MEM,22
Hamed Haddadi,http://en.wikipedia.org/wiki/Hamed_Haddadi,6,C,Haddadi,Hamed,7'2'',86,2.18,265,120,5/19/1985,Iran,MEM,15
Quincy Pondexter,http://en.wikipedia.org/wiki/Quincy_Pondexter,3,SF,Pondexter,Quincy,6'6'',78,1.98,225,102,3/10/1988,Washington,MEM,20
Zach Randolph,http://en.wikipedia.org/wiki/Zach_Randolph,4.5,PF,Randolph,Zach,6'9'',81,2.06,260,118,7/16/1981,Michigan State,MEM,50
Josh Selby,http://en.wikipedia.org/wiki/Josh_Selby,1,PG,Selby,Josh,6'2'',74,1.88,183,83,3/27/1991,Kansas,MEM,2
Marreese Speights,http://en.wikipedia.org/wiki/Marreese_Speights,6,C,Speights,Marreese,6'10'',82,2.08,255,116,8/4/1987,Florida,MEM,5
Tony Wroten,http://en.wikipedia.org/wiki/Tony_Wroten,1,PG,Wroten,Tony,6'6'',78,1.98,205,93,4/14/1993,Washington,MEM,8
Ray Allen,http://en.wikipedia.org/wiki/Ray_Allen,1.5,G,Allen,Ray,6'5'',77,1.96,205,93,7/20/1975,Connecticut,MIA,34
Joel Anthony,http://en.wikipedia.org/wiki/Joel_Anthony,5.5,F/C,Anthony,Joel,6'9'',81,2.06,245,111,8/9/1982,UNLV,MIA,50
Shane Battier,http://en.wikipedia.org/wiki/Shane_Battier,4,F,Battier,Shane,6'8'',80,2.03,225,102,9/9/1978,Duke,MIA,31
Chris Bosh,http://en.wikipedia.org/wiki/Chris_Bosh,5.5,F/C,Bosh,Chris,6'11'',83,2.11,235,107,5/19/1984,Georgia Tech,MIA,1
Mario Chalmers,http://en.wikipedia.org/wiki/Mario_Chalmers,1.5,G,Chalmers,Mario,6'2'',74,1.88,190,86,3/24/1986,Kansas,MIA,15
Norris Cole,http://en.wikipedia.org/wiki/Norris_Cole,1.5,G,Cole,Norris,6'2'',74,1.88,170,77,10/13/1988,Cleveland State,MIA,30
Josh Harrellson,http://en.wikipedia.org/wiki/Josh_Harrellson,5,C,Harrellson,Josh,6'10,82,2.08,275,125,2/12/1989,Kentucky,MIA,55
Terrel Harris,http://en.wikipedia.org/wiki/Terrel_Harris,2,SG,Harris,Terrel,6'4,76,1.93,190,86,8/10/1987,Oklahoma State,MIA,14
Udonis Haslem,http://en.wikipedia.org/wiki/Udonis_Haslem,5.5,F/C,Haslem,Udonis,6'8'',80,2.03,235,107,6/9/1980,Florida,MIA,40
LeBron James,http://en.wikipedia.org/wiki/LeBron_James,4,F,James,LeBron,6'8'',80,2.03,250,113,12/30/1984,Saint Vincent Saint. Mary HS (OH),MIA,6
James Jones,http://en.wikipedia.org/wiki/James_Jones,2.5,G/F,Jones,James,6'8'',80,2.03,215,98,10/4/1980,Miami (FL),MIA,22
Rashard Lewis,http://en.wikipedia.org/wiki/Rashard_Lewis,4,F,Lewis,Rashard,6'10'',82,2.08,230,104,8/8/1979,Elsik HS (TX),MIA,9
Mike Miller,http://en.wikipedia.org/wiki/Mike_Miller,2.5,G/F,Miller,Mike,6'8'',80,2.03,210,95,2/19/1980,Florida,MIA,13
Dexter Pittman,http://en.wikipedia.org/wiki/Dexter_Pittman,6,C,Pittman,Dexter,6'11'',83,2.11,285,129,3/2/1988,Texas,MIA,45
Dwyane Wade,http://en.wikipedia.org/wiki/Dwyane_Wade,1.5,G,Wade,Dwyane,6'4'',76,1.93,220,100,1/17/1982,Marquette,MIA,3
Samuel Dalembert,http://en.wikipedia.org/wiki/Samuel_Dalembert,6,C,Dalembert,Samuel,6'11'',83,2.11,250,113,5/10/1981,Seton Hall,MIL,21
Mike Dunleavy,http://en.wikipedia.org/wiki/Mike_Dunleavy,2.5,G/F,Dunleavy,Mike,6'9'',81,2.06,230,104,9/15/1980,Duke,MIL,17
Monta Ellis,http://en.wikipedia.org/wiki/Monta_Ellis,1.5,G,Ellis,Monta,6'3'',75,1.91,185,84,10/26/1985,Lanier HS (MS),MIL,11
Drew Gooden,http://en.wikipedia.org/wiki/Drew_Gooden,5.5,F/C,Gooden,Drew,6'10'',82,2.08,250,113,9/24/1981,Kansas,MIL,0
Tobias Harris,http://en.wikipedia.org/wiki/Tobias_Harris,4,F,Harris,Tobias,6'8'',80,2.03,226,103,7/15/1992,Tennessee,MIL,15
John Henson,http://en.wikipedia.org/wiki/John_Henson,4,F,Henson,John,6'11'',83,2.11,220,100,12/28/1990,North Carolina,MIL,31
Ersan Ilyasova,http://en.wikipedia.org/wiki/Ersan_Ilyasova,4,F,Ilyasova,Ersan,6'10'',82,2.08,235,107,5/15/1987,Turkey,MIL,7
Brandon Jennings,http://en.wikipedia.org/wiki/Brandon_Jennings,1.5,G,Jennings,Brandon,6'1'',73,1.85,169,77,9/23/1989,Oak Hill Academy (VA),MIL,3
Doron Lamb,http://en.wikipedia.org/wiki/Doron_Lamb,1.5,G,Lamb,Doron,6'4'',76,1.93,210,95,11/6/1991,Kentucky,MIL,20
Marquis Daniels,http://en.wikipedia.org/wiki/Marquis_Daniels,,,Marquis,Marquis,6'6'',78,1.98,200,91,1/7/1981,Mt. Zion Christian Academy (NC),MIL,6
Luc Mbah a Moute,http://en.wikipedia.org/wiki/Luc_Mbah a Moute,4,F,Mbah a Moute,Luc,6'8'',80,2.03,230,104,9/9/1986,UCLA,MIL,12
Larry Sanders,http://en.wikipedia.org/wiki/Larry_Sanders,5.5,F/C,Sanders,Larry,6'11'',83,2.11,235,107,11/21/1988,Virginia Commonwealth,MIL,8
Ekpe Udoh,http://en.wikipedia.org/wiki/Ekpe_Udoh,5.5,F/C,Udoh,Ekpe,6'10'',82,2.08,245,111,5/20/1987,Baylor,MIL,13
Beno Udrih,http://en.wikipedia.org/wiki/Beno_Udrih,1.5,G,Udrih,Beno,6'3'',75,1.91,205,93,7/5/1982,Slovenia,MIL,19
Lou Amudson,http://en.wikipedia.org/wiki/Lou_Amundson,5.5,PF/C,Amudson,Lou,6'9'',81,2.06,225,102,12/7/1982,UNLV,MIN,17
José Juan Barea,http://en.wikipedia.org/wiki/Juan Barea_Barea,1.5,G,Barea,Juan Barea,6'0'',72,1.83,175,79,6/26/1984,Northeastern,MIN,11
Chase Budinger,http://en.wikipedia.org/wiki/Chase_Budinger,4,F,Budinger,Chase,6'7'',79,2.01,218,99,5/22/1988,Arizona,MIN,10
Will Conroy,http://en.wikipedia.org/wiki/Will_Conroy,1,PG,Conroy,Will,6'2,74,1.88,195,88,12/8/1982,Washington,MIN,5
Dante Cunningham,http://en.wikipedia.org/wiki/Dante_Cunningham,4,F,Cunningham,Dante,6'8'',80,2.03,230,104,4/22/1987,Villanova,MIN,33
Andrei Kirilenko,http://en.wikipedia.org/wiki/Andrei_Kirilenko,4,F,Kirilenko,Andrei,6'9'',81,2.06,215,98,2/18/1981,Russia,MIN,47
Malcolm Lee,http://en.wikipedia.org/wiki/Malcolm_Lee,1.5,G,Lee,Malcolm,6'5'',77,1.96,200,91,5/22/1990,UCLA,MIN,8
Kevin Love,http://en.wikipedia.org/wiki/Kevin_Love,5.5,F/C,Love,Kevin,6'10'',82,2.08,240,109,9/7/1988,UCLA,MIN,42
Nikola Pekovic,http://en.wikipedia.org/wiki/Nikola_Pekovic,6,C,Pekovic,Nikola,6'11'',83,2.11,290,132,1/3/1986,Montenegro,MIN,14
Luke Ridnour,http://en.wikipedia.org/wiki/Luke_Ridnour,1.5,G,Ridnour,Luke,6'2'',74,1.88,175,79,2/13/1981,Oregon,MIN,13
Brandon Roy,http://en.wikipedia.org/wiki/Brandon_Roy,1.5,G,Roy,Brandon,6'6'',78,1.98,211,96,7/23/1984,Washington,MIN,3
Ricky Rubio,http://en.wikipedia.org/wiki/Ricky_Rubio,1.5,G,Rubio,Ricky,6'4'',76,1.93,180,82,10/21/1990,Spain,MIN,9
Alexey Shved,http://en.wikipedia.org/wiki/Alexey_Shved,1.5,G,Shved,Alexey,6'6'',78,1.98,182,83,12/16/1988,Russia,MIN,1
Greg Stiemsma,http://en.wikipedia.org/wiki/Greg_Stiemsma,6,C,Stiemsma,Greg,6'11'',83,2.11,260,118,9/26/1985,Wisconsin,MIN,34
Derrick Williams,http://en.wikipedia.org/wiki/Derrick_Williams,4,F,Williams,Derrick,6'8'',80,2.03,241,109,5/25/1991,Arizona,MIN,7
Al-Farouq Aminu,http://en.wikipedia.org/wiki/Al-Farouq_Aminu,4,F,Aminu,Al-Farouq,6'9'',81,2.06,215,98,9/21/1990,Wake Forest,NOH,0
Ryan Anderson,http://en.wikipedia.org/wiki/Ryan_Anderson,4,F,Anderson,Ryan,6'10'',82,2.08,240,109,5/6/1988,California,NOH,33
Anthony Davis,http://en.wikipedia.org/wiki/Anthony_Davis,5.5,F/C,Davis,Anthony,6'11'',83,2.11,220,100,4/11/1993,Kentucky,NOH,23
Eric Gordon,http://en.wikipedia.org/wiki/Eric_Gordon,1.5,G,Gordon,Eric,6'3'',75,1.91,215,98,12/25/1988,Indiana,NOH,10
Xavier Henry,http://en.wikipedia.org/wiki/Xavier_Henry,1.5,G,Henry,Xavier,6'6'',78,1.98,220,100,3/15/1991,Kansas,NOH,4
Robin Lopez,http://en.wikipedia.org/wiki/Robin_Lopez,6,C,Lopez,Robin,7'0'',84,2.13,255,116,4/1/1988,Stanford,NOH,15
Roger Mason,http://en.wikipedia.org/wiki/Roger_Mason,1.5,G,Mason,Roger,6'5'',77,1.96,205,93,9/10/1980,Virginia,NOH,8
Darius Miller,http://en.wikipedia.org/wiki/Darius_Miller,4,F,Miller,Darius,6'8'',80,2.03,235,107,3/21/1990,Kentucky,NOH,2
Austin Rivers,http://en.wikipedia.org/wiki/Austin_Rivers,1.5,G,Rivers,Austin,6'4'',76,1.93,200,91,8/1/1992,Duke,NOH,25
Brian Roberts,http://en.wikipedia.org/wiki/Brian_Roberts_(basketball),1,G,Roberts,Brian,6'1,73,1.85,180,82,12/3/1985,St. John's,NOH,22
Jason Smith,http://en.wikipedia.org/wiki/Jason_Smith,5.5,F/C,Smith,Jason,7'0'',84,2.13,240,109,3/2/1986,Colorado State,NOH,14
Lance Thomas,http://en.wikipedia.org/wiki/Lance_Thomas,4,F,Thomas,Lance,6'8'',80,2.03,225,102,4/24/1988,Duke,NOH,42
Greivis Vásquez,http://en.wikipedia.org/wiki/Greivis_Vásquez,1.5,G,Vásquez,Greivis,6'6'',78,1.98,211,96,1/16/1987,Maryland,NOH,21
Hakim Warrick,http://en.wikipedia.org/wiki/Hakim_Warrick,4,F,Warrick,Hakim,6'9'',81,2.06,219,99,7/8/1982,Syracuse,NOH,1
Carmelo Anthony,http://en.wikipedia.org/wiki/Carmelo_Anthony,4,F,Anthony,Carmelo,6'8'',80,2.03,230,104,5/29/1984,Syracuse,NYK,7
Ronnie Brewer,http://en.wikipedia.org/wiki/Ronnie_Brewer,1.5,G,Brewer,Ronnie,6'7'',79,2.01,227,103,3/20/1985,Arkansas,NYK,11
Marcus Camby,http://en.wikipedia.org/wiki/Marcus_Camby,6,C,Camby,Marcus,6'11'',83,2.11,235,107,3/22/1974,Massachusetts,NYK,23
Tyson Chandler,http://en.wikipedia.org/wiki/Tyson_Chandler,6,C,Chandler,Tyson,7'1'',85,2.16,240,109,10/2/1982,Dominguez HS (CA),NYK,6
Chris Copeland,http://en.wikipedia.org/wiki/Chris_Copeland,4,F,Copeland,Chris,6'8'',80,2.03,224,102,3/17/1984,Colorado,NYK,14
Raymond Felton,http://en.wikipedia.org/wiki/Raymond_Felton,1.5,G,Felton,Raymond,6'1'',73,1.85,205,93,6/26/1984,North Carolina,NYK,2
Jason Kidd,http://en.wikipedia.org/wiki/Jason_Kidd,1.5,G,Kidd,Jason,6'4'',76,1.93,210,95,3/23/1973,California,NYK,5
Steve Novak,http://en.wikipedia.org/wiki/Steve_Novak,4,F,Novak,Steve,6'10'',82,2.08,240,109,6/13/1983,Marquette,NYK,16
Pablo Prigioni,http://en.wikipedia.org/wiki/Pablo_Prigioni,1.5,G,Prigioni,Pablo,6'3'',75,1.91,180,82,3/17/1977,Argentina,NYK,9
Iman Shumpert,http://en.wikipedia.org/wiki/Iman_Shumpert,1.5,G,Shumpert,Iman,6'5'',77,1.96,220,100,6/26/1990,Georgia Tech,NYK,21
J. R. Smith,http://en.wikipedia.org/wiki/J. R._Smith,1.5,G,Smith,J. R.,6'6'',78,1.98,220,100,9/9/1985,St. Benedict's Prep (NJ),NYK,8
Amar'e Stoudemire,http://en.wikipedia.org/wiki/Amar'e_Stoudemire,5.5,F/C,Stoudemire,Amar'e,6'11'',83,2.11,260,118,11/16/1982,Cypress Creek HS (FL),NYK,1
Kurt Thomas,http://en.wikipedia.org/wiki/Kurt_Thomas,5.5,F/C,Thomas,Kurt,6'9'',81,2.06,230,104,10/4/1972,Texas Christian,NYK,40
James White,http://en.wikipedia.org/wiki/James_White,2.5,G/F,White,James,6'7'',79,2.01,200,91,10/21/1982,Cincinnati,NYK,4
Nick Collison,http://en.wikipedia.org/wiki/Nick_Collison,5.5,F/C,Collison,Nick,6'10'',82,2.08,255,116,10/26/1980,Kansas,OKC,4
Kevin Durant,http://en.wikipedia.org/wiki/Kevin_Durant,2.5,G/F,Durant,Kevin,6'9'',81,2.06,230,104,9/29/1988,Texas,OKC,35
Serge Ibaka,http://en.wikipedia.org/wiki/Serge_Ibaka,4,F,Ibaka,Serge,6'10'',82,2.08,235,107,9/18/1989,Republic of the Congo,OKC,9
Reggie Jackson,http://en.wikipedia.org/wiki/Reggie_Jackson,1.5,G,Jackson,Reggie,6'3'',75,1.91,208,94,4/16/1990,Boston College,OKC,15
Perry III Jones,http://en.wikipedia.org/wiki/Perry III_Jones,4,F,Jones,Perry III,6'11'',83,2.11,234,106,9/24/1991,Baylor,OKC,3
Jeremy Lamb,http://en.wikipedia.org/wiki/Jeremy_Lamb,1.5,G,Lamb,Jeremy,6'5'',77,1.96,185,84,5/30/1992,Connecticut,OKC,11
DeAndre Liggins,http://en.wikipedia.org/wiki/DeAndre_Liggins,2,SG,Liggins,DeAndre,6'6,78,1.98,209,95,3/31/1988,Kentucky,OKC,25
Kevin Martin,http://en.wikipedia.org/wiki/Kevin_Martin,2,SG,Martin,Kevin,6'7'',79,2.01,185,84,2/1/1983,Western Carolina,OKC,23
Eric Maynor,http://en.wikipedia.org/wiki/Eric_Maynor,1.5,G,Maynor,Eric,6'3'',75,1.91,175,79,6/11/1987,Virginia Commonwealth,OKC,6
Daniel Orton,http://en.wikipedia.org/wiki/Daniel_Orton,5,C,Orton,Daniel,6'10'',82,2.08,255,116,8/6/1990,Kentucky,OKC,33
Kendrick Perkins,http://en.wikipedia.org/wiki/Kendrick_Perkins,6,C,Perkins,Kendrick,6'10'',82,2.08,267,121,11/10/1984,Clifton J. Ozen HS (TX),OKC,5
Thabo Sefolosha,http://en.wikipedia.org/wiki/Thabo_Sefolosha,2.5,G/F,Sefolosha,Thabo,6'7'',79,2.01,215,98,5/2/1984,Switzerland,OKC,2
Hasheem Thabeet,http://en.wikipedia.org/wiki/Hasheem_Thabeet,6,C,Thabeet,Hasheem,7'3'',87,2.21,263,119,2/16/1987,Connecticut,OKC,34
Russell Westbrook,http://en.wikipedia.org/wiki/Russell_Westbrook,1.5,G,Westbrook,Russell,6'3'',75,1.91,187,85,11/12/1988,UCLA,OKC,0
Arron Afflalo,http://en.wikipedia.org/wiki/Arron_Afflalo,1.5,G,Afflalo,Arron,6'5'',77,1.96,215,98,10/15/1985,UCLA,ORL,6
Gustavo Ayón,http://en.wikipedia.org/wiki/Gustavo_Ayón,5.5,F/C,Ayón,Gustavo,6'10'',82,2.08,250,113,4/1/1985,San Jos State,ORL,19
Glen Davis,http://en.wikipedia.org/wiki/Glen_Davis,5.5,F/C,Davis,Glen,6'9'',81,2.06,289,131,1/1/1986,LSU,ORL,11
Maurice Harkless,http://en.wikipedia.org/wiki/Maurice_Harkless,4,F,Harkless,Maurice,6'8.75'',80.75,2.05,222,101,5/11/1993,St. John's,ORL,4
Al Harrington,http://en.wikipedia.org/wiki/Al_Harrington,4,F,Harrington,Al,6'9'',81,2.06,250,113,2/17/1980,St. Patrick HS (NJ),ORL,7
DeQuan Jones,http://en.wikipedia.org/wiki/DeQuan_Jones,2.5,SG/SF,Jones,DeQuan,6'8'',80,2.03,221,100,6/20/1990,Miami (FL),ORL,20
Josh McRoberts,http://en.wikipedia.org/wiki/Josh_McRoberts,4.5,PF,McRoberts,Josh,6'10'',82,2.08,240,109,2/28/1987,Duke,ORL,17
E'Twaun Moore,http://en.wikipedia.org/wiki/E%27Twaun_Moore,1.5,PG/SG,Moore,E'Twaun ,6'4,76,1.93,191,87,2/25/1989,Purdue,ORL,55
Jameer Nelson,http://en.wikipedia.org/wiki/Jameer_Nelson,1.5,G,Nelson,Jameer,6'0'',72,1.83,190,86,2/9/1982,Saint Joseph's,ORL,14
Andrew Nicholson,http://en.wikipedia.org/wiki/Andrew_Nicholson,4,F,Nicholson,Andrew,6'9'',81,2.06,250,113,12/8/1989,St. Bonaventure,ORL,44
Kyle O'Quinn,http://en.wikipedia.org/wiki/Kyle_O'Quinn,4,F,O'Quinn,Kyle,6'10'',82,2.08,224,102,3/26/1990,Norfolk State,ORL,9
J. J. Redick,http://en.wikipedia.org/wiki/J. J._Redick,1.5,G,Redick,J. J.,6'4'',76,1.93,190,86,6/24/1984,Duke,ORL,7
Hedo Türkogluu,http://en.wikipedia.org/wiki/Hedo_Türkogluu,4,F,Türkogluu,Hedo,6'10'',82,2.08,220,100,3/19/1979,Turkey,ORL,15
Nikola Vucevic,http://en.wikipedia.org/wiki/Nikola_Vucevic,5.5,F/C,Vucevic,Nikola,7'0'',84,2.13,240,109,10/24/1990,Southern California,ORL,8
Lavoy Allen,http://en.wikipedia.org/wiki/Lavoy_Allen,5.5,F/C,Allen,Lavoy,6'9'',81,2.06,225,102,2/4/1989,Temple,PHL,50
Kwame Brown,http://en.wikipedia.org/wiki/Kwame_Brown,6,C,Brown,Kwame,6'11'',83,2.11,270,122,3/10/1982,Glynn Adademy (GA),PHL,54
Andrew Bynum,http://en.wikipedia.org/wiki/Andrew_Bynum,6,C,Bynum,Andrew,7'0'',84,2.13,285,129,10/27/1987,St. Joseph HS (NJ),PHL,17
Spencer Hawes,http://en.wikipedia.org/wiki/Spencer_Hawes,6,C,Hawes,Spencer,7'1'',85,2.16,245,111,4/28/1988,Washington,PHL,0
Jrue Holiday,http://en.wikipedia.org/wiki/Jrue_Holiday,1.5,G,Holiday,Jrue,6'4'',76,1.93,180,82,6/12/1990,UCLA,PHL,11
Arnett Moultrie,http://en.wikipedia.org/wiki/Arnett_Moultrie,4,F,Moultrie,Arnett,6'11'',83,2.11,233,106,11/18/1990,Mississippi State,PHL,23
Jason Richardson,http://en.wikipedia.org/wiki/Jason_Richardson,2.5,G/F,Richardson,Jason,6'6'',78,1.98,225,102,1/20/1981,Michigan State,PHL,23
Evan Turner,http://en.wikipedia.org/wiki/Evan_Turner,2.5,G/F,Turner,Evan,6'7'',79,2.01,205,93,10/27/1988,Ohio State,PHL,12
Damien Wilkins,http://en.wikipedia.org/wiki/Damien_Wilkins,3,F,Wilkins,Damien,6'6'',78,1.98,225,102,1/11/1980,Georgia,PHL,8
Dorell Wright,http://en.wikipedia.org/wiki/Dorell_Wright,4,F,Wright,Dorell,6'9'',81,2.06,205,93,12/2/1985,South Kent HS (CT),PHL,5
Nick Young,http://en.wikipedia.org/wiki/Nick_Young,2.5,G/F,Young,Nick,6'7'',79,2.01,210,95,6/1/1985,Southern California,PHL,1
Thaddeus Young,http://en.wikipedia.org/wiki/Thaddeus_Young,4,F,Young,Thaddeus,6'8'',80,2.03,220,100,6/21/1988,Georgia Tech,PHL,21
Michael Beasley,http://en.wikipedia.org/wiki/Michael_Beasley,4,F,Beasley,Michael,6'10'',82,2.08,235,107,1/9/1989,Kansas State,PHO,0
Shannon Brown,http://en.wikipedia.org/wiki/Shannon_Brown,1.5,G,Brown,Shannon,6'4'',76,1.93,210,95,11/29/1985,Michigan State,PHO,26
Goran Dragic,http://en.wikipedia.org/wiki/Goran_Dragic,1.5,G,Dragic,Goran,6'3'',75,1.91,190,86,5/6/1986,Slovenia,PHO,1
Jared Dudley,http://en.wikipedia.org/wiki/Jared_Dudley,2.5,G/F,Dudley,Jared,6'7'',79,2.01,225,102,7/10/1985,Boston College,PHO,3
Channing Frye,http://en.wikipedia.org/wiki/Channing_Frye,5.5,F/C,Frye,Channing,6'11'',83,2.11,245,111,5/17/1983,Arizona,PHO,8
