"","CIPTitle","DBPediaCollege_Name","BD_C_Percent","BD_C","Year","BD_Conferred","CIPFamily"
"499","Liberal arts/general studies","University of Nebraska at Lincoln",2e-04,3719,"2011-2012",1,"24"
"501","Liberal arts/general studies","University of Louisville",0.0146,2702,"2011-2012",39,"24"
"502","Liberal arts/general studies","University of South Carolina",0.0176,4566,"2011-2012",80,"24"
"504","Liberal arts/general studies","Northwestern University",0.51,2135,"2011-2012",1089,"24"
"505","Liberal arts/general studies","Notre Dame University",0.013,2078,"2010-2011",27,"24"
"506","Liberal arts/general studies","University of Michigan",0.01,6490,"2011-2012",65,"24"
"507","Liberal arts/general studies","University of Georgia",7e-04,6861,"2011-2012",5,"24"
"509","Liberal arts/general studies","Utah State University",0.021,3371,"2011-2012",71,"24"
"510","Liberal arts/general studies","Oregon State University",0.06,3932,"2011-2012",236,"24"
"511","Liberal arts/general studies","Kansas State University",0.002,3638,"2011-2012",7,"24"
"512","Liberal arts/general studies","Louisiana State University",0.052,4600,"2011-2012",239,"24"
"514","Liberal arts/general studies","Florida State University",0.006,7860,"2011-2012",47,"24"
"516","Liberal arts/general studies","University of Texas at Austin",0.014,8821,"2011-2012",123,"24"
"517","Liberal arts/general studies","San Jose State University",0.0143,4900,"2011-2012",70,"24"
"518","Liberal arts/general studies","Ohio State University",0.0029,11309,"2011-2012",33,"24"
"543","Mathematics and statistics","Clemson University",0.01,3441,"2011-2012",34,"27"
"544","Mathematics and statistics","University of Nebraska at Lincoln",0.0077,3719,"2011-2012",29,"27"
"545","Mathematics and statistics","Boise State University",0.005,2588,"2011-2012",13,"27"
"546","Mathematics and statistics","University of Louisville",0.0082,2702,"2011-2012",22,"27"
"547","Mathematics and statistics","University of Michigan",0.03,6490,"2011-2012",195,"27"
"549","Mathematics and statistics","Florida State University",0.005,7860,"2011-2012",39,"27"
"550","Mathematics and statistics","University of Oregon",0.01,4694,"2011-2012",47,"27"
"551","Mathematics and statistics","University of Georgia",0.0069,6861,"2011-2012",47,"27"
"552","Mathematics and statistics","Texas A&amp;M University",0.01,9020,"2011-2012",90,"27"
"553","Mathematics and statistics","University of South Carolina",0.0106,4566,"2011-2012",48,"27"
"554","Mathematics and statistics","Stanford University",0.0335,1715,"2011-2012",57,"27"
"555","Mathematics and statistics","Alabama University",0.005825677795205,4463,"2010-2011",26,"27"
"556","Mathematics and statistics","Notre Dame University",0.017,2078,"2010-2011",35,"27"
"557","Mathematics and statistics","University of Florida",0.0117,8601,"2011-2012",101,"27"
"558","Mathematics and statistics","Utah State University",0.005,3371,"2011-2012",17,"27"
"559","Mathematics and statistics","University of Oklahoma",0.01,4079,"2011-2012",41,"27"
"560","Mathematics and statistics","Kansas State University",0.006,3638,"2011-2012",22,"27"
"561","Mathematics and statistics","Ohio State University",0.0103,11309,"2011-2012",116,"27"
"562","Mathematics and statistics","Vanderbilt University",0.0329,1673,"2011-2012",55,"27"
"563","Mathematics and statistics","Rutgers University",0.018,6171,"2010-2011",111,"27"
"564","Mathematics and statistics","University of Texas at Austin",0.021,8821,"2011-2012",185,"27"
"565","Mathematics and statistics","Louisiana State University",0.0107,4600,"2011-2012",49,"27"
"566","Mathematics and statistics","Northern Illinois University",0.016067329762816,3921,"2010-2011",63,"27"
"567","Mathematics and statistics","San Jose State University",0.0051,4900,"2011-2012",25,"27"
"568","Mathematics and statistics","Oregon State University",0.006,3932,"2011-2012",24,"27"
"573","Mechanic and repair technologies","Kansas State University",0.002,3638,"2011-2012",7,"47"
"577","Mechanic and repair technologies","Utah State University",0.004,3371,"2011-2012",13,"47"
"615","Natural resources and conservation","University of South Carolina",0.0026,4566,"2011-2012",12,"3"
"616","Natural resources and conservation","Louisiana State University",0.0148,4600,"2011-2012",68,"3"
"617","Natural resources and conservation","Clemson University",0.01,3441,"2011-2012",34,"3"
"618","Natural resources and conservation","University of Nebraska at Lincoln",0.0208,3719,"2011-2012",77,"3"
"620","Natural resources and conservation","Florida State University",0.002,7860,"2011-2012",16,"3"
"621","Natural resources and conservation","Alabama University",0.002016580775263,4463,"2010-2011",9,"3"
"622","Natural resources and conservation","University of Georgia",0.0122,6861,"2011-2012",84,"3"
"623","Natural resources and conservation","University of Oklahoma",0.005,4079,"2011-2012",20,"3"
"624","Natural resources and conservation","Texas A&amp;M University",0.03,9020,"2011-2012",271,"3"
"626","Natural resources and conservation","University of Michigan",0.02,6490,"2011-2012",130,"3"
"627","Natural resources and conservation","University of Florida",0.016,8601,"2011-2012",138,"3"
"628","Natural resources and conservation","San Jose State University",0.009,4900,"2011-2012",44,"3"
"629","Natural resources and conservation","Rutgers University",0.019,6171,"2010-2011",117,"3"
"630","Natural resources and conservation","Notre Dame University",0.018,2078,"2010-2011",37,"3"
"631","Natural resources and conservation","Boise State University",0.005,2588,"2011-2012",13,"3"
"634","Natural resources and conservation","Utah State University",0.008,3371,"2011-2012",27,"3"
"635","Natural resources and conservation","Oregon State University",0.063,3932,"2011-2012",248,"3"
"636","Natural resources and conservation","University of Oregon",0.03,4694,"2011-2012",141,"3"
"637","Natural resources and conservation","Ohio State University",0.0111,11309,"2011-2012",126,"3"
"660","Parks and recreation","University of Louisville",0.0836,2702,"2011-2012",226,"31"
"662","Parks and recreation","University of South Carolina",0.0278,4566,"2011-2012",127,"31"
"664","Parks and recreation","San Jose State University",0.0353,4900,"2011-2012",173,"31"
"665","Parks and recreation","University of Michigan",0.03,6490,"2011-2012",195,"31"
"668","Parks and recreation","Kansas State University",0.034,3638,"2011-2012",124,"31"
"669","Parks and recreation","Ohio State University",0.0111,11309,"2011-2012",126,"31"
"670","Parks and recreation","Florida State University",0.044,7860,"2011-2012",346,"31"
"671","Parks and recreation","Northern Illinois University",0.013261922978832,3921,"2010-2011",52,"31"
"672","Parks and recreation","Utah State University",0.007,3371,"2011-2012",24,"31"
"674","Parks and recreation","University of Georgia",0.0303,6861,"2011-2012",208,"31"
"675","Parks and recreation","Texas A&amp;M University",0.04,9020,"2011-2012",361,"31"
"676","Parks and recreation","Louisiana State University",0.029,4600,"2011-2012",133,"31"
"677","Parks and recreation","Clemson University",0.03,3441,"2011-2012",103,"31"
"678","Parks and recreation","University of Oklahoma",0.03,4079,"2011-2012",122,"31"
"679","Parks and recreation","Oregon State University",0.039,3932,"2011-2012",153,"31"
"680","Parks and recreation","Boise State University",0.011,2588,"2011-2012",28,"31"
"681","Parks and recreation","University of Texas at Austin",0.019,8821,"2011-2012",168,"31"
"683","Parks and recreation","University of Florida",0.0256,8601,"2011-2012",220,"31"
"684","Parks and recreation","Rutgers University",0.035,6171,"2010-2011",216,"31"
"709","Philosophy and religious studies","Alabama University",0.004033161550527,4463,"2010-2011",18,"38"
"710","Philosophy and religious studies","Boise State University",0.005,2588,"2011-2012",13,"38"
"711","Philosophy and religious studies","University of Oklahoma",0.01,4079,"2011-2012",41,"38"
"712","Philosophy and religious studies","University of Florida",0.0067,8601,"2011-2012",58,"38"
"713","Philosophy and religious studies","University of Texas at Austin",0.009,8821,"2011-2012",79,"38"
"714","Philosophy and religious studies","University of Nebraska at Lincoln",0.001,3719,"2011-2012",4,"38"
"716","Philosophy and religious studies","University of Oregon",0.02,4694,"2011-2012",94,"38"
"717","Philosophy and religious studies","Oregon State University",0.003,3932,"2011-2012",12,"38"
"718","Philosophy and religious studies","Utah State University",0.005,3371,"2011-2012",17,"38"
"719","Philosophy and religious studies","Northern Illinois University",0.004080591685794,3921,"2010-2011",16,"38"
"720","Philosophy and religious studies","University of Louisville",0.0071,2702,"2011-2012",19,"38"
"721","Philosophy and religious studies","University of Georgia",0.009,6861,"2011-2012",62,"38"
"722","Philosophy and religious studies","Louisiana State University",0.0045,4600,"2011-2012",21,"38"
"723","Philosophy and religious studies","Clemson University",0.01,3441,"2011-2012",34,"38"
"724","Philosophy and religious studies","Rutgers University",0.013,6171,"2010-2011",80,"38"
"725","Philosophy and religious studies","Notre Dame University",0.014,2078,"2010-2011",29,"38"
"726","Philosophy and religious studies","Kansas State University",0.002,3638,"2011-2012",7,"38"
"727","Philosophy and religious studies","Vanderbilt University",0.0229,1673,"2011-2012",38,"38"
"728","Philosophy and religious studies","Ohio State University",0.0039,11309,"2011-2012",44,"38"
"729","Philosophy and religious studies","University of Michigan",0.01,6490,"2011-2012",65,"38"
"730","Philosophy and religious studies","Florida State University",0.009,7860,"2011-2012",71,"38"
"731","Philosophy and religious studies","Stanford University",0.0123,1715,"2011-2012",21,"38"
"732","Philosophy and religious studies","San Jose State University",0.0035,4900,"2011-2012",17,"38"
"733","Philosophy and religious studies","University of South Carolina",0.0037,4566,"2011-2012",17,"38"
"734","Physical sciences","University of Texas at Austin",0.027,8821,"2011-2012",238,"40"
"735","Physical sciences","University of Oklahoma",0.03,4079,"2011-2012",122,"40"
"736","Physical sciences","University of Michigan",0.01,6490,"2011-2012",65,"40"
"737","Physical sciences","Vanderbilt University",0.0288,1673,"2011-2012",48,"40"
"738","Physical sciences","Texas A&amp;M University",0.02,9020,"2011-2012",180,"40"
"739","Physical sciences","Kansas State University",0.009,3638,"2011-2012",33,"40"
"740","Physical sciences","Louisiana State University",0.0133,4600,"2011-2012",61,"40"
"741","Physical sciences","Utah State University",0.008,3371,"2011-2012",27,"40"
"742","Physical sciences","University of Louisville",0.0157,2702,"2011-2012",42,"40"
"743","Physical sciences","University of Florida",0.0201,8601,"2011-2012",173,"40"
"744","Physical sciences","Alabama University",0.01209948465158,4463,"2010-2011",54,"40"
"746","Physical sciences","Clemson University",0.02,3441,"2011-2012",69,"40"
"747","Physical sciences","University of South Carolina",0.0152,4566,"2011-2012",69,"40"
"748","Physical sciences","University of Georgia",0.012,6861,"2011-2012",82,"40"
"749","Physical sciences","Oregon State University",0.016,3932,"2011-2012",63,"40"
"750","Physical sciences","Boise State University",0.01,2588,"2011-2012",26,"40"
"751","Physical sciences","San Jose State University",0.0069,4900,"2011-2012",34,"40"
"752","Physical sciences","Stanford University",0.0609,1715,"2011-2012",104,"40"
"753","Physical sciences","Notre Dame University",0.018,2078,"2010-2011",37,"40"
"754","Physical sciences","Northern Illinois University",0.016067329762816,3921,"2010-2011",63,"40"
"755","Physical sciences","University of Nebraska at Lincoln",0.0139,3719,"2011-2012",52,"40"
"756","Physical sciences","Florida State University",0.013,7860,"2011-2012",102,"40"
"757","Physical sciences","Ohio State University",0.0104,11309,"2011-2012",118,"40"
"758","Physical sciences","Rutgers University",0.02,6171,"2010-2011",123,"40"
"759","Physical sciences","University of Oregon",0.01,4694,"2011-2012",47,"40"
"782","Psychology","University of Nebraska at Lincoln",0.0544,3719,"2011-2012",202,"42"
"783","Psychology","Boise State University",0.051,2588,"2011-2012",132,"42"
"784","Psychology","University of Louisville",0.0769,2702,"2011-2012",208,"42"
"785","Psychology","Notre Dame University",0.048,2078,"2010-2011",100,"42"
"786","Psychology","Ohio State University",0.0636,11309,"2011-2012",719,"42"
"787","Psychology","Northern Illinois University",0.11017597551645,3921,"2010-2011",432,"42"
"788","Psychology","University of Michigan",0.1,6490,"2011-2012",649,"42"
"789","Psychology","Vanderbilt University",0.0553,1673,"2011-2012",93,"42"
"790","Psychology","Oregon State University",0.033,3932,"2011-2012",130,"42"
"791","Psychology","University of Oklahoma",0.035,4079,"2011-2012",143,"42"
"792","Psychology","Rutgers University",0.101,6171,"2010-2011",623,"42"
"793","Psychology","Texas A&amp;M University",0.05,9020,"2011-2012",451,"42"
"794","Psychology","Florida State University",0.053,7860,"2011-2012",417,"42"
"795","Psychology","Clemson University",0.05,3441,"2011-2012",172,"42"
"797","Psychology","Stanford University",0.0525,1715,"2011-2012",90,"42"
"798","Psychology","Louisiana State University",0.0773,4600,"2011-2012",356,"42"
"799","Psychology","Northern Illinois University",0.054577913797501,3921,"2010-2011",214,"42"
"800","Psychology","Alabama University",0.032041227873628,4463,"2010-2011",143,"42"
"801","Psychology","University of South Carolina",0.0597,4566,"2011-2012",273,"42"
"802","Psychology","San Jose State University",0.0704,4900,"2011-2012",345,"42"
"803","Psychology","Kansas State University",0.022,3638,"2011-2012",80,"42"
"804","Psychology","University of Oregon",0.08,4694,"2011-2012",376,"42"
"805","Psychology","University of Georgia",0.0669,6861,"2011-2012",459,"42"
"806","Psychology","University of Florida",0.0537,8601,"2011-2012",462,"42"
"807","Psychology","Utah State University",0.032,3371,"2011-2012",108,"42"
"808","Psychology","University of Texas at Austin",0.038,8821,"2011-2012",335,"42"
"810","Public administration and social services","Alabama University",0.010755097468071,4463,"2010-2011",48,"44"
"811","Public administration and social services","Ohio State University",0.0141,11309,"2011-2012",159,"44"
"813","Public administration and social services","Vanderbilt University",0.0096,1673,"2011-2012",16,"44"
"814","Public administration and social services","Florida State University",0.014,7860,"2011-2012",110,"44"
"815","Public administration and social services","Rutgers University",0.008,6171,"2010-2011",49,"44"
"818","Public administration and social services","University of Louisville",0.0171,2702,"2011-2012",46,"44"
"819","Public administration and social services","University of South Carolina",0.0043,4566,"2011-2012",20,"44"
"820","Public administration and social services","Boise State University",0.025,2588,"2011-2012",65,"44"
"822","Public administration and social services","University of Georgia",0.0086,6861,"2011-2012",59,"44"
"823","Public administration and social services","University of Michigan",0.01,6490,"2011-2012",65,"44"
"824","Public administration and social services","Stanford University",0.014,1715,"2011-2012",24,"44"
"825","Public administration and social services","University of Oregon",0.03,4694,"2011-2012",141,"44"
"826","Public administration and social services","Kansas State University",0.009,3638,"2011-2012",33,"44"
"827","Public administration and social services","University of Texas at Austin",0.009,8821,"2011-2012",79,"44"
"831","Public administration and social services","University of Oklahoma",0.01,4079,"2011-2012",41,"44"
"832","Public administration and social services","Utah State University",0.016,3371,"2011-2012",54,"44"
"833","Public administration and social services","San Jose State University",0.0151,4900,"2011-2012",74,"44"
"852","Science technologies","Northwestern University",0.04,2135,"2011-2012",85,"41"
"853","Science technologies","Louisiana State University",0.0393,4600,"2011-2012",181,"41"
"856","Security and protective services  ","University of Florida",8e-04,8601,"2011-2012",7,NA
"858","Social sciences","University of South Carolina",0.0873,4566,"2011-2012",399,"45"
"862","Social sciences","University of Louisville",0.0822,2702,"2011-2012",222,"45"
"863","Social sciences","Alabama University",0.045261035178131,4463,"2010-2011",202,"45"
"864","Social sciences","Stanford University",0.1849,1715,"2011-2012",317,"45"
"865","Social sciences","University of Texas at Austin",0.123,8821,"2011-2012",1085,"45"
"866","Social sciences","University of Florida",0.1292,8601,"2011-2012",1111,"45"
"867","Social sciences","Kansas State University",0.109,3638,"2011-2012",397,"45"
"868","Social sciences","Ohio State University",0.1182,11309,"2011-2012",1337,"45"
"869","Social sciences","University of Nebraska at Lincoln",0.0582,3719,"2011-2012",216,"45"
"870","Social sciences","University of Michigan",0.16,6490,"2011-2012",1038,"45"
"871","Social sciences","University of Georgia",0.0979,6861,"2011-2012",672,"45"
"872","Social sciences","Northern Illinois University",0.036470288191788,3921,"2010-2011",143,"45"
"873","Social sciences","Vanderbilt University",0.2827,1673,"2011-2012",473,"45"
"874","Social sciences","Boise State University",0.069,2588,"2011-2012",179,"45"
"875","Social sciences","Florida State University",0.188,7860,"2011-2012",1478,"45"
"876","Social sciences","Texas A&amp;M University",0.08,9020,"2011-2012",722,"45"
"877","Social sciences","Clemson University",0.07,3441,"2011-2012",241,"45"
"878","Social sciences","University of Oklahoma",0.065,4079,"2011-2012",265,"45"
"879","Social sciences","University of Oregon",0.21,4694,"2011-2012",986,"45"
"880","Social sciences","San Jose State University",0.0692,4900,"2011-2012",339,"45"
"881","Social sciences","Oregon State University",0.056,3932,"2011-2012",220,"45"
"882","Social sciences","Utah State University",0.12,3371,"2011-2012",405,"45"
"883","Social sciences","Rutgers University",0.155,6171,"2010-2011",957,"45"
"900","Theology and religious vocations","Notre Dame University",0.023,2078,"2010-2011",48,"39"
"908","Transportation and materials moving","Ohio State University",0.0044,11309,"2011-2012",50,"49"
"910","Transportation and materials moving","University of Oklahoma",0.01,4079,"2011-2012",41,"49"
"919","Transportation and materials moving","Kansas State University",0.006,3638,"2011-2012",22,"49"
"922","Transportation and materials moving","Utah State University",0.003,3371,"2011-2012",10,"49"
"924","Transportation and materials moving","San Jose State University",0.0065,4900,"2011-2012",32,"49"
"929","Visual and performing arts","University of South Carolina",0.0537,4566,"2011-2012",245,"50"
"930","Visual and performing arts","Rutgers University",0.034,6171,"2010-2011",210,"50"
"931","Visual and performing arts","Ohio State University",0.0284,11309,"2011-2012",321,"50"
"932","Visual and performing arts","Oregon State University",0.034,3932,"2011-2012",134,"50"
"933","Visual and performing arts","University of Oregon",0.07,4694,"2011-2012",329,"50"
"934","Visual and performing arts","University of Louisville",0.0395,2702,"2011-2012",107,"50"
"935","Visual and performing arts","Alabama University",0.04660542236164,4463,"2010-2011",208,"50"
"936","Visual and performing arts","University of Nebraska at Lincoln",0.0381,3719,"2011-2012",142,"50"
"937","Visual and performing arts","Florida State University",0.051,7860,"2011-2012",401,"50"
"938","Visual and performing arts","Clemson University",0.03,3441,"2011-2012",103,"50"
"939","Visual and performing arts","San Jose State University",0.0761,4900,"2011-2012",373,"50"
"940","Visual and performing arts","University of Oklahoma",0.05,4079,"2011-2012",204,"50"
"941","Visual and performing arts","University of Georgia",0.0411,6861,"2011-2012",282,"50"
"942","Visual and performing arts","University of Michigan",0.06,6490,"2011-2012",389,"50"
"943","Visual and performing arts","Notre Dame University",0.048,2078,"2010-2011",100,"50"
"944","Visual and performing arts","University of Florida",0.0274,8601,"2011-2012",236,"50"
"945","Visual and performing arts","Boise State University",0.046,2588,"2011-2012",119,"50"
"946","Visual and performing arts","Northwestern University",0.05,2135,"2011-2012",107,"50"
"947","Visual and performing arts","Louisiana State University",0.0316,4600,"2011-2012",145,"50"
"949","Visual and performing arts","Vanderbilt University",0.0531,1673,"2011-2012",89,"50"
"950","Visual and performing arts","University of Texas at Austin",0.031,8821,"2011-2012",273,"50"
"951","Visual and performing arts","Utah State University",0.038,3371,"2011-2012",128,"50"
"952","Visual and performing arts","Kansas State University",0.031,3638,"2011-2012",113,"50"
"953","Visual and performing arts","Stanford University",0.0257,1715,"2011-2012",44,"50"
