Team,Player,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,Signed Using,Total Guaranteed,Notes
Golden State Warriors,Richard Jefferson,"$10,164,000 ","$11,046,000 ",,,,Bird Rights,"$10,164,000 ","2013-14 is a Player Option   /   Signed 7/21/10 for an assumed $38,892,000 for 4 years"
Golden State Warriors,David Lee,"$12,744,000 ","$13,878,000 ","$15,012,000 ","$15,493,680 ",,Bird Rights,"$57,127,680 ","Signed 7/9/10 for an assumed $79,537,680 for 6 years"
Golden State Warriors,Andrew Bogut,"$13,000,000 ","$14,000,000 ",,,,Bird Rights,"$27,000,000 ","2012-13 and 2013-14 each have up to $2,500,000 in unlikely incentives not included here   /   Signed extension on 7/11/07 for an assumed $60,000,000 plus incentives for 5 years beginning in 2009-10"
Houston Rockets,Derek Fisher,"$644,005 ",,,,,,"$644,005 ","Agreed to a buyout on 3/19/12   /   Signed 7/14/10 for an assumed $10,800,000 for 3 years"
Houston Rockets,Courtney Fortson,"$762,195 ","$884,293 ",,,,MLE,"$762,195 ",Team Option for 2012-13 was picked up on 6/29/12   /   Signed 3/27/12 for an assumed minimum salary for the remainder of the season and for 2012-13 and 2013-14   /   Signed a 10 day contract on 3/17/12
Houston Rockets,Diamon Simpson,"$762,195 ","$884,293 ",,,,MLE,"$762,195 ",Team Option for 2012-13 was picked up on 6/29/12   /   Signed 4/12/12 for an assumed minimum salary for the remainder of the season and for 2012-13 and 2013-14
Houston Rockets,Greg Smith,"$762,195 ","$884,293 ",,,,Room Exception,,Signed 2/8/12 for an assumed minimum salary for 3 years
Houston Rockets,Josh Harrellson,"$762,195 ",,,,,Cap Space,,Signed 12/11/11 for an assumed minimum salary for 2 years
Houston Rockets,Chandler Parsons,"$888,250 ","$926,500 ","$964,750 ",,,Cap Space,"$888,250 ","Signed 12/17/11 for an assumed $3,629,500 for 4 years"
Houston Rockets,Sean Williams,"$915,852 ",,,,,Minimum Salary,,Signed 4/20/12 for an assumed minimum salary for the remainder of the season and for 2012-13
Houston Rockets,Jon Brockman,"$1,000,000 ",,,,,Cap Space,"$1,000,000 ","Signed 7/21/10 for an assumed $3,000,000 for 3 years"
Houston Rockets,JaJuan Johnson,"$1,120,440 ","$1,198,680 ","$2,162,419 ",,,1st Round Pick,"$1,120,440 ",Signed 12/12/11
Houston Rockets,Donatas Motiejunas,"$1,361,400 ","$1,422,720 ","$1,483,920 ","$2,288,205 ",,1st Round Pick,"$2,784,120 ",Signed 7/7/12
Houston Rockets,Terrence Jones,"$1,485,000 ","$1,551,840 ","$1,618,680 ","$2,489,530 ",,1st Round Pick,"$3,036,840 ",Signed 7/9/12
Houston Rockets,Gary Forbes,"$1,500,000 ","$1,500,000 ",,,,BAE,"$1,500,000 ","Signed offer sheet on 12/9/11 for an assumed $4,500,000 for 3 years"
Houston Rockets,Royce White,"$1,645,440 ","$1,719,480 ","$1,793,520 ","$2,751,260 ",,1st Round Pick,"$3,364,920 ",Signed 7/24/12
Houston Rockets,Marcus Morris,"$1,905,360 ","$1,987,320 ","$2,943,221 ",,,1st Round Pick,"$1,905,360 ",Signed 12/12/11
Houston Rockets,Jeremy Lamb,"$2,020,200 ","$2,111,160 ","$2,202,000 ","$3,034,356 ",,1st Round Pick,"$4,131,360 ",Signed 7/25/12
Houston Rockets,Toney Douglas,"$2,067,880 ",,,,,1st Round Pick,"$2,067,880 ","2012-13 includes $90,250 in likely incentives   /   Team Option for 2012-13 picked up on 1/25/12   /   Team Option for 2011-12 picked up on 10/24/10   /   Signed 7/9/09"
Houston Rockets,Patrick Patterson,"$2,096,760 ","$3,105,302 ",,,,1st Round Pick,"$2,096,760 ",Team Option for 2012-13 picked up on 6/30/11   /   Signed 7/13/10
Houston Rockets,Shaun Livingston,"$3,500,000 ",,,,,MLE,"$1,000,000 ","2012-13 is partially guaranteed for $1,000,000   /   Signed 7/20/10 for an assumed $10,500,000 for 3 years"
Houston Rockets,Jeremy Lin,"$8,374,646 ","$8,374,646 ","$8,374,646 ",,,Cap Space,"$25,123,938 ","Signed offer sheet on 7/14/12 for an assumed $25,123,938 for 3 years"
Houston Rockets,Omer Asik,"$8,374,646 ","$8,374,646 ","$8,374,646 ",,,,"$25,123,938 ","Signed offer sheet on 7/20/12 for an assumed $25,123,938 for 3 years"
Houston Rockets,Kevin Martin,"$12,439,675 ",,,,,Bird Rights,"$12,439,675 ","2012-13 has up to $500,000 in unlikely incentives not included here   /   Signed on 8/29/07 for an assumed $53,000,025 plus incentives for 5 years that begins in 2008-09"
Indiana Pacers,Orlando Johnson,"$550,000 ","$788,872 ","$915,243 ",,,Cap Space,"$550,000 ","Signed 7/13/12 for an assumed $2,254,115 for 4 years"
Indiana Pacers,Lance Stephenson,"$870,000 ","$930,000 ",,,,MLE,,"2012-13 and 2013-14 each have up to $75,000 in unlikely incentives not included here   /   2012-13 is not guaranteed if waived before 7/15/12, fully guaranteed after that   /   2013-14 is not guaranteed if waived before 7/15/13, fully guaranteed after that   /   Signed 7/22/10 for an assumed $3,360,000 for 4 years"
Indiana Pacers,Miles Plumlee,"$1,073,280 ","$1,121,520 ","$1,169,880 ","$2,109,294 ",,1st Round Pick,"$2,194,800 ",Signed 7/5/12
Indiana Pacers,Jeff Pendergraph,"$1,500,000 ",,,,,Cap Space,"$1,500,000 ","Signed 12/10/11 for an assumed $3,000,000 for 2 years"
Indiana Pacers,Paul George,"$2,574,120 ","$3,282,003 ",,,,1st Round Pick,"$2,574,120 ",Team Option for 2012-13 picked up on 6/24/11   /   Signed 7/1/10
Indiana Pacers,Tyler Hansbrough,"$3,055,259 ",,,,,1st Round Pick,"$3,055,259 ",Team Option for 2012-13 picked up on 6/24/11   /   Team Option for 2011-12 picked up on 10/18/10   /   Signed 7/8/09
Indiana Pacers,D.J. Augustin,"$3,500,000 ",,,,,Cap Space,"$3,500,000 ","Signed 7/13/12 for an assumed $3,500,000 for 1 year"
Indiana Pacers,Gerald Green,"$3,500,000 ","$3,500,000 ","$3,500,000 ",,,Cap Space,"$10,500,000 ","Signed 7/12/12 for an assumed $10,500,000 for 3 years"
Indiana Pacers,Ian Mahinmi,"$4,000,000 ","$4,000,000 ","$4,000,000 ","$4,000,000 ",,Early Bird Rights,"$16,000,000 ","Signed 7/12/12 for an assumed $16,000,000 for 4 years"
Indiana Pacers,George Hill,"$8,000,000 ","$8,000,000 ","$8,000,000 ","$8,000,000 ","$8,000,000 ",Bird Rights,"$40,000,000 ","Signed 7/13/12 for an assumed $40,000,000 for 5 years"
Indiana Pacers,David West,"$10,000,000 ",,,,,Cap Space,"$10,000,000 ","Signed 12/11/11 for an assumed $20,000,000 for 2 years"
Indiana Pacers,Danny Granger,"$13,058,606 ","$14,021,788 ",,,,Bird Rights,"$27,080,394 ","2012-13 and 2013-14 each have up to $750,000 in unlikely incentives not included here   /   Signed extension on 10/31/08 for an assumed $60,000,000 plus incentives for 5 years starting in 2009-10"
Indiana Pacers,Roy Hibbert,"$13,668,750 ","$14,283,844 ","$14,898,938 ","$15,514,031 ",,Bird Rights,"$58,365,563 ","Signed 7/13/12 for an assumed $58,365,563 for 4 years"
Los Angeles Clippers,Travis Leslie,"$762,195 ","$884,293 ",,,,Cap Space,"$250,000 ","2012-13 is partially guaranteed for $250,000   /   Signed 12/9/11 for an assumed $2,146,488 for 3 years"
Los Angeles Clippers,Trey Thompkins,"$762,195 ","$884,293 ",,,,Cap Space,"$762,195 ","Signed 12/9/11 for an assumed $2,181,488 for 3 years"
Los Angeles Clippers,Ryan Hollins,"$1,069,509 ",,,,,Minimum Salary,"$854,389 ",Signed 7/23/12 for an assumed minimum salary for 1 year
Los Angeles Clippers,Ronny Turiaf,"$1,146,337 ",,,,,Minimum Salary,"$854,389 ",Signed 7/26/12 for an assumed minimum salary for 1 year
Los Angeles Clippers,Willie Green,"$1,375,000 ","$1,399,507 ","$1,448,490 ",,,Non Bird Rights,"$1,375,000 ","2013-14 and 2014-15 are not guaranteed   /   Signed 7/30/12 for an assumed $4,222,997 for 3 years"
Los Angeles Clippers,Eric Bledsoe,"$1,707,720 ","$2,626,473 ",,,,1st Round Pick,"$1,707,720 ",Team Option for 2012-13 picked up on 6/14/11   /   Signed 7/10/10
Los Angeles Clippers,Grant Hill,"$1,957,000 ","$2,045,065 ",,,,BAE,"$4,002,065 ","Signed 7/18/12 for an assumed $4,002,065 for 2 years"
Los Angeles Clippers,Chauncey Billups,"$4,000,000 ",,,,,Bird Rights,"$4,000,000 ","Signed 7/12/12 for an assumed $4,000,000 for 1 year"
Los Angeles Clippers,Jamal Crawford,"$5,000,000 ","$5,225,000 ","$5,450,000 ","$5,675,000 ",,MLE,"$13,225,000 ","2014-15 and 2015-16 are each partially guaranteed for $1,500,000   /   Signed 7/11/12 for an assumed $21,350,000 for 4 years"
Los Angeles Clippers,Blake Griffin,"$7,226,892 ","$13,668,750 ","$14,693,906 ","$15,719,063 ","$16,744,219 ",1st Round Pick,"$85,822,205 ",Extension includes a 15% trade kicker   /   Signed  extension on 7/11/12 for the maximum amount available for 5 years that starts in 2013-14   /   Maximum amounts for 2012-13 are used for extension and need to be updated when true amounts are known   /   Team Option for 2012-13 picked up on 6/14/11   /   Team Option for 201
Los Angeles Clippers,Caron Butler,"$8,000,000 ","$8,000,000 ",,,,Cap Space,"$16,000,000 ","Signed 12/9/11 for an assumed $24,000,000 for 3 years"
Los Angeles Clippers,Lamar Odom,"$8,200,000 ",,,,,Bird Rights,"$8,200,000 ","2012-13 is now fully guaranteed since he was not waived before 6/29/12   /   Signed 7/31/09 for an assumed 32,800,000 for 4 years"
Los Angeles Clippers,DeAndre Jordan,"$10,532,977 ","$10,986,550 ","$11,440,124 ",,,Bird Rights,"$32,959,651 ","Contract includes a trade kicker   /   Signed offer sheet on 12/11/11 for an assumed $43,039,055 for 4 years"
Los Angeles Clippers,Chris Paul,"$17,779,458 ",,,,,Bird Rights,"$17,779,458 ","Player Option for 2012-13 was assumed to have have been picked up on 12/14/11   /   Signed extension on 7/9/08 for an assumed $62,599,916 for 4 years beginning in 2009-10"
Los Angeles Lakers,Andrew Goudelock,"$762,195 ",,,,,Minimum Salary,,Signed 12/9/11 for an assumed minimum salary for 2 years
Los Angeles Lakers,Darius Morris,"$962,195 ",,,,,Non Bird,"$962,195 ",Signed Qualifying Offer on 7/11/12
Los Angeles Lakers,Devin Ebanks,"$1,054,389 ",,,,,Early Bird,"$1,054,389 ","Signed 8/13/12 for an assumed $1,054,389 (qualifying offer) for 1 year"
Los Angeles Lakers,Earl Clark,"$1,240,000 ",,,,,Early Bird,"$1,240,000 ","Player Option for 2012-13 was picked up   /   Signed 12/15/11 for an assumed $2,400,000 for 2 years"
Los Angeles Lakers,Antawn Jamison,"$1,352,181 ",,,,,Minimum Salary,"$854,389 ",Signed 7/25/12 for an assumed minimum salary for 1 year
Los Angeles Lakers,Jodie Meeks,"$1,500,000 ","$1,567,500 ",,,,Mini MLE,"$1,500,000 ","Signed 8/13/12 for an assumed $3,067,500 for 2 years"
Los Angeles Lakers,Chris Duhon,"$3,250,000 ","$3,500,000 ",,,,MLE,"$4,750,000 ","2013-14 is partially guaranteed for $1,500,000 if waived by 6/30/13   /   2012-13 and 2013-14 each have up to $250,000 in unlikely incentives not included here   /   Signed 7/8/10 for an assumed $13,250,000 plus incentives for 4 years"
Los Angeles Lakers,Jordan Hill,"$3,563,600 ","$3,563,600 ",,,,Bird Rights,"$7,127,200 ","Signed 7/25/12 for an assumed $7,127,200 for 2 years"
Los Angeles Lakers,Steve Blake,"$4,000,000 ","$4,000,000 ",,,,MLE,"$8,000,000 ","Signed 7/8/10 for an assumed $16,000,000 for 4 years"
Los Angeles Lakers,Metta World Peace,"$7,258,960 ","$7,727,280 ",,,,MLE,"$7,258,960 ","2013-14 is a Player Option   /   Contract includes a 15% trade kicker   /   Signed 7/8/09 for an assumed $33,953,200 for 5 years"
Los Angeles Lakers,Steve Nash,"$8,900,000 ","$9,300,500 ","$9,701,000 ",,,Bird Rights,"$27,901,500 ","Contract includes a 15% trade kicker   /   Signed 7/11/12 for an assumed $27,901,500 for 3 years"
Los Angeles Lakers,Pau Gasol,"$19,000,000 ","$19,285,850 ",,,,Bird Rights,"$38,285,850 ","Contract has a 15% trade kicker   /   Signed extension on 12/23/09 for an assumed $57,000,000 for 3 years starting in 2011-12"
Los Angeles Lakers,Dwight Howard,"$19,536,360 ",,,,,Bird Rights,"$19,536,360 ","ETO for 2012-13 was not exercised   /   Signed extension on 7/12/07 for an assumed $83,235,900 for 5 years that starts in 2008-09"
Los Angeles Lakers,Kobe Bryant,"$27,849,149 ","$30,453,805 ",,,,Bird Rights,"$58,302,954 ","Signed extension on 4/2/10 for an assumed $83,547.447 for 3 years that starts in 2011-12   /   Contract has a 15% trade kicker   /   Signed 7/15/04"
Memphis Grizzlies,D.J. Kennedy,"$762,195 ","$884,293 ",,,,MLE,,Signed 4/22/12 for an assumed minimum salary for the remainder of the season and for 2012-13 and 2013-14
Memphis Grizzlies,Josh Selby,"$762,195 ","$884,293 ",,,,MLE,"$762,195 ","Signed 12/11/11 for an assumed $2,196,488 for 3 years"
Memphis Grizzlies,Tony Wroten,"$1,110,120 ","$1,160,040 ","$1,210,080 ","$2,179,354 ",,1st Round Pick,"$2,270,160 ",Signed 7/12/12
Memphis Grizzlies,Quincy Pondexter,"$1,234,320 ","$2,225,479 ",,,,1st Round Pick,"$1,234,320 ",Team Option for 2012-13 was picked up on 1/24/12   /   Signed 7/8/10
Memphis Grizzlies,Hamed Haddadi,"$1,300,000 ","$1,397,500 ",,,,Non Bird Rights,"$1,300,000 ","Signed 7/26/12 for an assumed $2,697,500 for 2 years"
Memphis Grizzlies,Wayne Ellington,"$2,083,042 ",,,,,1st Round Pick,"$2,083,042 ",Team Option for 2012-13 was picked up on 6/29/11   /   Team Option for 2011-12 picked up on 11/1/10   /   Signed 7/10/09
Memphis Grizzlies,Darrell Arthur,"$3,000,000 ","$3,225,000 ","$3,450,000 ",,,Bird Rights,"$6,225,000 ","2014-15 is a Player Option   /   Signed 7/13/12 for an assumed $9,675,000 for 3 years"
Memphis Grizzlies,Jerryd Bayless,"$3,000,000 ","$3,135,000 ",,,,MLE,"$3,000,000 ","Signed 7/12/12 for an assumed $6,135,000 for 2 years"
Memphis Grizzlies,Tony Allen,"$3,300,000 ",,,,,MLE,"$3,300,000 ","Signed 7/13/10 for an assumed $9,450,000 for 3 years"
Memphis Grizzlies,Marreese Speights,"$4,200,000 ","$4,515,000 ",,,,Bird Rights,"$4,200,000 ","2013-14 is a Player Option   /   Signed 7/12/12 for an assumed $8,715,000 for 2 years"
Memphis Grizzlies,Mike Conley,"$7,305,786 ","$8,000,001 ","$8,694,216 ","$9,388,426 ",,Cap Space,"$33,388,429 ","Signed extension on 11/1/10 for an assumed $40,000,000 plus incentives for 5 years that begins in 2011-12   /   Extension reportedly includes $5,000,000 in incentives not included here"
Memphis Grizzlies,Marc Gasol,"$13,891,359 ","$14,860,523 ","$15,829,688 ",,,Bird Rights,"$44,581,570 ","Signed 12/12/11 for an assumed $57,503,764 for 4 years"
Memphis Grizzlies,Rudy Gay,"$16,460,538 ","$17,888,931 ","$19,317,325 ",,,Bird Rights,"$34,349,469 ","2014-15 is a Player Option   /   Signed 7/8/10 for an assumed $82,302,688 for 5 years"
Memphis Grizzlies,Zach Randolph,"$16,500,000 ","$17,800,000 ","$16,500,000 ",,,Bird Rights,"$34,300,000 ","2014-15 is a Player Option   /   2012-13, 2013-14 and 2014-15 each have an assumed $1,250,000 in incentives currently considered unlikely   /   Signed an extension on 4/20/11 for an assumed $66 million plus incentives for 4 years that begins in 2011-12"
Miami Heat,Dexter Pittman,"$854,389 ",,,,,Cap Space,"$854,389 ",2012-13 is now guaranteed since he was not waived before 6/30/12   /   Signed 7/16/10 for an assumed minimum salary for 3 years
Miami Heat,Norris Cole,"$1,082,520 ","$1,129,200 ","$2,038,206 ",,,1st Round Pick,"$1,082,520 ",Signed 12/19/11
Miami Heat,Rashard Lewis,"$1,352,181 ","$1,399,507 ",,,,Minimum Salary,"$1,352,181 ",Signed 7/11/12 for an assumed minimum salary for 2 years
Miami Heat,James Jones,"$1,500,000 ","$1,500,000 ",,,,Bird Rights,"$1,500,000 ","2013-14 is a Player Option   /   Signed 12/9/11 for an assumed $4,500,000 for 3 years"
Miami Heat,James Jones,"$1,757,161 ",,,,,,"$1,757,161 ","Agreed to a buyout on 6/29/10 for an assumed $4,952,000 for the final 3 years of his contract"
Miami Heat,Ray Allen,"$3,090,000 ","$3,229,050 ",,,,Mini MLE,"$3,090,000 ","2013-14 is a Player Option   /   Contract includes a 15% trade kicker   /   Signed 7/11/12 for an assumed $6,319,050 for 2 years"
Miami Heat,Shane Battier,"$3,135,000 ","$3,270,000 ",,,,Mini MLE,"$6,405,000 ","Signed 12/9/11 for an assumed $9,405,000 for 3 years"
Miami Heat,Joel Anthony,"$3,750,000 ","$3,800,000 ","$3,800,000 ",,,Bird Rights,"$7,550,000 ","2014-15 is a Player Option   /   Signed 7/16/10 for an assumed $18,250,000 for 5 years"
Miami Heat,Mario Chalmers,"$4,000,000 ","$4,000,000 ",,,,Bird Rights,"$4,000,000 ","Signed 12/9/11 for an assumed $12,000,000 for 3 years"
Miami Heat,Udonis Haslem,"$4,060,000 ","$4,340,000 ","$4,620,000 ",,,Cap Space,"$8,400,000 ","Contract includes a 15% trade bonus   /   2014-15 is a Player Option   /   Signed 7/15/10 for an assumed $20,300,000 for 5 years"
Miami Heat,Mike Miller,"$5,800,000 ","$6,200,000 ","$6,600,000 ",,,Cap Space,"$12,000,000 ","Contract includes a 15% trade bonus   /   2014-15 is a Player Option   /   Signed 7/15/10 for an assumed $29,000,000 for 5 years"
Miami Heat,Dwyane Wade,"$17,182,000 ","$18,673,000 ","$20,164,000 ","$21,655,000 ",,Bird Rights,"$56,019,000 ","Contract includes a 15% trade bonus   /   2014-15 is an ETO   /   2015-16 is a Player Option   /   Signed 7/9/10 for an assumed $107,565,000 for 6 years"
Miami Heat,Chris Bosh,"$17,545,000 ","$19,067,500 ","$20,590,000 ","$22,112,500 ",,Bird Rights,"$57,202,500 ","Contract includes a 15% trade bonus   /   2014-15 is an ETO   /   2015-16 is a Player Option   /   Signed 7/9/10 for an assumed $109,837,500 for 6 years"
Miami Heat,LeBron James,"$17,545,000 ","$19,067,500 ","$20,590,000 ","$22,112,500 ",,Bird Rights,"$57,202,500 ","Contract includes a 15% trade bonus   /   2014-15 is an ETO   /   2015-16 is a Player Option   /   Signed 7/9/10 for an assumed $109,837,500 for 6 years"
Milwaukee Bucks,Doron Lamb,"$650,000 ","$788,872 ","$915,243 ",,,MLE,"$1,438,872 ","Signed 7/11/12 for an assumed $2,354,115 for 3 years"
Milwaukee Bucks,Joel Przybilla,"$1,352,181 ",,,,,Minimum Salary,"$854,389 ",Signed 8/9/12 for an assumed minimum salary for 1 year
Milwaukee Bucks,Tobias Harris,"$1,482,000 ","$1,545,840 ","$2,380,594 ",,,1st Round Pick,"$1,482,000 ",Signed 12/12/11
Milwaukee Bucks,John Henson,"$1,823,280 ","$1,905,360 ","$1,987,320 ","$2,943,221 ",,1st Round Pick,"$3,728,640 ",Signed 7/10/12
Milwaukee Bucks,Larry Sanders,"$1,991,760 ","$3,053,368 ",,,,1st Round Pick,"$1,991,760 ",Team Option for 2012-13 was picked up on 6/29/11   /   Signed 7/8/10
Milwaukee Bucks,Brandon Jennings,"$3,179,493 ",,,,,1st Round Pick,"$3,179,493 ",Team Option for 2012-13 was picked up on 6/29/11   /   Team Option for 2011-12 picked up on 10/25/10   /   Signed 7/29/09
Milwaukee Bucks,Ekpe Udoh,"$3,524,880 ","$4,469,548 ",,,,1st Round Pick,"$3,524,880 ",Team Option for 2012-13 was picked up on 6/29/11   /   Signed 7/7/10
Milwaukee Bucks,Mike Dunleavy,"$3,750,000 ",,,,,Cap Space,"$3,750,000 ","Signed 12/9/11 for an assumed $7,500,000 for 2 years"
Milwaukee Bucks,Luc Richard Mbah a Moute,"$4,794,192 ","$4,588,384 ","$4,382,576 ",,,Bird Rights,"$13,765,152 ","Contract includes signing bonus for an assumed $1,705,923 that counts as $426,481 in each of 2012-13, 2013-14 and 2014-15   /    Signed offer sheet on 12/10/11 for an assumed $18,765,152 for 4 years that was matched"
Milwaukee Bucks,Drew Gooden,"$6,687,400 ","$6,687,400 ","$6,687,400 ",,,MLE,"$20,062,200 ","Signed 7/8/10 for an assumed $32,053,400 for 5 years"
Milwaukee Bucks,Samuel Dalembert,"$6,698,565 ",,,,,Cap Space,"$6,698,565 ","2012-13 is now fully guaranteed    /   Signed 12/21/11 for an assumed $13,698,565 for 2 years"
Milwaukee Bucks,Beno Udrih,"$7,372,200 ",,,,,MLE,"$7,372,200 ","Player Option for 2012-13 was picked up on 5/23/12   /   Signed 7/9/08 for an assumed $32,393,000 for 5 years"
Milwaukee Bucks,Ersan Ilyasova,"$7,900,000 ","$7,900,000 ","$7,900,000 ","$7,900,000 ","$8,400,000 ",Bird Rights,"$32,000,000 ","2016-17 is partially guaranteed for $400,000    /   Signed 7/12/12 for an assumed $40,000,000 for 5 years"
Milwaukee Bucks,Monta Ellis,"$11,000,000 ","$11,000,000 ",,,,Bird Rights,"$22,000,000 ","2013-14 is an ETO   /   Signed 7/24/08 for an assumed $66,000,000 for 6 years"
Minnesota Timberwolves,Martell Webster,"$600,000 ",,,,,,"$600,000 ","Waived 7/13/12   /   2012-13 was partially guaranteed for an assumed $600,000   /   Signed extension on 10/31/08 for an assumed $20,112,000 for 4 years starting in 2009-10"
Minnesota Timberwolves,Malcolm Lee,"$762,195 ","$884,293 ",,,,Cap Space,"$1,646,488 ","Signed 12/12/11 for an assumed $2,146,488 for 3 years"
Minnesota Timberwolves,Chase Budinger,"$885,120 ",,,,,MLE,,"2012-13 is not guaranteed if waived before 8/1/12   /   Signed 8/12/09 for an assumed $3,245,380 for 4 years"
Minnesota Timberwolves,Dante Cunningham,"$2,090,000 ","$2,180,000 ",,,,MLE,"$2,090,000 ","Signed offer sheet on 12/20/11 for an assumed $6,270,000 for 3 years"
Minnesota Timberwolves,Greg Stiemsma,"$2,575,000 ",,,,,Room Exception,"$2,575,000 ","Signed offer sheet on 8/2/12 for an assumed $2,575,000 for 1 year"
Minnesota Timberwolves,Alexey Shved,"$3,014,354 ","$3,150,000 ","$3,285,646 ",,,Cap Space,"$9,450,000 ","Signed 7/23/12 for an assumed $9,450,000 for 3 years"
Minnesota Timberwolves,Ricky Rubio,"$3,741,120 ","$4,002,120 ","$5,070,686 ",,,1st Round Pick,"$3,741,120 ",Signed 5/31/11 for an assumed 120% of rookie scale
Minnesota Timberwolves,Luke Ridnour,"$4,000,000 ","$4,320,000 ",,,,Cap Space,"$8,320,000 ","Signed 7/21/10 for an assumed $16,000,000 for 4 years"
Minnesota Timberwolves,Jose Barea,"$4,493,500 ","$4,687,000 ","$4,519,500 ",,,Cap Space,"$13,700,000 ","Signed 12/12/11 for an assumed $18,000,000 for 4 years"
Minnesota Timberwolves,Derrick Williams,"$4,809,840 ","$5,016,960 ","$6,331,404 ",,,1st Round Pick,"$4,809,840 ",Signed 12/12/11
Minnesota Timberwolves,Nikola Pekovic,"$4,837,200 ",,,,,Cap Space,"$4,837,200 ","2012-13 includes $550,800 in likely incentives   /   2012-13 has up to $274,200 in unlikely incentives not included here   /   Signed 7/28/10 for an assumed $11,858,400 plus incentives for 3 years "
Minnesota Timberwolves,Brandon Roy,"$5,100,000 ","$5,329,500 ",,,,Cap Space,"$5,100,000 ","2013-14 is not guaranteed   /   Signed 7/31/12 for an assumed $10,429,500 for 2 years"
Minnesota Timberwolves,Andrei Kirilenko,"$9,779,349 ","$10,219,420 ",,,,Cap Space,"$9,779,349 ","2013-14 is a Player Option   /   Signed 7/27/12 for an assumed $19,998,769 for 2 years"
Minnesota Timberwolves,Kevin Love,"$12,922,194 ","$13,891,359 ","$14,860,523 ","$15,829,688 ",,Cap Space,"$57,503,764 ",2015-16 is an ETO   /   Signed extension on 1/25/12 for an assumed maximum salary for 4 years that starts in 2012-13   /   Contract amounts for the extension are maximum amounts for 2011-12 and need to be updated when the true numbers are known
New Orleans Hornets,Lance Thomas,"$762,195 ",,,,,Minimum Salary,,Signed 2/27/12 for the remainder of the season and for 2012-13
New Orleans Hornets,Greivis Vasquez,"$1,191,240 ","$2,150,188 ",,,,1st Round Pick,"$1,191,240 ",Team Option for 2012-13 was picked up on 1/24/12   /   Signed 9/24/10
New Orleans Hornets,Roger Mason,"$1,223,166 ",,,,,Minimum Salary,"$854,389 ",Signed 8/2/12 for an assumed minimum salary for 1 year
New Orleans Hornets,Austin Rivers,"$2,238,360 ","$2,339,040 ","$2,439,840 ","$3,110,796 ",,1st Round Pick,"$4,577,400 ",Signed 7/23/12
New Orleans Hornets,Xavier Henry,"$2,323,200 ","$3,201,370 ",,,,1st Round Pick,"$2,323,200 ",Team Option for 2012-13 was picked up on 1/24/12   /   Signed 9/24/10
New Orleans Hornets,Jason Smith,"$2,500,000 ","$2,500,000 ",,,,Bird Rights,"$3,500,000 ","2013-14 is partially guaranteed for $1,000,000   /   Signed 12/16/11 for an assumed $7,500,000 for 3 years"
New Orleans Hornets,Al-Farouq Aminu,"$2,947,800 ","$3,749,602 ",,,,1st Round Pick,"$2,947,800 ",Team Option for 2012-13 picked up on 6/14/11   /   Signed 7/10/10
New Orleans Hornets,Hakim Warrick,"$4,000,000 ","$4,000,000 ",,,,Bird Rights,"$4,000,000 ","2012-13 and 2013-14 each have up to $500,000 in unlikely incentives not included here   /   Signed 7/9/10 for an assumed $16,000,000 plus incentives for 4 years"
New Orleans Hornets,Robin Lopez,"$4,899,293 ","$5,119,761 ","$5,340,229 ",,,Bird Rights,"$4,899,293 ","2013-14 and 2014-15 are not guaranteed   /   Signed 7/27/12 for an assumed $15,359,284 for 3 years"
New Orleans Hornets,Anthony Davis,"$5,144,280 ","$5,375,760 ","$5,607,240 ","$7,070,730 ",,1st Round Pick,"$10,520,040 ",Signed 7/18/12
New Orleans Hornets,Ryan Anderson,"$8,700,000 ","$8,308,500 ","$8,491,500 ","$8,500,000 ",,Bird Rights,"$34,000,000 ","Signed 7/11/12 for an assumed $34,000,000 for 4 years"
New Orleans Hornets,Eric Gordon,"$13,668,750 ","$14,283,844 ","$14,898,938 ","$15,514,031 ",,Bird Rights,"$58,365,563 ","Offer sheet matched by the Hornets   /   Signed offer sheet on 7/11/12 for an assumed $58,365,563 for 4 years"
New Orleans Hornets,Rashard Lewis,"$13,699,551 ",,,,,,"$13,699,551 ","Waived 6/30/12   /   2012-13 was partially guaranteed for an assumed $13,699,551   /   Signed 7/11/07 for an assumed $112,753,504 for 6 years"
New York Knicks,Chris Smith,"$473,604 ","$788,872 ",,,,Minimum Salary,"$473,604 ",2013-14 is not fully guaranteed   /   Signed 7/31/12 for an assumed minimum salary for 2 years
New York Knicks,Pablo Prigioni,"$473,604 ","$788,872 ",,,,Minimum Salary,,2012-13 and 2013-14 are not fully guaranteed   /   Signed 7/23/12 for an assumed minimum salary for 2 years
New York Knicks,James White,"$854,389 ","$916,099 ",,,,Minimum Salary,"$854,389 ",Signed 7/11/12 for an assumed minimum salary for 2 years
New York Knicks,Ronnie Brewer,"$1,069,509 ",,,,,Minimum Salary,"$854,389 ",Signed 7/24/12 for an assumed minimum salary for 1 year
New York Knicks,Kurt Thomas,"$1,352,181 ",,,,,Minimum Salary,"$1,352,181 ",Signed 12/11/11 for an assumed minimum salary for 2 years
New York Knicks,Iman Shumpert,"$1,633,440 ","$1,703,760 ","$2,616,975 ",,,1st Round Pick,"$1,633,440 ",Signed 12/11/11
New York Knicks,Renaldo Balkman,"$1,675,000 ",,,,,,"$1,675,000 ",Waived 2/17/12 
